Date,Market,Bond,Momentum,Volatility,MacroRisk
2017-09-30,0.028887,-0.002417,0.015125926685755964,0.08319351643170715,2.0
2017-10-31,0.053798,-0.006236,0.06183759954895218,0.08482953095312547,1.0
2017-11-30,-0.025169,0.003638,0.05694984985373264,0.09446373165304334,0.0
2017-12-31,0.00753,0.000635,0.035010338572779354,0.09444220073049008,1.0
2018-01-31,0.028219,-0.003912,0.009887374351597256,0.09358909494166508,1.0
2018-02-28,-0.059784,0.003653,-0.02597243259256088,0.12273311367760537,0.0
2018-03-31,0.00852,0.003671,-0.02501535211680983,0.11883019105314642,0.0
2018-04-30,0.025258,0.001819,-0.027823051198797244,0.11899021649927971,1.0
2018-05-31,-0.037152,0.001997,-0.004421717138040182,0.11349227070958703,1.0
2018-06-30,-0.033923,0.00421,-0.0463200722123176,0.11672317782568839,1.0
2018-07-31,-0.005827,0.002177,-0.07523488248961385,0.11637808039473602,1.0
2018-08-31,0.005201,0.006878,-0.034557042350861544,0.11484500082997243,0.0
2018-09-30,0.005507,-0.000691,0.004847079494607831,0.11065063916013075,2.0
2018-10-31,-0.121297,0.003971,-0.11186268054639348,0.1465056024578769,1.0
2018-11-30,0.029177,0.003416,-0.09067887713670753,0.15309491979309617,0.0
2018-12-31,-0.021355,0.002924,-0.11497128286073899,0.15171544259387226,0.0
2019-01-31,0.091986,0.002067,0.09984712549522756,0.18184411925177713,0.0
2019-02-28,-0.00758,0.001345,0.060566145846607355,0.1733847170561361,2.0
2019-03-31,-0.021871,0.005195,0.060006952133609515,0.17343929248010673,1.0
2019-04-30,0.028088,0.000713,-0.002019781018128275,0.1740472008487144,2.0
2019-05-31,-0.07475,0.004541,-0.06956611352756215,0.184783581887766,1.0
2019-06-30,0.055187,0.003723,0.0037344167949140417,0.1937577249012516,0.0
2019-07-31,-0.039196,0.006005,-0.061955744455512995,0.1971092569983829,1.0
2019-08-31,-0.029809,0.003775,-0.016393305235383515,0.19806349669166012,1.0
2019-09-30,0.060096,-0.002798,-0.011817315136377848,0.20956198313625493,1.0
