signal_month,hsi_state,state_valid,hsi_direction,hsi_intensity,positive_count,negative_count,valid_signal_count,return_month,next_return_069500,next_return_114260,next_return_153130,alignment_rule
2024-06,risk_relief,True,-0.419916,0.419916,0,4,4,2024-07,-0.6985,0.6895,0.3497,signal_month_t_to_return_month_t_plus_1
2024-07,conflict,True,0.004993,0.162017,2,1,4,2024-08,-4.7869,0.429,0.2942,signal_month_t_to_return_month_t_plus_1
2024-08,accident_zone,True,0.550122,0.550122,4,0,4,2024-09,-4.3526,0.5094,0.3249,signal_month_t_to_return_month_t_plus_1
2024-09,accident_zone,True,0.538714,0.538714,4,0,4,2024-10,-1.4911,-0.2125,0.2474,signal_month_t_to_return_month_t_plus_1
2024-10,accident_zone,True,0.356975,0.429905,3,1,4,2024-11,-4.2394,1.1714,0.2737,signal_month_t_to_return_month_t_plus_1
2024-11,accident_zone,True,0.482349,0.482349,3,0,4,2024-12,-1.777,-0.1619,0.2103,signal_month_t_to_return_month_t_plus_1
2024-12,accident_zone,True,0.359247,0.359247,3,0,4,2025-01,4.6618,0.5596,0.2724,signal_month_t_to_return_month_t_plus_1
2025-01,conflict,True,-0.070888,0.265341,1,2,4,2025-02,1.0016,0.2097,0.2182,signal_month_t_to_return_month_t_plus_1
2025-02,neutral_watch,True,0.035849,0.066807,1,0,4,2025-03,0.2516,0.169,0.2089,signal_month_t_to_return_month_t_plus_1
2025-03,neutral_watch,True,-0.007196,0.061209,1,0,4,2025-04,1.4797,1.0284,0.3149,signal_month_t_to_return_month_t_plus_1
2025-04,conflict,True,0.048793,0.289576,1,2,4,2025-05,6.4977,-0.1034,0.1989,signal_month_t_to_return_month_t_plus_1
2025-05,risk_relief,True,-0.514589,0.514589,0,4,4,2025-06,15.3846,-0.0239,0.172,signal_month_t_to_return_month_t_plus_1
2025-06,risk_relief,True,-0.74736,0.74736,0,3,4,2025-07,5.7604,0.215,0.2246,signal_month_t_to_return_month_t_plus_1
2025-07,risk_relief,True,-0.512068,0.512068,0,4,4,2025-08,-1.6505,0.2463,0.1972,signal_month_t_to_return_month_t_plus_1
2025-08,conflict,True,-0.134109,0.238706,1,2,4,2025-09,10.2662,-0.3091,0.1409,signal_month_t_to_return_month_t_plus_1
2025-09,risk_relief,True,-0.429586,0.429586,0,4,4,2025-10,22.3621,-0.167,0.1577,signal_month_t_to_return_month_t_plus_1
2025-10,risk_relief,True,-0.684343,0.815657,1,3,4,2025-11,-4.291,-0.5734,0.1208,signal_month_t_to_return_month_t_plus_1
2025-11,risk_warning,True,0.226677,0.525584,2,2,4,2025-12,9.425,-1.0412,0.2365,signal_month_t_to_return_month_t_plus_1
2025-12,risk_relief,True,-0.216677,0.250462,0,3,4,2026-01,27.0815,-0.2833,0.1544,signal_month_t_to_return_month_t_plus_1
2026-01,risk_relief,True,-0.684094,0.684094,0,4,4,2026-02,21.7515,0.6494,0.1943,signal_month_t_to_return_month_t_plus_1
2026-02,risk_relief,True,-0.467199,0.967199,1,3,4,2026-03,-19.8576,-1.2016,0.1042,signal_month_t_to_return_month_t_plus_1
2026-03,accident_zone,True,0.641684,0.641684,3,0,4,2026-04,33.0365,0.1877,0.2261,signal_month_t_to_return_month_t_plus_1
2026-04,risk_relief,True,-0.416866,0.429755,0,3,4,2026-05,34.9432,0.0326,0.1431,signal_month_t_to_return_month_t_plus_1
2026-05,risk_relief,True,-0.605733,0.846208,1,3,4,2026-06,1.1868,0.3747,0.1937,signal_month_t_to_return_month_t_plus_1
