strategy_name,signal_month,return_month,hsi_state,monthly_return,monthly_return_pct,growth_index,cumulative_return,cumulative_return_pct,drawdown,drawdown_pct
EW_1_3,,2014-03,benchmark,0.15956666666666666,15.956666666666667,-17.431464426813687,-18.431464426813687,-1843.1464426813686,-1.5056948918079558,-150.56948918079559
EW_1_3,,2014-04,benchmark,-0.17126666666666665,-17.126666666666665,-14.44603561931473,-15.44603561931473,-1544.603561931473,-1.4190862133376465,-141.90862133376464
EW_1_3,,2014-05,benchmark,0.855,85.5,-26.79739607382882,-27.79739607382882,-2779.7396073828822,-1.7774049257413342,-177.7404925741334
EW_1_3,,2014-06,benchmark,0.2853,28.53,-34.442693173692184,-35.442693173692184,-3544.2693173692182,-1.999198551055337,-199.91985510553368
EW_1_3,,2014-07,benchmark,1.5967000000000002,159.67000000000002,-89.43734136412651,-90.43734136412651,-9043.734136412651,-3.5946188775253938,-359.4618877525394
EW_1_3,,2014-08,benchmark,-0.4711666666666667,-47.11666666666667,-47.29744735806223,-48.29744735806223,-4829.744735806223,-2.372120949731346,-237.21209497313458
EW_1_3,,2014-09,benchmark,-0.7346666666666667,-73.46666666666667,-12.54958936567251,-13.54958936567251,-1354.958936567251,-1.364069425328717,-136.40694253287168
EW_1_3,,2014-10,benchmark,-0.5075000000000001,-50.75000000000001,-6.18067276259371,-7.18067276259371,-718.067276259371,-1.1793041919743932,-117.93041919743932
EW_1_3,,2014-11,benchmark,0.5783333333333334,57.833333333333336,-9.755161843627073,-10.755161843627073,-1075.5161843627072,-1.283001782999584,-128.3001782999584
EW_1_3,,2014-12,benchmark,-0.7306,-73.06,-2.6280406006731334,-3.6280406006731334,-362.80406006731334,-1.076240680340088,-107.62406803400879
EW_1_3,,2015-01,benchmark,1.2228999999999999,122.28999999999999,-5.841871451236308,-6.841871451236308,-684.1871451236308,-1.1694754083279812,-116.94754083279813
EW_1_3,,2015-02,benchmark,0.11010000000000002,11.010000000000002,-6.485061498017426,-7.485061498017426,-748.5061498017426,-1.188134650784892,-118.8134650784892
EW_1_3,,2015-03,benchmark,1.1063666666666665,110.63666666666666,-13.659917370707303,-14.659917370707303,-1465.9917370707303,-1.3962805572582704,-139.62805572582704
EW_1_3,,2015-04,benchmark,1.2826,128.26,-31.18012739037649,-32.18012739037649,-3218.012739037649,-1.904549999997728,-190.4549999997728
EW_1_3,,2015-05,benchmark,-0.5711666666666666,-57.11666666666666,-13.371077962573121,-14.371077962573121,-1437.1077962573122,-1.3879011916656925,-138.79011916656924
EW_1_3,,2015-06,benchmark,-1.0996000000000001,-109.96000000000001,1.3317593650722848,0.33175936507228476,33.17593650722848,-0.9613650413100969,-96.13650413100969
EW_1_3,,2015-07,benchmark,-0.9907666666666666,-99.07666666666665,0.012296578137500886,-0.9877034218624992,-98.77034218624992,-0.9996432705480965,-99.96432705480966
EW_1_3,,2015-08,benchmark,-1.4367333333333334,-143.67333333333335,-0.005370325558584555,-1.0053703255585846,-100.53703255585846,-1.000155795642628,-100.0155795642628
EW_1_3,,2015-09,benchmark,0.9507333333333333,95.07333333333334,-0.010476073077982845,-1.010476073077983,-101.04760730779829,-1.0003039157532625,-100.03039157532625
EW_1_3,,2015-10,benchmark,2.0307333333333335,203.07333333333335,-0.03175018387987854,-1.0317501838798786,-103.17501838798786,-1.0009210876039376,-100.09210876039376
