Date,ticker,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs
2014-08-13,153130,0.00271,0.007427,0.003616,0.007963,0.001507,-0.015908,0.013751,0.026824,0.0,0,0.0
2014-08-14,153130,0.002316,0.00698,0.003208,0.007566,0.001852,-0.017619,0.013402,0.02642,-0.000295,0,0.0
2014-08-18,153130,0.002315,0.007276,0.003486,0.00773,0.002128,-0.00894,0.013598,0.026773,0.0,0,0.0
2014-08-19,153130,0.002167,0.007177,0.00337,0.007631,0.002156,-0.018886,0.013548,0.026521,0.0,0,0.0
2014-08-20,153130,0.002117,0.007226,0.003353,0.007647,0.002148,-0.017201,0.013597,0.02652,0.0,0,0.0
2014-08-21,153130,0.002166,0.007225,0.003336,0.007679,0.002141,0.00469,0.013646,0.02647,0.0,0,0.0
2014-08-22,153130,0.002117,0.007224,0.003318,0.007679,0.002111,-0.002985,0.013695,0.02652,0.0,0,0.0
2014-08-25,153130,0.001969,0.007174,0.00325,0.007545,0.002111,-0.005419,0.013493,0.026621,0.0,0,0.0
2014-08-26,153130,0.002018,0.007223,0.003234,0.007594,0.002102,-0.006876,0.013542,0.026571,0.0,0,0.0
2014-08-27,153130,0.001919,0.007173,0.003168,0.007561,0.002041,0.002149,0.013591,0.026621,0.0,0,0.0
2014-08-28,153130,0.002166,0.007371,0.00325,0.007708,0.002064,0.010975,0.013589,0.026671,0.0,0,0.0
2014-08-29,153130,0.002116,0.007221,0.003236,0.007658,0.002033,0.025715,0.013638,0.026722,0.0,0,0.0
2014-09-01,153130,0.002017,0.00732,0.003221,0.007624,0.002033,0.022765,0.013536,0.026671,0.0,0,0.0
2014-09-02,153130,0.001968,0.00717,0.003157,0.007558,0.002009,0.026903,0.013535,0.026721,0.0,0,0.0
2014-09-03,153130,0.002066,0.00702,0.003142,0.007557,0.002009,0.029425,0.013584,0.026722,0.0,0,0.0
2014-09-04,153130,0.002262,0.007217,0.003321,0.007787,0.002115,0.019688,0.013883,0.026923,0.0,0,0.0
2014-09-05,153130,0.003394,0.008403,0.00437,0.008924,0.004341,0.019744,0.014976,0.028031,0.0,0,0.0
2014-09-11,153130,0.002459,0.007562,0.003514,0.008016,0.005381,0.019255,0.014028,0.027225,-0.000735,0,0.0
2014-09-12,153130,0.002606,0.00766,0.003639,0.008147,0.005399,0.0049,0.014175,0.027174,-0.00049,0,0.0
2014-09-15,153130,0.002999,0.007955,0.004004,0.008542,0.005552,0.014779,0.014673,0.027627,0.0,0,0.0
2014-09-16,153130,0.002851,0.007805,0.003879,0.008393,0.00556,0.011401,0.014521,0.027627,0.0,0,0.0
2014-09-17,153130,0.002507,0.007657,0.003661,0.008162,0.005402,0.007608,0.014321,0.027376,-9.8e-05,0,0.0
2014-09-18,153130,0.00295,0.007656,0.003687,0.008291,0.005319,0.017268,0.014269,0.027425,0.0,0,0.0
2014-09-19,153130,0.002654,0.007655,0.003664,0.008209,0.005299,0.007579,0.014318,0.027425,0.0,0,0.0
2014-09-22,153130,0.002654,0.007456,0.003542,0.008109,0.005319,0.027639,0.014217,0.027425,0.0,0,0.0
2014-09-23,153130,0.002703,0.007505,0.003567,0.008158,0.005318,0.029603,0.014265,0.027475,0.0,0,0.0
