year_month,score_date,ticker,ticker_name,ticker_role,score_return,score_ma_pos,score_momentum,score_vol,score_rs,direction_date,hsi_direction,raw3_signal_date,raw3_signal,raw_signal_date,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs,event_balance_raw,event_intensity_raw,event_balance_13612w,event_intensity_13612w,event_balance_13612w_label,event_intensity_13612w_label
2012-08,2012-08-31,069500,KODEX 200,위험자산,-1.111889926808045,-0.3423317050944718,-3.464110119208117,-2.02301189039137,,2012-08-31,-0.1388268728300401,2012-08-31,watch,2012-08-31,-0.000598,0.027036,0.010299,0.013219,0.156154,0.0,,,-0.040007,0,0.003347,-0.1052631578947368,0.3157894736842105,,,mixed_or_neutral,low_accumulated_intensity
2012-08,2012-08-31,114260,KODEX 국고채3년,방어 채권,2.734530915191354,-6.993085837449481,-1.74844301018278,-0.8425029591048628,0.8233573669355032,2012-08-31,-0.1205228704922053,2012-08-31,watch,2012-08-31,0.004715,0.022067,0.010419,0.013391,0.014164,0.005313,,,0.0,0,0.00135,-0.1052631578947368,0.3157894736842105,,,mixed_or_neutral,low_accumulated_intensity
2012-08,2012-08-31,153130,KODEX 단기채권PLUS,현금성 방어자산,6.636191393592682,-10.0,-1.880996282910425,-4.14640964079492,0.7146551107961405,2012-08-31,-0.1735311883863304,2012-08-31,watch,2012-08-31,0.002362,0.008467,0.003794,0.005415,0.001212,0.00296,,,0.0,0,0.0,-0.1052631578947368,0.3157894736842105,,,mixed_or_neutral,low_accumulated_intensity
2012-09,2012-09-30,069500,KODEX 200,위험자산,-4.704941101634016,-5.037062655269462,-4.770573945972488,1.341521908512817,,2012-09-30,-0.263421115887263,2012-09-30,watch,2012-09-30,0.046331,0.072135,0.044003,0.033981,0.190716,0.0,-0.016524,,-0.009413,0,0.047239,-0.0454545454545454,0.7727272727272727,,,mixed_or_neutral,low_accumulated_intensity
2012-09,2012-09-30,114260,KODEX 국고채3년,방어 채권,4.041926995303796,-1.94571446577912,-5.523425122803214,-0.691603921284767,4.654780890592315,2012-09-30,0.0107192875205801,2012-09-30,watch,2012-09-30,0.002147,0.021811,0.005192,0.020684,0.014331,-0.044184,0.038093,,0.0,0,-0.000512,-0.0454545454545454,0.7727272727272727,,,mixed_or_neutral,low_accumulated_intensity
2012-09,2012-09-30,153130,KODEX 단기채권PLUS,현금성 방어자산,5.686467286439946,-5.551171419197201,-7.270778224163028,-1.593620997144371,4.487739441603863,2012-09-30,-0.0848272782492157,2012-09-30,watch,2012-09-30,0.002259,0.007952,0.00326,0.009018,0.001483,-0.044072,0.016842,,0.0,0,0.0,-0.0454545454545454,0.7727272727272727,,,mixed_or_neutral,low_accumulated_intensity
2012-10,2012-10-31,069500,KODEX 200,위험자산,3.444205808257003,0.9893590627899298,1.489170602525685,-4.201293253275571,,2012-10-31,0.0344288444059409,2012-10-31,watch,2012-10-31,-0.04599,0.000997,-0.021719,-0.033122,0.128778,0.0,-0.054371,,-0.05497,0,-0.047385,0.1363636363636363,0.409090909090909,0.0320833497642708,0.5406388841421735,mixed_or_neutral,high_accumulated_intensity
2012-10,2012-10-31,114260,KODEX 국고채3년,방어 채권,2.797219330755433,-0.0922611988253743,-1.500926468045316,-4.013194871408492,-3.118138212528545,2012-10-31,-0.1185460284010459,2012-10-31,watch,2012-10-31,0.002864,0.009292,0.004332,0.015302,0.009639,0.048854,0.033749,,-9.2e-05,0,0.000283,0.1363636363636363,0.409090909090909,0.0320833497642708,0.5406388841421735,mixed_or_neutral,high_accumulated_intensity
2012-10,2012-10-31,153130,KODEX 단기채권PLUS,현금성 방어자산,2.960129648320758,-4.021418054311729,-4.721944784052519,-0.7507184966725827,-3.427299995170393,2012-10-31,-0.1992250336377294,2012-10-31,watch,2012-10-31,0.002401,0.006842,0.003291,0.008479,0.00158,0.048392,0.016195,,0.0,0,0.0,0.1363636363636363,0.409090909090909,0.0320833497642708,0.5406388841421735,mixed_or_neutral,high_accumulated_intensity
2012-11,2012-11-30,069500,KODEX 200,위험자산,-2.246816288536872,-2.661433747558147,-4.705859135626024,-3.799299734554263,,2012-11-30,-0.2682681781255061,2012-11-30,watch,2012-11-30,0.028784,0.019143,0.003547,0.031541,0.12968,0.0,0.046696,,-0.037839,0,0.014853,0.2727272727272727,0.6363636363636364,0.1135960165565428,0.4825914217361585,risk_accumulation,high_accumulated_intensity
2012-11,2012-11-30,114260,KODEX 국고채3년,방어 채권,4.280665186732809,3.288140717000172,1.547575738975744,-3.292241728593777,3.690350994569397,2012-11-30,0.1902898181736869,2012-11-30,watch,2012-11-30,0.000737,0.004924,0.002189,0.010921,0.009476,-0.028047,0.027101,,-0.000736,0,-0.001304,0.2727272727272727,0.6363636363636364,0.1135960165565428,0.4825914217361585,risk_accumulation,high_accumulated_intensity
2012-11,2012-11-30,153130,KODEX 단기채권PLUS,현금성 방어자산,5.055455813589582,-1.709454592158728,-2.966019292690734,10.0,3.434498535274547,2012-11-30,0.2762896092802933,2012-11-30,watch,2012-11-30,0.001955,0.006629,0.002979,0.007912,0.026745,-0.026829,0.015152,,-0.004757,0,0.0,0.2727272727272727,0.6363636363636364,0.1135960165565428,0.4825914217361585,risk_accumulation,high_accumulated_intensity
2012-12,2012-12-31,069500,KODEX 200,위험자산,-4.996433509521657,-5.408667881506645,-6.443225210820022,-7.145594830715529,,2012-12-31,-0.4798784286512771,2012-12-31,buy,2012-12-31,0.047844,0.020713,0.043413,0.057872,0.083996,0.0,0.105058,,0.0,0,0.051448,-0.12,0.6,0.1315388953760664,0.6033886887357283,risk_accumulation,high_accumulated_intensity
2012-12,2012-12-31,114260,KODEX 국고채3년,방어 채권,2.2187781308234,2.548430253404331,0.8701711367882446,-0.2338978939547574,4.431990527703674,2012-12-31,0.1967094430952978,2012-12-31,watch,2012-12-31,0.002988,0.005583,0.002587,0.011645,0.013272,-0.044856,0.026365,,0.0,0,-0.000256,-0.12,0.6,0.1315388953760664,0.6033886887357283,risk_accumulation,high_accumulated_intensity
2012-12,2012-12-31,153130,KODEX 단기채권PLUS,현금성 방어자산,0.5386270862601218,-2.770792718511972,-3.34777692630156,-1.48384550782931,4.424676772170701,2012-12-31,-0.0527822258842403,2012-12-31,watch,2012-12-31,0.002559,0.007179,0.003201,0.008243,0.001534,-0.045285,0.014991,,-0.0026,0,0.0,-0.12,0.6,0.1315388953760664,0.6033886887357283,risk_accumulation,high_accumulated_intensity
2013-01,2013-01-31,069500,KODEX 200,위험자산,3.317969114131148,-0.1098207556181096,-2.436877314373411,-4.942436422496691,,2013-01-31,-0.0834233075671412,2013-01-31,watch,2013-01-31,-0.040177,0.046413,0.006351,0.022237,0.102739,0.0,0.060476,,-0.040177,0,-0.038653,0.1153846153846153,0.5,0.0048157758186293,0.4330480641038662,mixed_or_neutral,high_accumulated_intensity
2013-01,2013-01-31,114260,KODEX 국고채3년,방어 채권,2.606118486625532,2.648732115954087,2.983126092711754,-3.43542074247135,-3.402315068506401,2013-01-31,0.0280048176862724,2013-01-31,watch,2013-01-31,0.004178,0.006712,0.003797,0.00883,0.00945,0.044355,0.015598,,-0.001385,0,9.7e-05,0.1153846153846153,0.5,0.0048157758186293,0.4330480641038662,mixed_or_neutral,high_accumulated_intensity
2013-01,2013-01-31,153130,KODEX 단기채권PLUS,현금성 방어자산,3.867321178593173,-1.5093917152999,-1.808911921647023,-1.249328801843568,-3.523296970045816,2013-01-31,-0.0844721646048626,2013-01-31,watch,2013-01-31,0.002149,0.00678,0.003061,0.007532,0.001841,0.042325,0.013669,,-0.000307,0,0.0,0.1153846153846153,0.5,0.0048157758186293,0.4330480641038662,mixed_or_neutral,high_accumulated_intensity
2013-02,2013-02-28,069500,KODEX 200,위험자산,-3.555294963619224,-4.428230229598647,-5.73834157489177,-2.565575737715107,,2013-02-28,-0.325748850116495,2013-02-28,buy,2013-02-28,0.041771,0.076158,0.027849,0.061164,0.124766,0.0,0.065564,,-0.00258,0,0.034587,-0.2692307692307693,0.5,-0.0235104755052123,0.4366269976743661,mixed_or_neutral,high_accumulated_intensity
2013-02,2013-02-28,114260,KODEX 국고채3년,방어 채권,-2.254033807981792,-2.477976835103927,0.0478553362128478,-5.571979918750568,3.701313802836543,2013-02-28,-0.1310964284557379,2013-02-28,watch,2013-02-28,0.006009,0.012203,0.007347,0.012362,0.006305,-0.035763,0.018875,,0.0,0,0.004068,-0.2692307692307693,0.5,-0.0235104755052123,0.4366269976743661,mixed_or_neutral,high_accumulated_intensity
2013-02,2013-02-28,153130,KODEX 단기채권PLUS,현금성 방어자산,-0.6823110212812704,-3.129190384839651,-2.896642020996596,-1.422554342079045,3.926448227663497,2013-02-28,-0.0840849908306612,2013-02-28,watch,2013-02-28,0.002693,0.007418,0.003524,0.008169,0.001391,-0.039078,0.014398,,0.0,0,0.0,-0.2692307692307693,0.5,-0.0235104755052123,0.4366269976743661,mixed_or_neutral,high_accumulated_intensity
2013-03,2013-03-31,069500,KODEX 200,위험자산,1.741623774520669,-1.423878927799073,-0.1873524849647368,-3.765014427756009,,2013-03-31,-0.072692441319983,2013-03-31,watch,2013-03-31,-0.00877,0.008161,0.006041,0.001817,0.109562,0.0,0.006061,-0.009373,-0.019202,0,-0.020666,-0.1538461538461538,0.1538461538461538,-0.0837834807183973,0.340464442318486,relief_accumulation,medium_accumulated_intensity
2013-03,2013-03-31,114260,KODEX 국고채3년,방어 채권,-1.654576801728204,-5.032638832325217,-2.878581427747398,-0.2316505423218874,-0.904826137538471,2013-03-31,-0.2140454748332235,2013-03-31,watch,2013-03-31,0.006168,0.018902,0.008842,0.01595,0.012388,0.014938,0.022779,0.064179,-9.2e-05,0,0.003887,-0.1538461538461538,0.1538461538461538,-0.0837834807183973,0.340464442318486,relief_accumulation,medium_accumulated_intensity
2013-03,2013-03-31,153130,KODEX 단기채권PLUS,현금성 방어자산,1.700096970896338,-2.620617596380145,-2.4796436089214,-1.113358453417711,-0.7629084057777347,2013-03-31,-0.105528621872013,2013-03-31,watch,2013-03-31,0.002238,0.007459,0.00339,0.008024,0.001819,0.011008,0.014374,0.031468,0.0,0,0.0,-0.1538461538461538,0.1538461538461538,-0.0837834807183973,0.340464442318486,relief_accumulation,medium_accumulated_intensity
2013-04,2013-04-30,069500,KODEX 200,위험자산,1.454078400571962,0.5332414325260137,-0.4284460637854777,-1.078070312681835,,2013-04-30,0.0096160691326132,2013-04-30,watch,2013-04-30,-0.026242,-0.007123,-0.012028,0.002674,0.138165,0.0,0.041388,-0.014127,-0.047637,0,-0.019586,0.1153846153846153,0.3461538461538461,0.0686146225544556,0.3982921909092788,risk_accumulation,medium_accumulated_intensity
2013-04,2013-04-30,114260,KODEX 국고채3년,방어 채권,3.287534800262162,-1.953495695851298,0.2813237137337024,4.650272401792005,-1.911283361577925,2013-04-30,0.0870870371671729,2013-04-30,watch,2013-04-30,0.002018,0.01407,0.006434,0.012604,0.018872,0.02826,0.021725,0.057813,0.0,0,-0.000312,0.1153846153846153,0.3461538461538461,0.0686146225544556,0.3982921909092788,risk_accumulation,medium_accumulated_intensity
2013-04,2013-04-30,153130,KODEX 단기채권PLUS,현금성 방어자산,4.353938909514564,-0.6927252232580952,-0.9210660961840432,-0.7313741757061981,-2.154664086695838,2013-04-30,-0.0029178134465922,2013-04-30,watch,2013-04-30,0.001886,0.006832,0.00299,0.007441,0.002503,0.028128,0.013604,0.030433,0.0,0,0.0,0.1153846153846153,0.3461538461538461,0.0686146225544556,0.3982921909092788,risk_accumulation,medium_accumulated_intensity
2013-05,2013-05-31,069500,KODEX 200,위험자산,-2.506835910540739,-1.636699783348437,-1.095690461928748,-2.340276612952866,,2013-05-31,-0.1515900553754158,2013-05-31,watch,2013-05-31,0.021297,-0.026636,0.017008,0.014052,0.124246,0.0,0.047494,0.083696,-0.012772,0,0.025083,0.3076923076923077,0.5384615384615384,0.1046795729148233,0.3651469135585222,risk_accumulation,medium_accumulated_intensity
2013-05,2013-05-31,114260,KODEX 국고채3년,방어 채권,10.0,10.0,9.47447776844906,3.229681966341031,2.863569277848354,2013-05-31,0.7113545802527689,2013-05-31,caution,2013-05-31,-0.00595,0.002015,-0.002747,0.003436,0.017831,-0.027247,0.014243,0.043674,-0.007767,0,-0.009599,0.3076923076923077,0.5384615384615384,0.1046795729148233,0.3651469135585222,risk_accumulation,medium_accumulated_intensity
2013-05,2013-05-31,153130,KODEX 단기채권PLUS,현금성 방어자산,3.152091682428718,0.8382201988123736,-0.0750317661293159,-1.170088466008441,1.943277037120694,2013-05-31,0.0937693737244805,2013-05-31,watch,2013-05-31,0.002179,0.006316,0.00293,0.007426,0.001842,-0.019118,0.013781,0.029353,0.0,0,0.0,0.3076923076923077,0.5384615384615384,0.1046795729148233,0.3651469135585222,risk_accumulation,medium_accumulated_intensity
2013-06,2013-06-30,069500,KODEX 200,위험자산,7.695177341570094,6.010180745254901,7.89718941407547,6.260339984594482,,2013-06-30,0.5572577497098989,2013-06-30,caution,2013-06-30,-0.073769,-0.079234,-0.040628,-0.075838,0.194468,0.0,-0.07451,0.008435,-0.075186,0,-0.076356,0.6785714285714286,0.8928571428571428,0.3065400963906602,0.5541022042215651,risk_accumulation,high_accumulated_intensity
2013-06,2013-06-30,114260,KODEX 국고채3년,방어 채권,5.733779011263858,8.437784950644037,9.350474660730264,10.0,-6.983245809233638,2013-06-30,0.5307758562680904,2013-06-30,caution,2013-06-30,-0.00324,-0.006897,-0.004636,0.000484,0.030504,0.070528,0.011591,0.036629,-0.010527,0,-0.00576,0.6785714285714286,0.8928571428571428,0.3065400963906602,0.5541022042215651,risk_accumulation,high_accumulated_intensity
2013-06,2013-06-30,153130,KODEX 단기채권PLUS,현금성 방어자산,2.420506687271138,1.94823771947828,1.366850848095525,-1.183610345066499,-7.61303519455701,2013-06-30,-0.0612210056955713,2013-06-30,watch,2013-06-30,0.001977,0.006105,0.002846,0.007213,0.001778,0.075746,0.013558,0.028585,0.0,0,0.0,0.6785714285714286,0.8928571428571428,0.3065400963906602,0.5541022042215651,risk_accumulation,high_accumulated_intensity
2013-07,2013-07-31,069500,KODEX 200,위험자산,-4.422122902719886,0.3018431337682679,1.809589789925745,1.65088291863343,,2013-07-31,-0.0131961412078488,2013-07-31,watch,2013-07-31,0.027979,-0.030671,0.000742,-0.013422,0.157787,0.0,-0.037575,0.058357,-0.050884,0,0.045395,0.3214285714285714,0.5357142857142857,0.3612360561848344,0.5823803926336821,risk_accumulation,high_accumulated_intensity
2013-07,2013-07-31,114260,KODEX 국고채3년,방어 채권,-0.4587529470916137,5.007251724615276,6.848385352357863,1.591428881259515,2.560821722897646,2013-07-31,0.3109826946807737,2013-07-31,caution,2013-07-31,0.002799,-0.006775,-0.00053,0.001075,0.017808,-0.025181,0.0072,0.021117,-0.006229,0,0.001122,0.3214285714285714,0.5357142857142857,0.3612360561848344,0.5823803926336821,risk_accumulation,high_accumulated_intensity
2013-07,2013-07-31,153130,KODEX 단기채권PLUS,현금성 방어자산,3.35973077100077,4.337053550930051,2.991726281237228,-1.304368540899526,2.589204164230738,2013-07-31,0.2394669245299852,2013-07-31,watch,2013-07-31,0.001775,0.006092,0.002591,0.006944,0.001566,-0.026204,0.012966,0.026607,0.0,0,0.0,0.3214285714285714,0.5357142857142857,0.3612360561848344,0.5823803926336821,risk_accumulation,high_accumulated_intensity
2013-08,2013-08-31,069500,KODEX 200,위험자산,-1.385608070568807,-3.15941995494074,3.183851885504671,1.100871940169954,,2013-08-31,-0.0052060839966984,2013-08-31,watch,2013-08-31,0.012109,-0.039391,0.030264,-0.030753,0.145704,0.0,-0.064978,-0.003674,-0.004737,0,0.009169,0.1071428571428571,0.4642857142857143,0.3696225357766711,0.5787683548698586,risk_accumulation,high_accumulated_intensity
2013-08,2013-08-31,114260,KODEX 국고채3년,방어 채권,-2.200878835088902,0.8943164068170386,4.012225812954294,-0.522409083693833,1.321034901520006,2013-08-31,0.070085784050172,2013-08-31,watch,2013-08-31,0.003535,0.002702,0.004287,0.003653,0.013735,-0.008574,0.004723,0.023687,0.0,0,0.001896,0.1071428571428571,0.4642857142857143,0.3696225357766711,0.5787683548698586,risk_accumulation,high_accumulated_intensity
2013-08,2013-08-31,153130,KODEX 단기채권PLUS,현금성 방어자산,1.409849180603558,3.725885040536642,3.936107140197716,-1.435132753233768,1.468617438736898,2013-08-31,0.1821065209368209,2013-08-31,watch,2013-08-31,0.002215,0.006128,0.002813,0.006942,0.001278,-0.009894,0.012483,0.027061,0.0,0,0.0,0.1071428571428571,0.4642857142857143,0.3696225357766711,0.5787683548698586,risk_accumulation,high_accumulated_intensity
2013-09,2013-09-30,069500,KODEX 200,위험자산,-6.159896748010485,-5.171062862508712,-5.175114119854383,-3.575495919049434,,2013-09-30,-0.4016313929884603,2013-09-30,buy,2013-09-30,0.06668,0.094392,0.05014,0.052249,0.106721,0.0,-0.004324,0.000218,-0.008367,0,0.061493,-0.2857142857142857,0.5714285714285714,0.1622251399394256,0.5770556982699839,risk_accumulation,high_accumulated_intensity
2013-09,2013-09-30,114260,KODEX 국고채3년,방어 채권,-5.215508197052094,-2.976750326932496,0.3048777425072161,1.573645551898762,6.022184223049717,2013-09-30,-0.0058310201305778,2013-09-30,watch,2013-09-30,0.007443,0.011767,0.007329,0.00861,0.017182,-0.059237,0.006619,0.027666,0.0,0,0.004429,-0.2857142857142857,0.5714285714285714,0.1622251399394256,0.5770556982699839,risk_accumulation,high_accumulated_intensity
2013-09,2013-09-30,153130,KODEX 단기채권PLUS,현금성 방어자산,-1.765115317096194,1.193610605648957,2.436535264419464,-1.201718871328725,6.388228371190577,2013-09-30,0.1410308010566816,2013-09-30,watch,2013-09-30,0.002408,0.006563,0.003071,0.007293,0.001684,-0.064272,0.01291,0.027161,0.0,0,0.0,-0.2857142857142857,0.5714285714285714,0.1622251399394256,0.5770556982699839,risk_accumulation,high_accumulated_intensity
2013-10,2013-10-31,069500,KODEX 200,위험자산,-1.872211831073735,-4.179231462350772,-4.398257394990165,-2.327943507319617,,2013-10-31,-0.2555528839146858,2013-10-31,watch,2013-10-31,0.02397,0.079228,0.039875,0.052277,0.111908,0.0,0.053633,0.066774,-0.014942,0,0.02044,-0.25,0.3214285714285714,-0.0476472297543726,0.5144281472495758,mixed_or_neutral,high_accumulated_intensity
2013-10,2013-10-31,114260,KODEX 국고채3년,방어 채권,-0.9916260571097844,-2.701669802387499,0.6061684200216347,-1.931033428175351,1.980042114907028,2013-10-31,-0.0607623750548794,2013-10-31,watch,2013-10-31,0.002686,0.012595,0.006413,0.007275,0.011651,-0.021283,0.006545,0.027858,-0.000646,0,0.000808,-0.25,0.3214285714285714,-0.0476472297543726,0.5144281472495758,mixed_or_neutral,high_accumulated_intensity
2013-10,2013-10-31,153130,KODEX 단기채권PLUS,현금성 방어자산,-0.3064354294381741,0.9453838470200118,1.285995288620378,-1.370283740368398,1.969331467793529,2013-10-31,0.0504798286725469,2013-10-31,watch,2013-10-31,0.002255,0.006697,0.003156,0.007395,0.001395,-0.021714,0.013232,0.026909,0.0,0,0.0,-0.25,0.3214285714285714,-0.0476472297543726,0.5144281472495758,mixed_or_neutral,high_accumulated_intensity
2013-11,2013-11-30,069500,KODEX 200,위험자산,-0.0270264837712376,-4.188390382658989,-3.843215232588809,2.562310575792725,,2013-11-30,-0.1099264304645262,2013-11-30,watch,2013-11-30,0.008989,0.102066,0.023103,0.050892,0.147519,0.0,0.041621,0.097882,-0.006088,0,0.004492,0.1428571428571428,0.5714285714285714,0.1055153814439528,0.4681368393511251,risk_accumulation,high_accumulated_intensity
2013-11,2013-11-30,114260,KODEX 국고채3년,방어 채권,4.729941956170136,2.432703072954642,4.459498003681,-1.849351561292368,0.8882335578568011,2013-11-30,0.2132205005874042,2013-11-30,watch,2013-11-30,-0.00388,0.00623,-0.000149,0.001571,0.012295,-0.012869,0.002363,0.020383,-0.004524,0,-0.00491,0.1428571428571428,0.5714285714285714,0.1055153814439528,0.4681368393511251,risk_accumulation,high_accumulated_intensity
2013-11,2013-11-30,153130,KODEX 단기채권PLUS,현금성 방어자산,1.553908275920391,2.257861008891039,3.594128763863339,-1.391929543738998,0.2992653950279981,2013-11-30,0.1262646779992754,2013-11-30,watch,2013-11-30,0.001859,0.006536,0.002858,0.006933,0.001354,-0.00713,0.012406,0.026507,0.0,0,0.0,0.1428571428571428,0.5714285714285714,0.1055153814439528,0.4681368393511251,risk_accumulation,high_accumulated_intensity
2013-12,2013-12-31,069500,KODEX 200,위험자산,1.415351616648068,-2.441552856079743,-4.049854671193881,-3.277228505741379,,2013-12-31,-0.1670656883273387,2013-12-31,watch,2013-12-31,-0.010026,0.013881,0.008689,0.052292,0.1059,0.0,0.153021,0.017052,-0.016418,0,-0.012524,-0.1785714285714285,0.25,0.0804171463457177,0.4145436944008372,risk_accumulation,high_accumulated_intensity
2013-12,2013-12-31,114260,KODEX 국고채3년,방어 채권,-3.992099947999977,-2.646917180605533,-2.590335833181149,0.4169194594004326,-1.938024554304409,2013-12-31,-0.2150091611338127,2013-12-31,watch,2013-12-31,0.00613,0.005198,0.004195,0.009897,0.016005,0.016156,0.018361,0.027762,-0.001393,0,0.003813,-0.1785714285714285,0.25,0.0804171463457177,0.4145436944008372,risk_accumulation,high_accumulated_intensity
2013-12,2013-12-31,153130,KODEX 단기채권PLUS,현금성 방어자산,-0.6879009003870176,-0.0598976530592329,0.9136730986902764,-0.9647869492306684,-1.405633484328647,2013-12-31,-0.0440909177663057,2013-12-31,watch,2013-12-31,0.002228,0.006405,0.003005,0.007265,0.001344,0.012254,0.013161,0.026589,0.0,0,0.0,-0.1785714285714285,0.25,0.0804171463457177,0.4145436944008372,risk_accumulation,high_accumulated_intensity
2014-01,2014-01-31,069500,KODEX 200,위험자산,4.570075223523725,2.087883017952142,2.49781560066239,1.702764498314372,,2014-01-31,0.2171707668090526,2014-01-31,watch,2014-01-31,-0.03878,-0.054445,-0.020814,-0.019804,0.144172,0.0,0.033814,-0.028993,-0.052339,0,-0.044484,0.0,0.2962962962962963,0.0583342119373865,0.3451870974410657,risk_accumulation,medium_accumulated_intensity
2014-01,2014-01-31,114260,KODEX 국고채3년,방어 채권,-0.4785867741710448,-2.430343917993993,-0.2995255562059385,-1.523144094956637,-4.21028891578051,2014-01-31,-0.1788377851821625,2014-01-31,watch,2014-01-31,0.000928,0.004185,0.005159,0.006779,0.013366,0.039709,0.015224,0.022914,0.0,0,0.000226,0.0,0.2962962962962963,0.0583342119373865,0.3451870974410657,risk_accumulation,medium_accumulated_intensity
2014-01,2014-01-31,153130,KODEX 단기채권PLUS,현금성 방어자산,-0.6318865897853319,-0.6364870865878123,0.8479041425853076,-4.921545208880885,-4.14736100937361,2014-01-31,-0.1897875150408466,2014-01-31,watch,2014-01-31,0.002249,0.006395,0.003135,0.00721,0.001087,0.041029,0.012987,0.026125,0.0,0,0.0,0.0,0.2962962962962963,0.0583342119373865,0.3451870974410657,risk_accumulation,medium_accumulated_intensity
