strategy_name,combo_id,combo_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,strategy_return,turnover,weight_069500,return_069500,contribution_069500,weight_114260,return_114260,contribution_114260,weight_153130,return_153130,contribution_153130,cumulative_return,running_max,drawdown
EW,EW,Equal Weight,2016-09,2016-10,EW,동일가중,equal_weight,-0.003188333333333333,0.0,0.3333333333333333,-0.00526,-0.0017533333333333333,0.3333333333333333,-0.0048,-0.0015999999999999999,0.3333333333333333,0.000495,0.000165,1.1012556349653582,1.1047780356022032,-0.0031883333333333486
EW,EW,Equal Weight,2016-10,2016-11,EW,동일가중,equal_weight,-0.004094,0.0,0.3333333333333333,-0.0047,-0.0015666666666666667,0.3333333333333333,-0.007681,-0.0025603333333333333,0.3333333333333333,9.9e-05,3.2999999999999996e-05,1.09674709439581,1.1047780356022032,-0.007269280296666736
EW,EW,Equal Weight,2016-11,2016-12,EW,동일가중,equal_weight,0.014064,0.0,0.3333333333333333,0.036009,0.012003,0.3333333333333333,0.004439,0.0014796666666666667,0.3333333333333333,0.001744,0.0005813333333333333,1.1121717455313926,1.1121717455313926,0.0
EW,EW,Equal Weight,2016-12,2017-01,EW,동일가중,equal_weight,0.011872666666666667,0.0,0.3333333333333333,0.034758,0.011585999999999999,0.3333333333333333,-0.00054,-0.00017999999999999998,0.3333333333333333,0.0014,0.00046666666666666666,1.1253761899421717,1.1253761899421717,0.0
EW,EW,Equal Weight,2017-01,2017-02,EW,동일가중,equal_weight,0.002396,0.0,0.3333333333333333,0.004589,0.0015296666666666666,0.3333333333333333,0.001351,0.0004503333333333333,0.3333333333333333,0.001248,0.000416,1.1280725912932732,1.1280725912932732,0.0
EW,EW,Equal Weight,2017-02,2017-03,EW,동일가중,equal_weight,0.015592666666666664,0.0,0.3333333333333333,0.042938,0.014312666666666665,0.3333333333333333,0.002693,0.0008976666666666666,0.3333333333333333,0.001147,0.0003823333333333333,1.145662251185112,1.145662251185112,0.0
EW,EW,Equal Weight,2017-03,2017-04,EW,동일가중,equal_weight,0.008539333333333335,0.0,0.3333333333333333,0.023893,0.007964333333333334,0.3333333333333333,0.000629,0.00020966666666666665,0.3333333333333333,0.001096,0.0003653333333333333,1.1554454430353986,1.1554454430353986,0.0
EW,EW,Equal Weight,2017-04,2017-05,EW,동일가중,equal_weight,0.022454,0.0,0.3333333333333333,0.064011,0.021337,0.3333333333333333,0.002157,0.000719,0.3333333333333333,0.001194,0.00039799999999999997,1.1813898150133155,1.1813898150133155,0.0
EW,EW,Equal Weight,2017-05,2017-06,EW,동일가중,equal_weight,0.008252999999999998,0.0,0.3333333333333333,0.024195,0.008065,0.3333333333333333,-0.00038,-0.00012666666666666666,0.3333333333333333,0.000944,0.00031466666666666665,1.1911398251566205,1.1911398251566205,0.0
EW,EW,Equal Weight,2017-06,2017-07,EW,동일가중,equal_weight,0.003254,0.0,0.3333333333333333,0.00744,0.00248,0.3333333333333333,0.001081,0.0003603333333333333,0.3333333333333333,0.001241,0.0004136666666666666,1.1950157941476802,1.1950157941476802,0.0
EW,EW,Equal Weight,2017-07,2017-08,EW,동일가중,equal_weight,-0.006332999999999999,0.0,0.3333333333333333,-0.020661,-0.006886999999999999,0.3333333333333333,0.00072,0.00024,0.3333333333333333,0.000942,0.000314,1.187447759123343,1.1950157941476802,-0.006332999999999922
EW,EW,Equal Weight,2017-08,2017-09,EW,동일가중,equal_weight,0.009120666666666666,0.0,0.3333333333333333,0.028887,0.009628999999999999,0.3333333333333333,-0.002417,-0.0008056666666666666,0.3333333333333333,0.000892,0.0002973333333333333,1.1982780743183872,1.1982780743183872,0.0
EW,EW,Equal Weight,2017-09,2017-10,EW,동일가중,equal_weight,0.015821,0.0,0.3333333333333333,0.053798,0.017932666666666666,0.3333333333333333,-0.006236,-0.0020786666666666666,0.3333333333333333,-9.9e-05,-3.2999999999999996e-05,1.2172360317321784,1.2172360317321784,0.0
EW,EW,Equal Weight,2017-10,2017-11,EW,동일가중,equal_weight,-0.006830666666666667,0.0,0.3333333333333333,-0.025169,-0.008389666666666667,0.3333333333333333,0.003638,0.0012126666666666666,0.3333333333333333,0.001039,0.0003463333333333333,1.2089214981447598,1.2172360317321784,-0.0068306666666666516
EW,EW,Equal Weight,2017-11,2017-12,EW,동일가중,equal_weight,0.0031843333333333337,0.0,0.3333333333333333,0.00753,0.00251,0.3333333333333333,0.000635,0.00021166666666666667,0.3333333333333333,0.001388,0.0004626666666666666,1.2127711071686853,1.2172360317321784,-0.00366808445288902
EW,EW,Equal Weight,2017-12,2018-01,EW,동일가중,equal_weight,0.008669,0.0,0.3333333333333333,0.028219,0.009406333333333333,0.3333333333333333,-0.003912,-0.0013039999999999998,0.3333333333333333,0.0017,0.0005666666666666666,1.2232846198967307,1.2232846198967307,0.0
EW,EW,Equal Weight,2018-01,2018-02,EW,동일가중,equal_weight,-0.018227999999999998,0.0,0.3333333333333333,-0.059784,-0.019927999999999998,0.3333333333333333,0.003653,0.0012176666666666666,0.3333333333333333,0.001447,0.0004823333333333333,1.200986587845253,1.2232846198967307,-0.018228000000000022
EW,EW,Equal Weight,2018-02,2018-03,EW,동일가중,equal_weight,0.004445666666666666,0.0,0.3333333333333333,0.00852,0.0028399999999999996,0.3333333333333333,0.003671,0.0012236666666666665,0.3333333333333333,0.001146,0.000382,1.2063257738859503,1.2232846198967307,-0.013863368945333465
EW,EW,Equal Weight,2018-03,2018-04,EW,동일가중,equal_weight,0.009523333333333333,0.0,0.3333333333333333,0.025258,0.008419333333333332,0.3333333333333333,0.001819,0.0006063333333333333,0.3333333333333333,0.001493,0.0004976666666666667,1.2178140163392575,1.2232846198967307,-0.004472061095589508
EW,EW,Equal Weight,2018-04,2018-05,EW,동일가중,equal_weight,-0.011238,0.0,0.3333333333333333,-0.037152,-0.012384,0.3333333333333333,0.001997,0.0006656666666666666,0.3333333333333333,0.001441,0.0004803333333333333,1.204128222423637,1.2232846198967307,-0.015659804072997274
EW,EW,Equal Weight,2018-05,2018-06,EW,동일가중,equal_weight,-0.009507333333333335,0.0,0.3333333333333333,-0.033923,-0.011307666666666667,0.3333333333333333,0.00421,0.0014033333333333333,0.3333333333333333,0.001191,0.000397,1.1926801740369812,1.2232846198967307,-0.025018254429073905
EW,EW,Equal Weight,2018-06,2018-07,EW,동일가중,equal_weight,-0.0007706666666666667,0.0,0.3333333333333333,-0.005827,-0.0019423333333333332,0.3333333333333333,0.002177,0.0007256666666666667,0.3333333333333333,0.001338,0.000446,1.1917610151828566,1.2232846198967307,-0.02576964036099405
EW,EW,Equal Weight,2018-07,2018-08,EW,동일가중,equal_weight,0.0045706666666666665,0.0,0.3333333333333333,0.005201,0.0017336666666666666,0.3333333333333333,0.006878,0.002292666666666667,0.3333333333333333,0.001633,0.0005443333333333333,1.1972081575295859,1.2232846198967307,-0.02131675813053724
EW,EW,Equal Weight,2018-08,2018-09,EW,동일가중,equal_weight,0.0019346666666666666,0.0,0.3333333333333333,0.005507,0.0018356666666666664,0.3333333333333333,-0.000691,-0.0002303333333333333,0.3333333333333333,0.000988,0.0003293333333333333,1.1995243562450197,1.2232846198967307,-0.01942333228526716
EW,EW,Equal Weight,2018-09,2018-10,EW,동일가중,equal_weight,-0.038648,0.0,0.3333333333333333,-0.121297,-0.040432333333333334,0.3333333333333333,0.003971,0.0013236666666666666,0.3333333333333333,0.001382,0.0004606666666666666,1.1531651389248623,1.2232846198967307,-0.05732065933910613
EW,EW,Equal Weight,2018-10,2018-11,EW,동일가중,equal_weight,0.011308,0.0,0.3333333333333333,0.029177,0.009725666666666667,0.3333333333333333,0.003416,0.0011386666666666667,0.3333333333333333,0.001331,0.00044366666666666664,1.1662051303158247,1.2232846198967307,-0.04666084135491255
EW,EW,Equal Weight,2018-11,2018-12,EW,동일가중,equal_weight,-0.005633333333333332,0.0,0.3333333333333333,-0.021355,-0.007118333333333332,0.3333333333333333,0.002924,0.0009746666666666666,0.3333333333333333,0.001531,0.0005103333333333333,1.1596355080817122,1.2232846198967307,-0.05203131861527999
EW,EW,Equal Weight,2018-12,2019-01,EW,동일가중,equal_weight,0.031883999999999996,0.0,0.3333333333333333,0.091986,0.030662,0.3333333333333333,0.002067,0.0006889999999999999,0.3333333333333333,0.001599,0.0005329999999999999,1.1966093266213895,1.2232846198967307,-0.021806285178009532
EW,EW,Equal Weight,2019-01,2019-02,EW,동일가중,equal_weight,-0.0016789999999999997,0.0,0.3333333333333333,-0.00758,-0.0025266666666666666,0.3333333333333333,0.001345,0.00044833333333333335,0.3333333333333333,0.001198,0.00039933333333333335,1.1946002195619922,1.2232846198967307,-0.02344867242519566
EW,EW,Equal Weight,2019-02,2019-03,EW,동일가중,equal_weight,-0.005060333333333333,0.0,0.3333333333333333,-0.021871,-0.0072903333333333336,0.3333333333333333,0.005195,0.0017316666666666665,0.3333333333333333,0.001495,0.0004983333333333333,1.1885551442509354,1.2232846198967307,-0.02839034765983328
EW,EW,Equal Weight,2019-03,2019-04,EW,동일가중,equal_weight,0.010081333333333333,0.0,0.3333333333333333,0.028088,0.009362666666666665,0.3333333333333333,0.000713,0.00023766666666666665,0.3333333333333333,0.001443,0.000481,1.2005373648451774,1.2232846198967307,-0.018595226884707827
EW,EW,Equal Weight,2019-04,2019-05,EW,동일가중,equal_weight,-0.02282333333333333,0.0,0.3333333333333333,-0.07475,-0.024916666666666663,0.3333333333333333,0.004541,0.0015136666666666666,0.3333333333333333,0.001739,0.0005796666666666667,1.1731371003881943,1.2232846198967307,-0.04099415515644245
EW,EW,Equal Weight,2019-05,2019-06,EW,동일가중,equal_weight,0.020165999999999996,0.0,0.3333333333333333,0.055187,0.018395666666666664,0.3333333333333333,0.003723,0.001241,0.3333333333333333,0.001588,0.0005293333333333333,1.1967945831546225,1.2232846198967307,-0.02165484328932743
EW,EW,Equal Weight,2019-06,2019-07,EW,동일가중,equal_weight,-0.010353666666666666,0.0,0.3333333333333333,-0.039196,-0.013065333333333333,0.3333333333333333,0.006005,0.0020016666666666664,0.3333333333333333,0.00213,0.0007099999999999999,1.1844033709721673,1.2232846198967307,-0.03178430292685741
EW,EW,Equal Weight,2019-07,2019-08,EW,동일가중,equal_weight,-0.008134333333333332,0.0,0.3333333333333333,-0.029809,-0.009936333333333332,0.3333333333333333,0.003775,0.0012583333333333333,0.3333333333333333,0.001631,0.0005436666666666667,1.174769039151556,1.2232846198967307,-0.039660092145416104
EW,EW,Equal Weight,2019-08,2019-09,EW,동일가중,equal_weight,0.019197999999999996,0.0,0.3333333333333333,0.060096,0.020031999999999998,0.3333333333333333,-0.002798,-0.0009326666666666667,0.3333333333333333,0.000296,9.866666666666666e-05,1.1973222551651876,1.2232846198967307,-0.021223486594423746
EW,EW,Equal Weight,2019-09,2019-10,EW,동일가중,equal_weight,0.0024146666666666665,0.0,0.3333333333333333,0.010928,0.0036426666666666664,0.3333333333333333,-0.004473,-0.0014910000000000001,0.3333333333333333,0.000789,0.000263,1.2002133893039932,1.2232846198967307,-0.018860067573386985
EW,EW,Equal Weight,2019-10,2019-11,EW,동일가중,equal_weight,0.0018933333333333332,0.0,0.3333333333333333,0.001446,0.000482,0.3333333333333333,0.003347,0.0011156666666666667,0.3333333333333333,0.000887,0.0002956666666666666,1.2024857933210755,1.2232846198967307,-0.01700244263465922
EW,EW,Equal Weight,2019-11,2019-12,EW,동일가중,equal_weight,0.02566766666666667,0.0,0.3333333333333333,0.075091,0.025030333333333335,0.3333333333333333,0.000878,0.00029266666666666666,0.3333333333333333,0.001034,0.0003446666666666666,1.233350797835443,1.233350797835443,0.0
EW,EW,Equal Weight,2019-12,2020-01,EW,동일가중,equal_weight,-0.007946,0.0,0.3333333333333333,-0.029096,-0.009698666666666666,0.3333333333333333,0.003684,0.001228,0.3333333333333333,0.001574,0.0005246666666666667,1.2235505923958425,1.233350797835443,-0.007946000000000009
EW,EW,Equal Weight,2020-01,2020-02,EW,동일가중,equal_weight,-0.016998,0.0,0.3333333333333333,-0.058029,-0.019343,0.3333333333333333,0.005856,0.001952,0.3333333333333333,0.001179,0.00039299999999999996,1.202752679426298,1.233350797835443,-0.024808933892000118
EW,EW,Equal Weight,2020-02,2020-03,EW,동일가중,equal_weight,-0.037493,0.0,0.3333333333333333,-0.114196,-0.03806533333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.001717,0.0005723333333333333,1.1576578732165677,1.233350797835443,-0.06137177253358739
EW,EW,Equal Weight,2020-03,2020-04,EW,동일가중,equal_weight,0.031514,0.0,0.3333333333333333,0.089907,0.029969,0.3333333333333333,0.003215,0.0010716666666666665,0.3333333333333333,0.00142,0.0004733333333333333,1.1941403034331146,1.233350797835443,-0.03179184257321088
EW,EW,Equal Weight,2020-04,2020-05,EW,동일가중,equal_weight,0.014604333333333332,0.0,0.3333333333333333,0.036987,0.012329,0.3333333333333333,0.005456,0.0018186666666666666,0.3333333333333333,0.00137,0.00045666666666666664,1.2115799264712197,1.233350797835443,-0.01765180790609744
EW,EW,Equal Weight,2020-05,2020-06,EW,동일가중,equal_weight,0.016215666666666663,0.0,0.3333333333333333,0.048366,0.016121999999999997,0.3333333333333333,8.6e-05,2.8666666666666668e-05,0.3333333333333333,0.000195,6.5e-05,1.2312265026989015,1.233350797835443,-0.0017223770725001142
EW,EW,Equal Weight,2020-06,2020-07,EW,동일가중,equal_weight,0.02392033333333333,0.0,0.3333333333333333,0.068209,0.022736333333333334,0.3333333333333333,0.003015,0.0010049999999999998,0.3333333333333333,0.000537,0.00017900000000000001,1.2606778510522936,1.2606778510522936,0.0
EW,EW,Equal Weight,2020-07,2020-08,EW,동일가중,equal_weight,0.007706666666666667,0.0,0.3333333333333333,0.02723,0.009076666666666667,0.3333333333333333,-0.004208,-0.0014026666666666666,0.3333333333333333,9.8e-05,3.266666666666666e-05,1.2703934750244033,1.2703934750244033,0.0
EW,EW,Equal Weight,2020-08,2020-09,EW,동일가중,equal_weight,0.005122333333333333,0.0,0.3333333333333333,0.011059,0.003686333333333333,0.3333333333333333,0.003967,0.0013223333333333333,0.3333333333333333,0.000341,0.00011366666666666666,1.2769008538679698,1.2769008538679698,0.0
EW,EW,Equal Weight,2020-09,2020-10,EW,동일가중,equal_weight,-0.010039666666666665,0.0,0.3333333333333333,-0.028852,-0.009617333333333332,0.3333333333333333,-0.001804,-0.0006013333333333333,0.3333333333333333,0.000537,0.00017900000000000001,1.2640811949287534,1.2769008538679698,-0.010039666666666669
EW,EW,Equal Weight,2020-10,2020-11,EW,동일가중,equal_weight,0.04991633333333334,0.0,0.3333333333333333,0.150796,0.050265333333333335,0.3333333333333333,-0.001291,-0.00043033333333333335,0.3333333333333333,0.000244,8.133333333333332e-05,1.3271794932152154,1.3271794932152154,0.0
EW,EW,Equal Weight,2020-11,2020-12,EW,동일가중,equal_weight,0.046530999999999996,0.0,0.3333333333333333,0.138821,0.046273666666666664,0.3333333333333333,0.000431,0.00014366666666666667,0.3333333333333333,0.000341,0.00011366666666666666,1.3889344822140128,1.3889344822140128,0.0
EW,EW,Equal Weight,2020-12,2021-01,EW,동일가중,equal_weight,0.014718666666666666,0.0,0.3333333333333333,0.042354,0.014118,0.3333333333333333,0.00112,0.00037333333333333326,0.3333333333333333,0.000682,0.00022733333333333332,1.4093777458795602,1.4093777458795602,0.0
EW,EW,Equal Weight,2021-01,2021-02,EW,동일가중,equal_weight,0.004691666666666667,0.0,0.3333333333333333,0.014104,0.004701333333333333,0.3333333333333333,-0.000516,-0.00017199999999999998,0.3333333333333333,0.000487,0.00016233333333333334,1.4159900764706452,1.4159900764706452,0.0
EW,EW,Equal Weight,2021-02,2021-03,EW,동일가중,equal_weight,0.0033796666666666662,0.0,0.3333333333333333,0.011509,0.003836333333333333,0.3333333333333333,-0.001808,-0.0006026666666666666,0.3333333333333333,0.000438,0.000146,1.4207756509324236,1.4207756509324236,0.0
EW,EW,Equal Weight,2021-03,2021-04,EW,동일가중,equal_weight,0.006587333333333332,0.0,0.3333333333333333,0.018326,0.006108666666666666,0.3333333333333333,0.000949,0.0003163333333333333,0.3333333333333333,0.000487,0.00016233333333333334,1.4301347737369992,1.4301347737369992,0.0
EW,EW,Equal Weight,2021-04,2021-05,EW,동일가중,equal_weight,0.003261,0.0,0.3333333333333333,0.010994,0.0036646666666666668,0.3333333333333333,-0.001551,-0.000517,0.3333333333333333,0.00034,0.00011333333333333334,1.4347984432341554,1.4347984432341554,0.0
EW,EW,Equal Weight,2021-05,2021-06,EW,동일가중,equal_weight,0.007610666666666667,0.0,0.3333333333333333,0.026544,0.008848,0.3333333333333333,-0.002934,-0.000978,0.3333333333333333,-0.000778,-0.0002593333333333333,1.4457182159194628,1.4457182159194628,0.0
EW,EW,Equal Weight,2021-06,2021-07,EW,동일가중,equal_weight,-0.008608666666666666,0.0,0.3333333333333333,-0.030883,-0.010294333333333332,0.3333333333333333,0.004327,0.0014423333333333332,0.3333333333333333,0.00073,0.0002433333333333333,1.4332725097046841,1.4457182159194628,-0.008608666666666709
EW,EW,Equal Weight,2021-07,2021-08,EW,동일가중,equal_weight,-0.0032586666666666662,0.0,0.3333333333333333,-0.011769,-0.003922999999999999,0.3333333333333333,0.001896,0.000632,0.3333333333333333,9.7e-05,3.233333333333333e-05,1.4286019523530598,1.4457182159194628,-0.011839280558222254
EW,EW,Equal Weight,2021-08,2021-09,EW,동일가중,equal_weight,-0.016146999999999998,0.0,0.3333333333333333,-0.042634,-0.014211333333333333,0.3333333333333333,-0.006536,-0.0021786666666666664,0.3333333333333333,0.000729,0.000243,1.4055343166284149,1.4457182159194628,-0.02779511169504867
EW,EW,Equal Weight,2021-09,2021-10,EW,동일가중,equal_weight,-0.014741666666666669,0.0,0.3333333333333333,-0.032009,-0.010669666666666668,0.3333333333333333,-0.012119,-0.004039666666666666,0.3333333333333333,-9.7e-05,-3.233333333333333e-05,1.3848143982441177,1.4457182159194628,-0.04212703209014412
EW,EW,Equal Weight,2021-10,2021-11,EW,동일가중,equal_weight,-0.008332666666666665,0.0,0.3333333333333333,-0.03593,-0.011976666666666665,0.3333333333333333,0.010252,0.0034173333333333334,0.3333333333333333,0.00068,0.00022666666666666668,1.373275201468349,1.4457182159194628,-0.05010866824074767
EW,EW,Equal Weight,2021-11,2021-12,EW,동일가중,equal_weight,0.023084666666666663,0.0,0.3333333333333333,0.065188,0.02172933333333333,0.3333333333333333,0.002949,0.000983,0.3333333333333333,0.001117,0.0003723333333333333,1.4049768017358453,1.4457182159194628,-0.02818074347752919
