Date,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2019-07-22,-0.3527505741800064,-0.8597350940062689,-3.950171460618556,-1.850397906421421,-6.983680749248792,-10.0,-1.709572551875473,-4.978384628666651,-9.405838297338969,-0.2246272352269704,3.286829299202098,1.268543964791735,,0.5006697386549785,0.510904324409081
2019-07-23,-0.923118423426192,-2.184333640177281,-3.919946371530869,-2.477150854261053,-7.824753855699871,-8.940678801012186,-1.988397877766451,-6.418918994896909,-8.445557556269737,-0.1007170231277951,3.249782433751613,1.249178484705133,,0.723838264632427,0.7944785659689739
2019-07-24,0.0976253200074083,-4.97881666258345,-7.590205972197317,-1.24454269591634,-6.662066585694653,-9.08764336862053,-0.9403117758640993,-6.190258713722426,-8.938680081777227,0.4405518704606386,-0.7906490150567214,-2.39198854946264,,-0.04095965861121914,0.01541302078979977
2019-07-25,1.395393555746569,-6.246408053088048,-7.496376065980897,-1.084256013977969,-8.068067288273223,-10.0,-1.023379481125771,-8.237157969404826,-10.0,-0.5393069104652924,-0.5326803971215652,-2.384656310107451,,-0.5433375694068331,-0.2853194232446677
2019-07-26,1.36872651152074,-5.239336134233027,-10.0,-0.8772806984242156,-8.055906278043295,-10.0,-0.6750705143147848,-8.125470173702645,-10.0,-0.5474785315981798,-0.8289811457893883,-3.115709502992416,,-1.851212827144107,-1.587136815359685
2019-07-29,2.610411274648401,-4.563267203078152,-7.275349579849455,0.7300988245358355,-6.6618691124233,-8.39087002346862,0.3817743095059333,-6.928860963662333,-10.0,0.3273069293487961,-0.4779949906468633,-0.7219110510610109,,-2.724312047580876,-2.560861701253122
2019-07-30,1.861678109648287,-5.65219208947685,-8.960115800768515,0.2965745090718795,-7.570151191899392,-9.412906093131749,0.943445310641709,-7.391543497219113,-10.0,0.3073606544216267,-0.4469789726649686,-0.614929187542484,,-2.550345325327903,-2.342666938154632
2019-07-31,1.598870324143084,-2.887223007909252,-8.83827209170079,1.488142161630477,-6.237603968491881,-8.593783598670894,1.939901601272782,-6.711736406797442,-10.0,-0.05322284592210846,-1.295543400162595,-0.6131284117553417,,-2.917042354920886,-2.737698721420267
2019-08-01,2.464037674791332,-2.396396959885205,-6.091105193008836,1.515350938172393,-5.642756135367062,-8.738032963304411,1.778566981535627,-6.21960098894535,-9.860623387714975,-0.6491744559375899,-1.217158126479872,-3.337629351384014,,-1.753870475308022,-1.684268739621082
2019-08-02,3.350777322596148,-3.827170717280116,-4.285559823490144,2.825350539226085,-7.290807136538811,-6.254366587667024,2.816856561303993,-7.832969702922071,-8.230412859735436,-0.101170626076992,-0.6957337118221247,-1.338194056446256,,-3.540842708327447,-3.402615230268403
2019-08-05,3.407961649241691,-6.646222361019538,-6.000515546271915,5.382507420136163,-10.0,-8.246931728607898,4.610032928154362,-10.0,-9.7688246346329,0.05949875609607383,2.7316447748661,-0.03823911651803245,,-5.450195134347194,-5.167122393176951
