year_month,Date,etf_count,eligible_signal_count,risk_event_count,relief_event_count,risk_event_ratio,relief_event_ratio,event_balance_raw,event_intensity_raw,event_balance_label,event_intensity_label,event_balance_ma_1m,event_intensity_ma_1m,event_balance_ma_3m,event_intensity_ma_3m,event_balance_ma_6m,event_intensity_ma_6m,event_balance_ma_12m,event_intensity_ma_12m,event_balance_13612w,event_intensity_13612w,event_balance_13612w_label,event_intensity_13612w_label
2015-01,2015-01-31,3,27,7,8,0.25925925925925924,0.2962962962962963,-0.037037037037037035,0.5555555555555556,mixed_or_neutral,high_intensity,0.09347442680776012,0.4144620811287477,0.08818342151675485,0.498530276308054,-0.1216931216931217,0.5796590241034686,-0.1369782480893592,0.46649029982363316,0.025808348030570243,0.47792475014697233,mixed_or_neutral,high_accumulated_intensity
2015-02,2015-02-28,3,27,10,3,0.37037037037037035,0.1111111111111111,0.25925925925925924,0.48148148148148145,risk_event_dominant,high_intensity,0.1763668430335097,0.46913580246913583,0.15637860082304525,0.4514991181657848,-0.031746031746031744,0.5649617871840094,-0.12272192827748384,0.4763374485596708,0.09883891828336272,0.4837301587301587,risk_accumulation,high_accumulated_intensity
2015-03,2015-03-31,3,27,1,11,0.037037037037037035,0.4074074074074074,-0.37037037037037035,0.4444444444444444,relief_event_dominant,high_intensity,-0.1675485008818342,0.400352733686067,0.04644326866549088,0.42034097589653147,0.007054673721340386,0.5343915343915344,-0.12992357436801882,0.490299823633157,-0.06466784244562022,0.44215167548500883,relief_accumulation,high_accumulated_intensity
2015-04,2015-04-30,3,27,14,7,0.5185185185185185,0.25925925925925924,0.25925925925925924,0.7777777777777777,risk_event_dominant,high_intensity,-0.09171075837742505,0.5432098765432098,-0.03233392122281011,0.46619635508524393,0.02821869488536155,0.48500881834215165,-0.14388594944150498,0.5145502645502645,-0.05512933568489124,0.5055996472663139,relief_accumulation,high_accumulated_intensity
2015-05,2015-05-31,3,27,13,3,0.48148148148148145,0.1111111111111111,0.37037037037037035,0.5925925925925926,risk_event_dominant,high_intensity,0.39682539682539686,0.6966490299823633,0.03233392122281011,0.527336860670194,0.09229864785420341,0.49029982363315694,-0.11449147560258671,0.5398295120517342,0.1754409171075838,0.5889035861258083,risk_accumulation,high_accumulated_intensity
2015-06,2015-06-30,3,27,15,1,0.5555555555555556,0.037037037037037035,0.5185185185185186,0.5925925925925926,risk_event_dominant,high_intensity,0.42504409171075835,0.63668430335097,0.22633744855967078,0.6096413874191653,0.14138741916519693,0.5141093474426809,-0.053791887125220456,0.5614344503233393,0.26081716637272195,0.5965314520870078,risk_accumulation,high_accumulated_intensity
2015-07,2015-07-31,3,27,18,4,0.6666666666666666,0.14814814814814814,0.5185185185185185,0.8148148148148148,risk_event_dominant,high_intensity,0.48148148148148145,0.6860670194003526,0.44150499706055263,0.6613756613756613,0.20458553791887127,0.5637860082304527,0.03733098177542622,0.5720164609053497,0.3696942974720753,0.6427983539094649,risk_accumulation,high_accumulated_intensity
2015-08,2015-08-31,3,27,18,4,0.6666666666666666,0.14814814814814814,0.5185185185185185,0.8148148148148148,risk_event_dominant,high_intensity,0.48500881834215165,0.7319223985890653,0.46443268665490883,0.678424456202234,0.25220458553791886,0.6061140505584951,0.1111111111111111,0.5849500293944739,0.3948853615520282,0.6760141093474428,risk_accumulation,high_accumulated_intensity
2015-09,2015-09-30,3,27,12,3,0.4444444444444444,0.1111111111111111,0.3333333333333333,0.5555555555555556,risk_event_dominant,high_intensity,0.4232804232804232,0.6596119929453262,0.45972957084068194,0.6796002351557907,0.3368606701940035,0.6425631981187536,0.1707818930041152,0.5914168136390359,0.3916813639035861,0.6553791887125221,risk_accumulation,high_accumulated_intensity
2015-10,2015-10-31,3,27,14,8,0.5185185185185185,0.2962962962962963,0.2222222222222222,0.8148148148148148,risk_event_dominant,high_intensity,0.23809523809523805,0.5908289241622574,0.38095238095238093,0.6584362139917695,0.40593768371546146,0.6604938271604938,0.21237507348618456,0.571575543797766,0.31194885361552027,0.6231187536743092,risk_accumulation,high_accumulated_intensity
