date,069500_ma20_gap_raw,069500_ma60_gap_raw,069500_vol20_raw,069500_drawdown_60_raw,069500_risk_vs_cash_ret20_raw,114260_ma20_gap_raw,114260_ma60_gap_raw,114260_vol20_raw,114260_drawdown_60_raw,114260_risk_vs_cash_ret20_raw,153130_ma20_gap_raw,153130_ma60_gap_raw,153130_vol20_raw,153130_drawdown_60_raw,153130_risk_vs_cash_ret20_raw,069500_ma20_gap_direction,069500_ma60_gap_direction,069500_vol20_direction,069500_drawdown_60_direction,069500_risk_vs_cash_ret20_direction,114260_ma20_gap_direction,114260_ma60_gap_direction,114260_vol20_direction,114260_drawdown_60_direction,114260_risk_vs_cash_ret20_direction,153130_ma20_gap_direction,153130_ma60_gap_direction,153130_vol20_direction,153130_drawdown_60_direction,153130_risk_vs_cash_ret20_direction,069500_ma20_gap_score,069500_ma60_gap_score,069500_vol20_score,069500_drawdown_60_score,069500_risk_vs_cash_ret20_score,114260_ma20_gap_score,114260_ma60_gap_score,114260_vol20_score,114260_drawdown_60_score,114260_risk_vs_cash_ret20_score,153130_ma20_gap_score,153130_ma60_gap_score,153130_vol20_score,153130_drawdown_60_score,153130_risk_vs_cash_ret20_score
2012-04-26,-0.014899193839732927,,0.12097289610765427,,-0.03149966155154882,0.0023630966035603773,,0.010520492487167504,,0.003342740274454137,0.0012637927879142197,,0.0015806456129802264,,0.0,0.014899193839732927,,0.12097289610765427,,0.03149966155154882,-0.0023630966035603773,,0.010520492487167504,,-0.003342740274454137,-0.0012637927879142197,,0.0015806456129802264,,-0.0,,,,,,,,,,,,,,,
2012-04-27,-0.007902543316722799,,0.11973179743065059,,-0.01536628290553188,0.003016916354402488,,0.009829911001789725,,0.0028680516796553146,0.0013180034601278923,,0.0014918253946663465,,0.0,0.007902543316722799,,0.11973179743065059,,0.01536628290553188,-0.003016916354402488,,0.009829911001789725,,-0.0028680516796553146,-0.0013180034601278923,,0.0014918253946663465,,-0.0,,,,,,,,,,,,,,,
2012-04-30,-0.002941442410097417,,0.12097772491504502,,-0.008360951294471008,0.003984984542404479,,0.010446167812389266,,0.0040444621432309535,0.0013206278002677596,,0.0014824734592290085,,0.0,0.002941442410097417,,0.12097772491504502,,0.008360951294471008,-0.003984984542404479,,0.010446167812389266,,-0.0040444621432309535,-0.0013206278002677596,,0.0014824734592290085,,-0.0,,,,,,,,,,,,,,,
2012-05-02,0.00505852628330361,,0.12042362956810211,,-0.008961437767548208,0.003663884291519537,,0.01048276881987255,,0.0034748251488552206,0.0013228729743710588,,0.0014824700776974536,,0.0,-0.00505852628330361,,0.12042362956810211,,0.008961437767548208,-0.003663884291519537,,0.01048276881987255,,-0.0034748251488552206,-0.0013228729743710588,,0.0014824700776974536,,-0.0,,,,,,,,,,,,,,,
2012-05-03,0.004308244400684114,,0.10742367628461477,,-0.024965985799352164,0.003916639012635947,,0.010398906034119035,,0.0031322705232939008,0.001417285393892742,,0.00151359009409387,,0.0,-0.004308244400684114,,0.10742367628461477,,0.024965985799352164,-0.003916639012635947,,0.010398906034119035,,-0.0031322705232939008,-0.001417285393892742,,0.00151359009409387,,-0.0,,,,,,,,,,,,,,,
2012-05-04,-0.0011877516512450725,,0.10333152785346447,,-0.02070329642147528,0.004004337866223118,,0.009290984061185985,,0.004553925512384982,0.0014119581354474775,,0.0015136145788927956,,0.0,0.0011877516512450725,,0.10333152785346447,,0.02070329642147528,-0.004004337866223118,,0.009290984061185985,,-0.004553925512384982,-0.0014119581354474775,,0.0015136145788927956,,-0.0,,,,,,,,,,,,,,,
2012-05-07,-0.017350580849821773,,0.11902939143146304,,-0.04062721732556407,0.004570753097915992,,0.008697636347271118,,0.006557428263803233,0.001322240082934023,,0.0013691098057703438,,0.0,0.017350580849821773,,0.11902939143146304,,0.04062721732556407,-0.004570753097915992,,0.008697636347271118,,-0.006557428263803233,-0.001322240082934023,,0.0013691098057703438,,-0.0,,,,,,,,,,,,,,,
2012-05-08,-0.009231308348206957,,0.12289978638506507,,-0.032979900576489696,0.004122635597936464,,0.008850073346917007,,0.006127129001582299,0.0013794867689955748,,0.0013851564946904596,,0.0,0.009231308348206957,,0.12289978638506507,,0.032979900576489696,-0.004122635597936464,,0.008850073346917007,,-0.006127129001582299,-0.0013794867689955748,,0.0013851564946904596,,-0.0,,,,,,,,,,,,,,,
2012-05-09,-0.01590518547973052,,0.11791974647330224,,-0.028101312627061614,0.0036984675960451963,,0.00898953246916448,,0.005651903991996443,0.0013866119664085463,,0.0013851203009190684,,0.0,0.01590518547973052,,0.11791974647330224,,0.028101312627061614,-0.0036984675960451963,,0.00898953246916448,,-0.005651903991996443,-0.0013866119664085463,,0.0013851203009190684,,-0.0,,,,,,,,,,,,,,,
2012-05-10,-0.017970166138523758,,0.11817419122793409,,-0.02999988515580354,0.0030921860977095594,,0.00795100266172805,,0.003511341762665099,0.0014858402318631558,,0.0014251473055193861,,0.0,0.017970166138523758,,0.11817419122793409,,0.02999988515580354,-0.0030921860977095594,,0.00795100266172805,,-0.003511341762665099,-0.0014858402318631558,,0.0014251473055193861,,-0.0,,,,,,,,,,,,,,,
