combo_id,combo_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,turnover,weight_069500,weight_114260,weight_153130
EW,Equal Weight,2019-06,2019-07,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-07,2019-08,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-08,2019-09,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-09,2019-10,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-10,2019-11,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-11,2019-12,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2019-12,2020-01,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-01,2020-02,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-02,2020-03,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-03,2020-04,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-04,2020-05,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-05,2020-06,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-06,2020-07,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-07,2020-08,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-08,2020-09,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2020-09,2020-10,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
