year_month,ticker,name,asset_class,underlying_asset,risk_group,score_method_source,benchmark_rs_note,score_return,score_ma_pos,score_momentum,score_vol,score_rs,score_ma20_gap,score_ma60_gap,score_vol20,score_drawdown_60,score_risk_vs_cash_ret20,extended_signal_source,extended_signal_note
2012-07,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-7.688266323312558,-4.572579384596546,-6.985062136687925,9.239987538748686,4.166327462214915,-0.3404238427338128,,2.4068442609207117,,-1.9525286254462957,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-07,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-7.816239984386188,-4.044370513811665,-4.973536369983736,8.83025476562497,5.154044651966125,-0.03940746034238707,,2.292475816189031,,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-08,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.1118317316062454,-0.3423269517569633,-3.4641173537614804,-2.022883178666613,,0.5421503852158363,-0.5600913872273346,-0.5088379297299632,-0.7330582935832693,-0.2932366456820064,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-08,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.734678612680284,-6.992976642250691,-1.7484237419685695,-0.8430402811660004,0.8233820441559847,0.03209915460099402,0.03672346765878782,-0.21182066216277254,-0.6645960006779513,0.5712580892496048,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-08,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,6.635608156595733,-10.0,-1.8813349877952803,-4.145652750999038,0.7146806806703023,0.47085915435189707,1.080950164979349,-1.04710475855917,-0.12598815766974242,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-09,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.704920088374592,-5.037031508089116,-4.770571006418584,1.341473644562795,,-0.6914790736949894,-1.0718939725149224,0.3368815382748474,-1.1463397749483246,-1.1968473329356872,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-09,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,4.041858568536474,-1.9456536397236053,-5.523457057522584,-0.6912128969756444,4.654815017682278,0.4718309485130625,1.2885957460090751,-0.17355767263148317,-0.7305002942786377,0.945163217797814,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-09,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,5.685517889699044,-5.551528066396994,-7.270867069635046,-1.5986760730267546,4.487772859849422,0.6866044397739454,1.5786300075369808,-0.40012453478904925,-0.1924790207573173,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-10,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,3.4441934925014026,0.9893132372946682,1.489135240588893,-4.20114910280333,,0.37240519148770806,0.5460039285524788,-1.0580689108587296,0.01822515590754605,0.8550378126634004,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-10,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.7972921702605658,-0.0921371350683176,-1.5008708003022146,-4.013493937724187,-3.118077820124028,0.5684081440956582,1.1277081949284087,-1.0103679733412319,-0.7082885793234627,0.6817474392302202,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-10,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,2.9615098387463217,-4.020576996836492,-4.721468202441335,-0.7466404268425088,-3.427220346892187,0.9950913495235967,1.146578479534597,-0.18889254367247288,-0.22364896933857747,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-11,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-2.246794900101813,-2.661430264198448,-4.705855852251303,-3.799278308385991,,-1.0100057113889056,-0.2047734402008179,-0.9553221709018509,-0.47335706685303336,-0.5791559113127512,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-11,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,4.280655255268676,3.288263274123161,1.5475393352245854,-3.291052598336127,3.6903156718608647,0.9783408947334529,1.3706978916126789,-0.8271489862610416,-0.09327789378142044,0.9729816885960386,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-11,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,5.055989128914787,-1.7083076216560338,-2.965557228519936,10.0,3.434527640876057,1.3547685390268192,1.246320254217705,5.968363127103007,5.195452338186258,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-12,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.996448796406785,-5.40869442570034,-6.443244156907527,-7.145424694939788,,-0.7913140213538256,-1.2186506005326463,-1.8071578389677114,-1.3754872900120392,-1.2534424174859344,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-12,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.218777277602088,2.5483272279295868,0.8700452729618507,-0.2354093528406232,4.431983889238275,0.054559069937031635,0.9866388603207262,-0.05864217473811733,-0.8668899512856703,0.582740348934285,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2012-12,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,0.5395953946401498,-2.7705913829474187,-3.347721775261014,-1.4837119651540402,4.424709297260177,-0.16511012574315906,0.717036420528839,-0.3721240293396706,1.316562506922082,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-01,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,3.31796767497228,-0.109813273002213,-2.4368881046393693,-4.942338957312657,,0.450497063844787,-0.07641620282697303,-1.2432652074274788,-0.1889054244741378,0.8136671949396437,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-01,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,2.606523266169789,2.649011054183357,2.9831915933833217,-3.4360001486147462,-3.402312243632603,0.9495884690896941,0.6775083918517757,-0.8624162813431163,0.5805702682559903,0.5338965841191197,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-01,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,3.8673564424810496,-1.5097337236039272,-1.8088170976880888,-1.249834760276448,-3.5233127184676247,0.9358056425947964,0.9058853279723458,-0.3132160104757076,-0.2847308045026611,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-02,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-3.5553284218929804,-4.428265103606426,-5.738376752900698,-2.5655737693110714,,-1.0472739607525388,-0.6856934919144209,-0.6434027531037787,-1.2249348110435643,-0.8858176019696908,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-02,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-2.253842924965588,-2.477904586475892,0.0479629652859556,-5.572535650361368,3.701336717670822,-0.633176990254883,-0.22973063654167772,-1.4021896637415576,-0.7986572111941523,-0.5861921644835121,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-02,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.6839088012244079,-3.1295023039425987,-2.896546350202281,-1.4219020078417444,3.926472723443583,-0.21222656365891002,0.11167371636614173,-0.3565656270915606,-0.46930749888485995,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-03,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.7416577738417098,-1.4238584492985145,-0.1873397102993176,-3.765137602988719,,-0.27807931878408615,-0.061938305894437225,-0.944907874136463,-0.7121369099890951,0.42809399380508806,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-03,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-1.6542967826954311,-5.032173881644251,-2.878502699113002,-0.2332867810751446,-0.9048103828670364,-1.026160388801242,-0.6330761448346106,-0.05794141611582719,-0.6616267431375402,-0.5327193604999143,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-03,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,1.7000953153005252,-2.6210192797852034,-2.4798955159183134,-1.11237385139146,-0.7629258977636066,0.00967236855415571,0.3010952264439768,-0.2787762704606794,-0.44164280333614925,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-04,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.4540783468364449,0.5332768209872918,-0.4284331361908184,-1.078144716339558,,-0.5548038949156946,0.40735087420906224,-0.26751211981486545,0.10323306658549558,0.3435252644996265,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-04,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,3.2875466005012584,-1.9534888362092515,0.2812758787598091,4.650618923689828,-1.9113135743908267,-0.29226026679799066,-0.005169796437419897,1.1717554651680124,-0.7291139494247123,0.7020932008563358,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-04,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,4.355039725016488,-0.69191091333765,-0.9205546368443638,-0.7314660489762491,-2.1546564613375185,0.4117019731097292,0.9064599258033471,-0.18231558894606956,-0.4211028755728536,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-05,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-2.506824451767243,-1.636662958785133,-1.0956840420069485,-2.3403570855758264,,-0.6712500491345244,-0.5211296242439847,-0.5912000545572761,-1.00508290750984,-0.644350344596412,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-05,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,10.0,10.0,9.47457104307809,3.2304037349450936,2.863567827872125,2.609948900676123,2.4303794539906654,0.8134395832878777,4.988177664182679,3.2219058384168724,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-05,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,3.1526589593500463,0.8378368035975432,-0.0751978572657288,-1.169802840036302,1.9432500912298776,0.7371857893480335,0.9749857206457505,-0.29221370809513203,-0.4019966927304038,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-06,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,7.695176565437213,6.010211034552126,7.897204586687964,6.260124607035657,,0.7258190491962411,1.304062573117659,1.5550614593254082,1.06390685355476,1.9356603042577396,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-06,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,5.734042133655125,8.437800558375217,9.350474579493897,10.0,-6.983271764797906,0.701187206056909,2.106493582996093,2.818261457102898,3.1124272484633266,1.4628910422012604,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-06,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,2.4221337660920743,1.9489301316962977,1.367848974998256,-1.1836108992331786,-7.613028209108032,0.5239327688023908,1.0008192555735558,-0.29583386759147323,-0.4024709799877098,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-07,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-4.422103351669747,0.3018835215753217,1.8096164191116744,1.6508771206851351,,-0.8360361859349491,0.02408672381686276,0.4105800237223571,0.40864034559786794,-1.1285519026892745,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-07,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.4586048468800738,5.007432544326891,6.848521057946399,1.591806647075452,2.560807635049013,0.10350334427900022,0.9529823594665249,0.3919767575276381,1.004113617165379,-0.2275299314073218,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-07,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,3.3602964631691465,4.337322407459649,2.9915967173830182,-1.3038544082915653,2.589159014068521,0.992942675668631,1.4150931605410482,-0.3266662819404716,-0.40284539982378714,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-08,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.3855647171203442,-3.1594041164803555,3.183853832758963,1.1008277658842225,,-1.123204332086555,-1.1068408150347468,0.2720999240185707,-1.5405237631954567,-0.3477038769258221,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-08,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-2.200609960230616,0.8943824992833559,4.012213719403394,-0.522349467730318,1.321041181842045,-0.9863224045501646,-0.3184857311663364,-0.13117582193232363,-0.7624717105893741,-0.6275923882797683,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-08,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,1.4111229256456976,3.724802453301522,3.935678957829961,-1.4347308636136362,1.4686212638730338,0.21207633923813743,0.8417436521638754,-0.3588300266465193,-0.40284503338225724,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-09,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-6.159888605365474,-5.17106545616994,-5.175125573048296,-3.575798489730253,,-0.47899393519657796,-1.6131975688722324,-0.8988873803548583,-1.249410655388891,-1.546904011607747,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-09,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-5.215296554780311,-2.9765071191111145,0.3051959461233671,1.5741636523102307,6.022258063724633,-1.532460267460101,-1.215773262973533,0.3952093284529469,-0.7631558118343614,-1.2942936735218264,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-09,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-1.7651123469867904,1.192433086972382,2.435329323505869,-1.2013075520514884,6.388214755744959,-0.29783139587379626,0.12801891891388018,-0.30023799242660293,-0.40247171563503253,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-10,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.872240694761973,-4.179265485082161,-4.398289205973495,-2.3282615371807456,,0.06613384576026235,-1.1066989833388352,-0.5817587101671728,-0.8938962761056166,-0.4732999661610456,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-10,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.991461013279172,-2.7015541713951023,0.6062507488186272,-1.9312125996679008,1.980055112327349,-0.37539195804565845,-0.9212297474501363,-0.4809122355510149,-0.5770549787784405,-0.24753106633933158,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-10,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.3076796211410707,0.945399654046635,1.286019662631313,-1.3699522527665713,1.9693772692671776,0.23008970063649184,-0.09625217629036267,-0.34268617471483503,-0.40247171563503253,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-11,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-0.0269788383411114,-4.18835139575101,-3.8431808569082886,2.5622784350480963,,-0.8356191798986624,-0.5108326426990557,0.64134785586375,-1.1313348692665697,-0.014393641032388665,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-11,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,4.72972031447146,2.4324987764123174,4.459442653057865,-1.8492935831270665,0.8881488777574427,0.6588122892094075,0.7360911276099563,-0.45685491599029887,0.4136017205030113,1.1845181156266547,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-11,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,1.5520742869846162,2.255213774953085,3.592405506679502,-1.3919709500086517,0.2991815853887799,0.2386727853994422,0.5617468182568857,-0.34811660666880556,-0.4028378135180662,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-12,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.4153423997376096,-2.4415268107747377,-4.049822081890299,-3.277230131397584,,-0.8317797293055577,-0.10799556212055957,-0.8147373712842142,-0.7641312572757778,0.3635020027197306,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-12,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-3.992032719095161,-2.6470468921594845,-2.590506424958101,0.4176802439816069,-1.938102635111142,-1.1567972893548157,-0.3850819319561071,0.10654274409071614,-0.4789397558180079,-1.0323076271571157,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2013-12,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.6863806883538843,-0.0609849314779602,0.912718839833768,-0.9625068604709366,-1.4056821017370718,-0.9974125382027249,0.1718457776501423,-0.2278028573944881,-0.3255370100134719,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-01,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,4.570026262007655,2.087842517506316,2.4977841173573188,1.7030208657757004,,0.16515594404736553,0.6737829021446797,0.42942705550548343,0.48736442257607965,1.1554440887954367,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-01,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.4786735822233374,-2.430584580207715,-0.2995778861310904,-1.5226011939097692,-4.210287420251452,-0.49750265502518154,-0.6308722279699054,-0.3804933654341654,-0.87850836660206,-0.10815474880412124,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-01,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-0.6330911033480116,-0.6395821313265233,0.8464594771579154,-4.923108368771813,-4.147362119028834,-0.15662291360216696,-0.4405701291622278,-1.2402825812854497,-0.2823389362267237,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-02,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-2.0879488714433245,-1.415484919276388,-2.685105964394692,-0.4534267868459286,,-1.0776026385512842,-0.33500568340189507,-0.11436311014410507,-0.49244026557406173,-0.5273920571223091,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-02,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-1.7595270543358263,-2.521173947439024,-4.377202774064799,-3.5175257496133208,3.2119585882020765,-0.16815522210873501,-0.6952212670888711,-0.8752068866005186,-0.7202459384689947,-0.4973924733809007,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-02,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,2.0008464080168187,1.3255570911785428,1.1323615144363015,-3.3278371865921272,3.3364927105632898,0.3289937940367506,0.11656682762862743,-0.8316990403462657,-0.25221076761474887,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-03,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.1512641636153302,-1.9788891218909164,0.5117650530460888,-1.478490813960103,,-0.8967512271316357,-0.6485878235785116,-0.36275956202033044,-1.672396955422332,-0.2955635161412401,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-03,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-0.8232950891477854,-2.410155520406345,-2.025237193270096,-1.11073336863574,0.1372434041955363,-0.3274493930668169,-0.4703860693390612,-0.2720022894641647,-0.8463013992401024,-0.22611732863807635,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-03,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,0.8583439687197414,2.1626824879025497,1.4905130863525893,-1.864387665810712,0.2365625720976165,0.011270550158608039,0.6410009768114039,-0.46659825449052234,-0.2522079859724847,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-04,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.8169451546418345,1.0797096631640024,1.9517526945045256,-6.9822395697926485,,0.8097652815015458,0.03273555827545617,-1.7631033350778789,-0.5969892759214657,0.45564740991378444,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-04,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-1.6126364579914667,-1.7652925302882407,-1.6835038864851928,-3.745667643758943,-1.6717496963757852,-0.08049808948638376,-0.21685539543378105,-0.9437461967798674,-0.7129272542801888,-0.3803944982287069,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-04,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-2.1211512956459813,-1.5756127542141771,1.2122399743592132,-2.177799568071135,-1.4697279375622607,-0.877893294980186,-0.34855297001597935,-0.5508381901881186,-0.21968772401707576,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-05,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-1.8479312693790657,-1.1960628432829683,-0.2040623995712678,-2.892107530903654,,-0.10210693145560679,-0.2586361481225834,-0.7261092043764359,-0.8572443275473287,-0.45677733004878635,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-05,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-2.8690670641877523,-4.084353649844695,-4.9440935610797325,8.315375058929014,1.0950375843771982,-0.6168181294343882,-0.8206340887124913,2.105890347628763,-0.7915397157626111,-0.7114586245320678,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-05,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-2.060743750483928,1.247856984901853,0.2659620146961538,-1.2013336061337592,1.3001935990839442,0.6611274966649451,-0.010489068540725779,-0.30696249846903045,-0.1906892873717035,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-06,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,1.363836207311809,-0.6020762425219259,-0.1336598828682713,-1.980114160723181,,-0.06175907915150704,0.015471449264428784,-0.4976555845425885,-0.7841197193512971,0.34038793151988644,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-06,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,-4.378373355317614,-6.28052477233279,-6.760411408549881,-2.81758641116894,-2.031033987535519,-1.0247149350800302,-1.4320824519991475,-0.7096934989244856,-0.6038402815323002,-1.1049395628837093,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-06,153130,KODEX 단기채권PLUS,money_market,채권형,very_low,zscore_from_data_pipeline,,-2.8977834092285546,-2.9523701456816425,-7.078147283394963,-2.670054857560138,-1.505092212718915,-0.016306298955393997,-0.9612629742285085,-0.6578633198411857,-0.1856166555916091,,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-07,069500,KODEX 200,equity,주식형,high,zscore_from_data_pipeline,benchmark_self_comparison,-3.995028229927682,-5.8396095722266725,-6.269295423068804,-4.642286382556407,,-1.711035540053142,-1.1135509934806516,-1.1540141418805312,-0.9695582827620064,-0.9818027066289562,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
2014-07,114260,KODEX 국고채3년,bond,채권형,low,zscore_from_data_pipeline,,0.1767930102493471,-5.06783525966291,-6.3702020711026455,-1.8540486527934543,3.634076545951368,0.25285764149278883,-1.248540399891089,-0.4691173640745398,-0.11083507369784924,0.22249268584182366,daily_price_derived_rolling_zscore,"positive score = risk worsening, negative score = risk relief"
