strategy_name,lambda_value,year_month,return_year_month,hsi_state,state_kr,strategy_return,turnover,weight_069500,return_069500,contribution_069500,weight_114260,return_114260,contribution_114260,weight_153130,return_153130,contribution_153130,cumulative_return,running_max,drawdown
lambda_0.1,0.1,2020-03,2020-04,accident_zone,강한 위험 구간,0.03463404565820428,0.04105510284824482,0.36949592563420336,0.089907,0.03322027018599432,0.28883548000586323,0.003215,0.0009286060682188503,0.34166859435993346,0.00142,0.0004851694039911055,1.2069546998731369,1.2709741352317308,-0.0503703683528709
lambda_0.1,0.1,2020-04,2020-05,neutral_watch,중립 관찰,0.01620032633915564,0.019166859435993333,0.382546333070783,0.036987,0.014149241221289051,0.2949519320052769,0.005456,0.0016092577410207907,0.32250173492394013,0.00137,0.00044182737684579794,1.2265077598876595,1.2709741352317308,-0.03498605841885516
lambda_0.1,0.1,2020-05,2020-06,neutral_watch,중립 관찰,0.019155675684787703,0.017250173492393994,0.3942916997637047,0.048366,0.01907031235077134,0.3004567388047492,8.6e-05,2.5839279537208432e-05,0.30525156143154614,0.000195,5.95240544791515e-05,1.250002344760943,1.2709741352317308,-0.016500564322628142
lambda_0.1,0.1,2020-06,2020-07,risk_relief,위험 완화 우세,0.030007935734650836,0.030570830023629536,0.42486252978733424,0.068209,0.028979448294264284,0.29041106492427426,0.003015,0.0008755893607466868,0.28472640528839155,0.000537,0.00015289807963986626,1.287512334790692,1.287512334790692,0.0
lambda_0.1,0.1,2020-07,2020-08,risk_relief,위험 완화 우세,0.011160294101363424,0.027513747021266577,0.4523762768086008,0.02723,0.0123182060174982,0.28136995843184687,-0.004208,-0.0011840047850812116,0.26625376475955237,9.8e-05,2.609286894643613e-05,1.3018813511060892,1.3018813511060892,0.0
lambda_0.1,0.1,2020-08,2020-09,risk_relief,위험 완화 우세,0.006445714763697614,0.024762372319139914,0.47713864912774073,0.011059,0.005276676320703684,0.2732329625886622,0.003967,0.0010839151625892229,0.24962838828359712,0.000341,8.512328040470662e-05,1.3102729069514962,1.3102729069514962,0.0
lambda_0.1,0.1,2020-09,2020-10,risk_relief,위험 완화 우세,-0.014763089512171708,0.022286135087225947,0.49942478421496667,-0.028852,-0.014409403874170218,0.26590966632979596,-0.001804,-0.0004797010380589519,0.2346655494552374,0.000537,0.0001260154000574625,1.2909292307407978,1.3102729069514962,-0.014763089512171756
lambda_0.1,0.1,2020-10,2020-11,neutral_watch,중립 관찰,0.07502098089778389,0.00846655494552373,0.49948230579346997,0.150796,0.07531993378443211,0.2743186996968164,-0.001291,-0.00035414544130859,0.22619899450971367,0.000244,5.519255466037013e-05,1.387776007900594,1.387776007900594,0.0
lambda_0.1,0.1,2020-11,2020-12,risk_relief,위험 완화 우세,0.07231009855032719,0.02005176942065301,0.519534075214123,0.138821,0.07212223985529977,0.26688682972713473,0.000431,0.00011502822361239508,0.2135790950587423,0.000341,7.283047141503112e-05,1.4881262277976655,1.4881262277976655,0.0
lambda_0.1,0.1,2020-12,2021-01,risk_relief,위험 완화 우세,0.023198028372369076,0.01804659247858767,0.5375806676927106,0.042354,0.022768691599457068,0.26019814675442127,0.00112,0.0002914219243649518,0.20222118555286808,0.000682,0.00013791484854705602,1.5226478222517823,1.5226478222517823,0.0
lambda_0.1,0.1,2021-01,2021-02,risk_relief,위험 완화 우세,0.007773461489699262,0.01624193323072895,0.5538226009234396,0.014104,0.007811113963424193,0.25417833207897916,-0.000516,-0.00013115601935275324,0.19199906699758126,0.000487,9.350354562782207e-05,1.534484066460431,1.534484066460431,0.0
lambda_0.1,0.1,2021-02,2021-03,neutral_watch,중립 관찰,0.00591737693287661,0.009582166792102081,0.5484403408310956,0.011509,0.006311999882625079,0.2637604988710812,-0.001808,-0.0004768789819589148,0.18779916029782315,0.000438,8.225603221044654e-05,1.5435641870791705,1.5435641870791705,0.0
lambda_0.1,0.1,2021-03,2021-04,neutral_watch,중립 관찰,0.010310056131507919,0.00862395011289184,0.5435963067479861,0.018326,0.009961945917463593,0.27238444898397307,0.000949,0.00025849284208579045,0.18401924426804084,0.000487,8.961737195853589e-05,1.559478420490542,1.559478420490542,0.0
lambda_0.1,0.1,2021-04,2021-05,conflict,신호 충돌,0.005386006453157915,0.019359630674798622,0.5242366760731875,0.010994,0.005763458016748623,0.2851460040855758,-0.001551,-0.0004422614523367281,0.19061731984123675,0.00034,6.48098887460205e-05,1.5678777813268647,1.5678777813268647,0.0
lambda_0.1,0.1,2021-05,2021-06,risk_warning,위험 악화 우세,0.012008997710976814,0.03242366760731874,0.49181300846586873,0.026544,0.01305468449671802,0.3016314036770182,-0.002934,-0.0008849865383883714,0.2065555878571131,-0.000778,-0.000160700247352834,1.5867064220139104,1.5867064220139104,0.0
lambda_0.1,0.1,2021-06,2021-07,conflict,신호 충돌,-0.013249019829844748,0.014181300846586878,0.47763170761928186,-0.030883,-0.014750700026406282,0.3114682633093164,0.004327,0.001347723175339412,0.2109000290714018,0.00073,0.0001539570212221233,1.5656841171645062,1.5867064220139104,-0.013249019829844721
lambda_0.1,0.1,2021-07,2021-08,accident_zone,강한 위험 구간,-0.004445551793225244,0.048909997092859855,0.42986853685735366,-0.011769,-0.005059122810274195,0.3103214369783847,0.001896,0.0005883694445110173,0.25981002616426163,9.7e-05,2.520157253793338e-05,1.5587237873298212,1.5867064220139104,-0.017635672419206938
lambda_0.1,0.1,2021-08,2021-09,accident_zone,강한 위험 구간,-0.018294337143054052,0.044018997383573844,0.3868816831716183,-0.042634,-0.016494313680338775,0.3092892932805462,-0.006536,-0.0020215148208816503,0.3038290235478355,0.000729,0.0002214913581663721,1.5302079688515113,1.5867064220139104,-0.035607376625279574
lambda_0.1,0.1,2021-09,2021-10,accident_zone,강한 위험 구간,-0.01491565974147227,0.039617097645216454,0.3481935148544565,-0.032009,-0.011145326216976299,0.3083603639524916,-0.012119,-0.0037370192507402457,0.34344612119305196,-9.7e-05,-3.331427375572604e-05,1.5073839074544328,1.5867064220139104,-0.049991928852722634
lambda_0.1,0.1,2021-10,2021-11,accident_zone,강한 위험 구간,-0.007849005257561562,0.03565538788069478,0.31337416336901086,-0.03593,-0.011259533689848559,0.30752432755724246,0.010252,0.00315273940611685,0.37910150907374673,0.00068,0.0002577890261701478,1.4955524432396592,1.5867064220139104,-0.057448547197883615
lambda_0.1,0.1,2021-11,2021-12,accident_zone,강한 위험 구간,0.019749382530370688,0.0320898490926253,0.2820367470321098,0.065188,0.01838541146552917,0.30677189480151823,0.002949,0.0009046703177696772,0.41119135816637203,0.001117,0.00045930074707183755,1.5250886805354298,1.5867064220139104,-0.03883373800193801
lambda_0.1,0.1,2021-12,2022-01,neutral_watch,중립 관찰,-0.02971706879920611,0.026119135816637218,0.30383307232889883,-0.089301,-0.027132597192042997,0.3110947053213664,-0.008908,-0.0027712316350027317,0.3850722223497348,0.000485,0.0001867600278396214,1.4797675152910679,1.5867064220139104,-0.06739678193721022
lambda_0.1,0.1,2022-01,2022-02,accident_zone,강한 위험 구간,0.0033248834440059646,0.031492777765026514,0.27344976509600893,0.009793,0.002677893549585215,0.3099852347892298,0.000785,0.00024333840930954538,0.41656500011476133,0.000969,0.00040365148511120375,1.484687569803637,1.5867064220139104,-0.06429598493764654
lambda_0.1,0.1,2022-02,2022-03,accident_zone,강한 위험 구간,0.000397062450681114,0.028343499988523868,0.24610478858640805,0.012976,0.003193455736697231,0.3089867113103068,-0.009678,-0.0029903733920611493,0.4449085001032852,0.000436,0.00019398010604503236,1.4852770834885989,1.5867064220139104,-0.06392445200831387
lambda_0.1,0.1,2022-03,2022-04,neutral_watch,중립 관찰,-0.010017190148360134,0.0294908500103285,0.2714943097277672,-0.028518,-0.0077424747248164665,0.3130880401792761,-0.0081,-0.0025360131254521362,0.41541765009295667,0.000629,0.00026129770190846973,1.4703987805202918,1.5867064220139104,-0.07330129876577696
lambda_0.1,0.1,2022-04,2022-05,neutral_watch,중립 관찰,0.000339506027251781,0.02654176500929567,0.2943448787549905,-0.001971,-0.0005801537560260863,0.3167792361613485,0.001953,0.0006186698482231137,0.388875885083661,0.000774,0.0003009899350547536,1.470897989768742,1.5867064220139104,-0.07298667897126165
lambda_0.1,0.1,2022-05,2022-06,risk_relief,위험 완화 우세,-0.04705308501048843,0.040565512124500935,0.3349103908794914,-0.128809,-0.043139472538796415,0.30510131254521367,-0.012314,-0.003757017562681761,0.3599882965752949,-0.000435,-0.0001565949090102533,1.4016877016143967,1.5867064220139104,-0.11660551557148213
lambda_0.1,0.1,2022-06,2022-07,accident_zone,강한 위험 구간,0.021187523654438704,0.03400117034247052,0.3014193517915423,0.048907,0.014741516238068958,0.3045911812906923,0.019912,0.006065019601860264,0.39398946691776543,0.000967,0.0003809878145094792,1.4313859929484876,1.5867064220139104,-0.09788857403645224
lambda_0.1,0.1,2022-07,2022-08,risk_relief,위험 완화 우세,-0.006429862893076472,0.03985806482084578,0.34127741661238803,-0.004786,-0.0016333537159068893,0.29413206316162305,-0.017325,-0.0050958379942751195,0.36459052022598887,0.000821,0.00029932881710553684,1.4221823772667588,1.5867064220139104,-0.10368902681967551
lambda_0.1,0.1,2022-08,2022-09,risk_relief,위험 완화 우세,-0.048814037985408745,0.035872258338761176,0.37714967495114926,-0.122712,-0.04628079091260543,0.2847188568454608,-0.01056,-0.003006631128288066,0.33813146820339,0.0014,0.000473384055484746,1.3527599126806804,1.5867064220139104,-0.14744158471123847
