n_months,gross_cum_return_pct,gross_cagr_pct,gross_ann_vol_pct,gross_mdd_pct,gross_sharpe,gross_calmar,gross_tail_strategy_avg_pct,gross_win_rate_pct,net10_cum_return_pct,net10_cagr_pct,net10_ann_vol_pct,net10_mdd_pct,net10_sharpe,net10_calmar,net10_tail_strategy_avg_pct,net10_win_rate_pct,avg_monthly_turnover_pct,avg_annual_turnover_pct,max_monthly_turnover_pct,strategy,period,sim_id,cost_bps,block_size
66.0,70.34611193906383,10.169252977838926,11.557825284349791,-15.503341832901773,0.8965179467173244,0.6559394153496221,-4.134697291199248,57.57575757575758,69.74836671637577,10.098863796506263,11.558993820931388,-15.5668208071433,0.8908668830019542,0.6487428564650849,-4.139425848666338,57.57575757575758,5.356083045904833,64.272996550858,17.711424597384138,shuffle_placebo,OOS,12,10.0,4
171.0,206.93616022920267,8.187929894895118,12.155801337874449,-21.173718607279323,0.7076520477120581,0.3867024988270216,-4.269258573556914,60.23391812865497,204.04286019720467,8.116047912431746,12.157474209323633,-21.21815488959563,0.7020690561682653,0.38250488577644737,-4.275578506205026,60.23391812865497,5.5576053998299475,66.69126479795938,29.56674402010806,shuffle_placebo,FULL,13,10.0,4
105.0,43.67805410257706,4.228737809429184,7.516585267253673,-11.939485123891991,0.5890642918961615,0.35418091865344314,-3.3258723512132744,61.904761904761905,42.76714392132228,4.153004477060862,7.517809496079655,-12.02353199910654,0.579280534127145,0.3454063645665407,-3.332363361586199,61.904761904761905,6.0692731313965815,72.83127757675898,29.56674402010806,shuffle_placebo,IS,13,10.0,4
66.0,113.62772634021722,14.798905840194521,17.02887225133892,-21.173718607279334,0.8951297676234505,0.6989280491857859,-5.7938481810210085,57.57575757575758,112.96416797744442,14.733990234551953,17.030605540640444,-21.21815488959563,0.8916962677775394,0.6944048769187182,-5.799293747056207,57.57575757575758,4.7435885541557585,56.9230626498691,18.275721080271033,shuffle_placebo,OOS,13,10.0,4
171.0,249.35222182328266,9.175139385171516,11.825752123515903,-18.59116983604362,0.8012107199479315,0.49352135804726066,-3.6690133747054916,59.64912280701754,245.89348203185642,9.098936671773238,11.82834322126297,-18.6405849444212,0.7951153345678841,0.4881250614668286,-3.6762689762658383,59.64912280701754,5.8351912541402,70.0222950496824,18.8083571748041,shuffle_placebo,FULL,14,10.0,4
105.0,52.199953974598,4.917364780789146,6.285255699929112,-8.04484843856561,0.7960946107528148,0.6112439306147958,-2.4955436548126055,61.904761904761905,51.086114556641114,4.829329020409379,6.288726551659102,-8.068257951393587,0.7822895715806527,0.5985590755158287,-2.5040253679375946,61.904761904761905,7.004415835975247,84.05299003170296,18.8083571748041,shuffle_placebo,IS,14,10.0,4
66.0,129.5350377580203,16.307817681849237,17.192367201963187,-18.59116983604361,0.9648636072991704,0.8771808243197516,-5.244332940144043,56.060606060606055,128.93796895027285,16.25275159162962,17.19372355518473,-18.640584944421178,0.9620131816449586,0.871901372198827,-5.249212049947997,56.060606060606055,3.9750612375844403,47.70073485101328,16.397695524406874,shuffle_placebo,OOS,14,10.0,4
171.0,276.04534739452765,9.740702180323257,13.565158645689499,-16.918867278331884,0.7514001151899662,0.5757301608954782,-4.085793927959431,60.81871345029239,272.3157658290927,9.663968950243884,13.568656373668778,-16.97901673957879,0.7460450617814823,0.5691712952798246,-4.09280126863086,60.23391812865497,5.836057196319139,70.03268635582967,25.78616181554978,shuffle_placebo,FULL,15,10.0,4
105.0,41.954641727677824,4.085090816967174,6.731875239408182,-9.771461548568771,0.6289039671920315,0.41806343878675123,-2.771478556504895,62.857142857142854,40.88224944667005,3.9949249843601597,6.735291203209509,-9.814139545598554,0.615709849927656,0.407058098756279,-2.7814967079559207,62.857142857142854,7.226492396535231,86.71790875842277,25.78616181554978,shuffle_placebo,IS,15,10.0,4
66.0,164.9052844048052,19.378348804359913,19.90908159550245,-16.918867278331863,0.988159170634082,1.145369160096074,-5.982428636023738,57.57575757575758,164.27443293346195,19.326609226692206,19.91172236358822,-16.97901673957879,0.9858440764040883,1.1382643366880651,-5.985418585008612,56.060606060606055,3.6240011959753535,43.48801435170424,17.86548669027746,shuffle_placebo,OOS,15,10.0,4
171.0,213.31517990838586,8.34421190028376,10.722195854477528,-16.866965627480113,0.8009988784122593,0.49470735190739623,-3.0823180101928296,59.64912280701754,210.36882951090513,8.272399425551447,10.722970828132295,-16.920925400396,0.7947258941288255,0.4888857571204614,-3.090089485655587,59.64912280701754,5.5536895373604604,66.64427444832552,20.366525723195966,shuffle_placebo,FULL,16,10.0,4
