Date,signal_date,method,strategy,069500_weight,114260_weight,153130_weight,rule_signal,rule_description,strategy_return,cumulative_return,portfolio_value
2024-04-30,2024-03-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.007895000672671432,0.4467225567304187,1.4467225567304187
2024-05-31,2024-04-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0029314455124737665,0.4424815683836967,1.4424815683836967
2024-06-30,2024-05-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.027724559578338196,0.48247373456700515,1.4824737345670052
2024-07-31,2024-06-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0011360485541968665,0.4841578967097948,1.4841578967097948
2024-08-31,2024-07-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.013545368127009232,0.46405443164025284,1.4640544316402528
2024-09-30,2024-08-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.011727737203382634,0.4468843860145282,1.4468843860145282
2024-10-31,2024-09-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.0048541571271529665,0.43986098185998945,1.4398609818599895
2024-11-30,2024-10-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.009314353701259366,0.42644960739430293,1.426449607394303
2024-12-31,2024-11-30,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,-0.005761864227180866,0.41823059842958155,1.4182305984295815
2025-01-31,2024-12-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.018312567588592933,0.44420204211953385,1.4442020421195338
2025-02-28,2025-01-31,rank,EW,0.3333333333333333,0.3333333333333333,0.3333333333333333,none,기본 동일비중,0.0047651673996917335,0.4510839066092103,1.4510839066092103
