method,strategy,year_month,trading_days,hsi_state5,069500_month_return_pct,069500_avg_weight_pct,069500_contribution_pct,114260_month_return_pct,114260_avg_weight_pct,114260_contribution_pct,153130_month_return_pct,153130_avg_weight_pct,153130_contribution_pct,strategy_month_return_pct
rank,EW,2015-03,22,risk_relief,1.9905632556768582,33.33333333333333,0.670922834313666,1.0395701025892157,33.33333333333333,0.34496142004701486,0.26724371111714884,33.33333333333333,0.08897036824476363,1.105996422675215
rank,EW,2015-04,22,risk_relief,4.043178641993128,33.33333333333333,1.333970299279341,-0.31330380799506896,33.33333333333333,-0.10433823459814476,0.1392006215468644,33.33333333333333,0.04637116505604721,1.2799315000378009
rank,EW,2015-05,18,conflict,-2.264937471051387,33.33333333333333,-0.742064247590102,0.41517120962268894,33.33333333333333,0.1387458540816455,0.11961078005624515,33.33333333333333,0.039849491062885864,-0.5697426388817539
rank,EW,2015-06,22,risk_warning,-3.431117008672546,33.33333333333333,-1.1488451481698745,-0.02511640487642408,33.33333333333333,-0.008282613962022175,0.16574823488892942,33.33333333333333,0.05520786093691592,-1.1006154565999071
rank,EW,2015-07,23,risk_warning,-3.3567257201747025,33.33333333333332,-1.1118535948594763,0.24349708189999042,33.33333333333332,0.08119264110716762,0.14613285195452796,33.33333333333332,0.0486782027347754,-0.9854022636693438
rank,EW,2015-08,20,accident_zone,-4.71233433199616,33.33333333333333,-1.5775066322237057,0.2949568167798011,33.33333333333333,0.09827376145011095,0.10407501984934786,33.33333333333333,0.03467565500763214,-1.4440131608784545
rank,EW,2015-09,20,accident_zone,2.067679189981364,33.33333333333333,0.7194869366003812,0.6285439692455874,33.33333333333333,0.20906037395395832,0.14255243893286362,33.33333333333333,0.04748656635246521,0.9681636860101372
rank,EW,2015-10,21,risk_warning,6.07737691223309,33.33333333333333,1.9809620439825668,-0.06685513447431957,33.33333333333333,-0.02222721910746239,0.09632674030313204,33.33333333333333,0.03209539244632594,2.0059762280138393
rank,EW,2015-11,21,conflict,-2.3280996210070293,33.33333333333333,-0.7598569590772801,-0.3192079056520969,33.33333333333333,-0.10636542434711757,0.05560189046429631,33.33333333333333,0.018530773901762984,-0.8523137077947607
rank,EW,2015-12,21,risk_warning,-0.6047167909695395,33.33333333333333,-0.17788807282713334,0.5349952061361352,33.33333333333333,0.17804461428529242,0.17312501335842168,33.33333333333333,0.05766870413030921,0.049441274334527385
rank,EW,2016-01,20,neutral_watch,-3.381667004664324,33.33333333333333,-1.1034958526944583,0.34522878559575254,33.33333333333333,0.11495358342874887,0.12801911752153838,33.33333333333333,0.04264815010896298,-0.9553319074384614
rank,EW,2016-02,18,conflict,1.7421419950674144,33.33333333333333,0.606282175874917,0.5265158715073825,33.33333333333333,0.17519884483042647,0.14490282986694414,33.33333333333333,0.04827098120269528,0.8227324698893979
rank,EW,2016-03,22,neutral_watch,4.280777760585863,33.33333333333333,1.406350049890385,0.10399531075688806,33.33333333333333,0.039042973329076795,0.11596731636738244,33.33333333333333,0.038637214016272,1.4899984585479142
rank,EW,2016-04,20,conflict,-0.227508778871377,33.33333333333333,-0.05909412414560511,0.06799894223865621,33.33333333333333,0.022719210453092657,0.11583298795976305,33.33333333333333,0.038591273887404284,-0.0031681908456593355
rank,EW,2016-05,20,risk_relief,-0.6245972339265382,33.33333333333333,-0.19928876566514714,0.026426063649087617,33.33333333333333,0.00891469334812767,0.08810105084389175,33.33333333333333,0.02935664587483399,-0.16405085903780092
rank,EW,2016-06,21,conflict,0.41901531401205006,33.33333333333333,0.17777083869969057,0.768040458937258,33.33333333333333,0.25538924119995476,0.1866522435387319,33.33333333333333,0.062165206972978705,0.48492441556513555
