variant,window_id,train_start,train_end,test_start,test_end,selected_lambda,selection_reason,train_selected_cagr,train_selected_mdd,train_selected_calmar,train_selected_turnover_ann,test_cum_return,test_cagr,test_ann_vol,test_mdd,test_sharpe,test_calmar,test_monthly_win_rate,test_turnover_ann
train72_test12_colab,2,2013-04-30,2019-03-31,2019-04-30,2020-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.025531295831278555,-0.05883475759323775,0.43394919730599907,0.8400996508173906,-0.03524305777566605,-0.03524305777566605,0.09148093274809069,-0.06948316160438461,-0.3852503108239418,-0.5072172446085427,0.5,0.9189570383916059
train72_test12_colab,3,2014-04-30,2020-03-31,2020-04-30,2021-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.02229786935898459,-0.07194348087989755,0.3099359259000639,0.8683970774056188,0.3397923056018033,0.3397923056018033,0.10846589589564606,-0.018170677705282134,3.1327110037307397,18.700034809545226,0.9166666666666666,0.6940151320893728
train72_test12_colab,4,2015-04-30,2021-03-31,2021-04-30,2022-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.06935675675386888,-0.07194348087989744,0.9640450518324677,0.8380408833584649,-0.020144453057198586,-0.020144453057198586,0.032292503032410026,-0.04540784919180485,-0.623812066750627,-0.4436337200669313,0.5,0.8584315424391037
train72_test12_colab,5,2016-04-30,2022-03-31,2022-04-30,2023-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.06806146871564112,-0.07194348087989799,0.9460408070783024,0.8080777846168415,-0.03726369169388488,-0.03726369169388488,0.1263714853846165,-0.10599253704272782,-0.29487420821612875,-0.35156901356991865,0.5,1.1336695077986245
train72_test12_colab,6,2017-04-30,2023-03-31,2023-04-30,2024-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.04461995054233303,-0.1533482376291937,0.2909713944690193,0.914579216383159,0.08718972050941631,0.08718972050941631,0.09261425341070899,-0.062041322466395266,0.9414287466397107,1.4053491615470108,0.5833333333333334,0.7850058638569397
train72_test12_colab,7,2018-04-30,2024-03-31,2024-04-30,2025-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.043708450795639786,-0.14787873431449194,0.2955695489162461,0.32740925739363325,-0.02137155731553142,-0.02137155731553142,0.054035854844232935,-0.059451352339607744,-0.3955069717530773,-0.3594797506615041,0.3333333333333333,0.37682971950494326
train72_test12_colab,8,2019-04-30,2025-03-31,2025-04-30,2026-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.043716173805379954,-0.14787873431449172,0.2956217742059474,0.3316755987133357,0.5026096206595412,0.5026096206595412,0.2340416418958987,-0.10912468003251641,2.147522195571936,4.605829043528707,0.75,0.30574114288956544
train72_test24,1,2012-04-30,2018-03-31,2018-04-30,2020-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.03507920693111055,-0.06335474016774789,0.553695064303466,0.24279056597510112,-0.06199995641834499,-0.03149597647626934,0.07301891211669824,-0.08227187690024051,-0.43133998526207457,-0.3828279803858135,0.4583333333333333,0.33748879952707667
train72_test24,2,2014-04-30,2020-03-31,2020-04-30,2022-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.02229786935898459,-0.07194348087989755,0.3099359259000639,0.8683970774056188,0.31280292239521246,0.14577612228358672,0.0914712503996605,-0.04540784919180452,1.5936824045441034,3.2103727632599974,0.7083333333333334,0.7762233372642384
train72_test24,3,2016-04-30,2022-03-31,2022-04-30,2024-03-31,0.3,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.06806146871564112,-0.07194348087989799,0.9460408070783024,0.8080777846168415,0.04667701795159296,0.02307234248199319,0.1097462851554589,-0.10599253704272782,0.21023347122237923,0.21767893406204858,0.5416666666666666,0.9593376858277818
train72_test24,4,2018-04-30,2024-03-31,2024-04-30,2026-03-31,0.1,all candidates exceeded turnover cap; selected max Calmar without turnover filter,0.043708450795639786,-0.14787873431449194,0.2955695489162461,0.32740925739363325,0.47049651302874707,0.21264030653312327,0.17938469965202336,-0.10912468003251641,1.1853870867783611,1.9485995878270783,0.5416666666666666,0.3412854311972544
