Date,signal_date,method,strategy,strategy_return,cumulative_return,portfolio_value
2013-04-30,2013-03-31,rank,EW_HSI_overlay,-0.008376797057387,0.0190771956420483,1.0190771956420484
2013-05-31,2013-04-30,rank,EW_HSI_overlay,0.0058422876396569,0.025030937746004,1.025030937746004
2013-06-30,2013-05-31,rank,EW_HSI_overlay,-0.0253800016945285,-0.0009843491909335,0.9990156508090664
2013-07-31,2013-06-30,rank,EW_HSI_overlay,0.0056542469790415,0.0046643320346686,1.0046643320346689
2013-08-31,2013-07-31,rank,EW_HSI_overlay,0.0059530396055012,0.0106451385935053,1.0106451385935054
2013-09-30,2013-08-31,rank,EW_HSI_overlay,0.0156364090307469,0.0264479993654893,1.0264479993654894
2013-10-31,2013-09-30,rank,EW_HSI_overlay,0.0132198141489494,0.0400174511506621,1.040017451150662
2013-11-30,2013-10-31,rank,EW_HSI_overlay,0.003989181939777,0.0441662699838452,1.0441662699838452
2013-12-31,2013-11-30,rank,EW_HSI_overlay,-0.0007731302831468,0.0433589934198801,1.04335899341988
2014-01-31,2013-12-31,rank,EW_HSI_overlay,-0.0200869349098156,0.0224011092314841,1.0224011092314842
2014-02-28,2014-01-31,rank,EW_HSI_overlay,0.0050553672622355,0.0275697223279662,1.0275697223279665
2014-03-31,2014-02-28,rank,EW_HSI_overlay,0.0015961368006335,0.0292098641769908,1.029209864176991
2014-04-30,2014-03-31,rank,EW_HSI_overlay,-0.0017131378380782,0.0274466858153459,1.027446685815346
2014-05-31,2014-04-30,rank,EW_HSI_overlay,0.008550089929545,0.0362314473768801,1.03623144737688
2014-06-30,2014-05-31,rank,EW_HSI_overlay,0.0028531464179251,0.0391879674191049,1.039187967419105
2014-07-31,2014-06-30,rank,EW_HSI_overlay,0.0159668488985898,0.0557805246721183,1.0557805246721184
2014-08-31,2014-07-31,rank,EW_HSI_overlay,-0.0082578027610862,0.0470620973403799,1.04706209734038
2014-09-30,2014-08-31,rank,EW_HSI_overlay,-0.0073467504311571,0.0393695934252962,1.0393695934252962
2014-10-31,2014-09-30,rank,EW_HSI_overlay,0.0004539245919208,0.0398413888438466,1.0398413888438467
2014-11-30,2014-10-31,rank,EW_HSI_overlay,0.0039050846603387,0.0439020575006061,1.0439020575006062
2014-12-31,2014-11-30,rank,EW_HSI_overlay,-0.00730604531491,0.0362752617641788,1.0362752617641788
2015-01-31,2014-12-31,rank,EW_HSI_overlay,0.0079561849895962,0.0445200594469168,1.0445200594469168
2015-02-28,2015-01-31,rank,EW_HSI_overlay,0.0011007385482829,0.0456698029408046,1.0456698029408047
2015-03-31,2015-02-28,rank,EW_HSI_overlay,0.0110634505611363,0.0572385191089133,1.0572385191089133
2015-04-30,2015-03-31,rank,EW_HSI_overlay,0.0128259930759256,0.0707986530346063,1.0707986530346063
2015-05-31,2015-04-30,rank,EW_HSI_overlay,-0.0099123046595264,0.0601845705567165,1.0601845705567166
2015-06-30,2015-05-31,rank,EW_HSI_overlay,-0.0109958853693476,0.0485269025485237,1.0485269025485238
2015-07-31,2015-06-30,rank,EW_HSI_overlay,-0.009907601939748,0.038138515374956,1.038138515374956
2015-08-31,2015-07-31,rank,EW_HSI_overlay,-0.0053628370682029,0.0325711476627741,1.032571147662774
2015-09-30,2015-08-31,rank,EW_HSI_overlay,0.0064217668849167,0.0392020788651552,1.0392020788651553
2015-10-31,2015-09-30,rank,EW_HSI_overlay,0.0203075334124474,0.0603057098039943,1.0603057098039943
2015-11-30,2015-10-31,rank,EW_HSI_overlay,-0.0123131887884579,0.0472499654256979,1.047249965425698
2015-12-31,2015-11-30,rank,EW_HSI_overlay,0.0003973234484021,0.0476660623933,1.0476660623933
2016-01-31,2015-12-31,rank,EW_HSI_overlay,-0.0096564319243719,0.0375493463823244,1.0375493463823244
2016-02-29,2016-01-31,rank,EW_HSI_overlay,0.00544258179734,0.0431962935687868,1.0431962935687868
2016-03-31,2016-02-29,rank,EW_HSI_overlay,0.0150125063510881,0.0588572845514199,1.05885728455142
2016-04-30,2016-03-31,rank,EW_HSI_overlay,-0.0006400614920924,0.058179550777957,1.058179550777957
2016-05-31,2016-04-30,rank,EW_HSI_overlay,-0.0016575668434742,0.0564255474401449,1.056425547440145
2016-06-30,2016-05-31,rank,EW_HSI_overlay,0.004453729093628,0.0611305806360311,1.0611305806360312
2016-07-31,2016-06-30,rank,EW_HSI_overlay,0.0109492244392356,0.0727491375227515,1.0727491375227516
