period,metric,display_name,unit,better_direction,actual,null_mean,null_std,null_p05,null_p50,null_p95,actual_minus_null_p50,actual_raw_percentile,actual_advantage_percentile,one_sided_p_value,n_simulations,block_size,cost_bps
FULL,net10_ann_vol_pct,Net10bp 연환산 변동성,%,lower,12.490355223057428,11.458137814696736,1.3558989079070634,8.989240376743407,11.644710416488062,13.360888388310526,0.845644806569366,73.9,26.1,0.7392607392607392,1000,4,10.0
FULL,net10_mdd_pct,Net10bp MDD,%,higher,-12.630488487971592,-18.175533852121767,2.9342820482958514,-22.59836057375479,-18.443083920278337,-12.731680640830268,5.812595432306745,95.5,95.5,0.04595404595404595,1000,4,10.0
FULL,net10_sharpe,Net10bp Sharpe,ratio,higher,0.8004257239208667,0.7403467397533485,0.050323120299107356,0.6506291209835017,0.7431847722640751,0.8175897165832273,0.05724095165679166,90.4,90.4,0.0969030969030969,1000,4,10.0
FULL,net10_calmar,Net10bp Calmar,ratio,higher,0.7655312128195563,0.4649841635916076,0.1221985472007107,0.29370445051125704,0.44784918099136783,0.7226531710255539,0.31768203182818844,97.6,97.6,0.024975024975024976,1000,4,10.0
FULL,net10_tail_strategy_avg_pct,Net10bp tail-month 평균수익,%,higher,-3.484003273267046,-3.9056185370815713,0.27302660020525893,-4.330108704084537,-3.9180295350715784,-3.4446309772755517,0.4340262618045325,93.10000000000001,93.10000000000001,0.06993006993006994,1000,4,10.0
FULL,net10_win_rate_pct,Net10bp 월 승률,%,higher,60.23391812865497,59.811695906432746,0.6506630359560521,59.06432748538012,59.64912280701754,60.81871345029239,0.5847953216374293,86.6,86.6,0.37462537462537465,1000,4,10.0
FULL,avg_monthly_turnover_pct,평균 월 Turnover,%,lower,4.9643410424168035,5.505874481862264,0.23237381029026283,5.113078689371895,5.509140484016641,5.874871531443231,-0.5447994415998378,1.0,99.0,0.01098901098901099,1000,4,10.0
FULL,avg_annual_turnover_pct,평균 연환산 Turnover,%,lower,59.57209250900164,66.07049378234717,2.788485723483154,61.35694427246274,66.10968580819969,70.49845837731878,-6.537593299198043,1.0,99.0,0.01098901098901099,1000,4,10.0
FULL,max_monthly_turnover_pct,최대 월 Turnover,%,lower,19.14936824488718,25.420325092192183,4.837833055948231,18.937929564671464,25.31409519622509,33.274909381090815,-6.164726951337908,7.7,92.30000000000001,0.07792207792207792,1000,4,10.0
IS,gross_cum_return_pct,Gross 누적수익률,%,higher,46.70523806082063,45.48026636912418,7.370606732018938,32.659808392029134,45.804073892823865,57.52095415807827,0.9011641679967681,54.6,54.6,0.45454545454545453,1000,4,10.0
IS,gross_cagr_pct,Gross CAGR,%,higher,4.4774000742271,4.363675565177332,0.6078456924594121,3.282646046408725,4.403854411382435,5.330210542852416,0.07354566284466557,54.6,54.6,0.45454545454545453,1000,4,10.0
IS,gross_ann_vol_pct,Gross 연환산 변동성,%,lower,6.570009313463605,7.102559257173341,0.609484350647288,6.067960511333861,7.122736718260473,8.051914500126012,-0.552727404796868,19.7,80.30000000000001,0.1978021978021978,1000,4,10.0
IS,gross_mdd_pct,Gross MDD,%,higher,-6.354962512487372,-10.472498909096426,1.7797405490637543,-13.310809119148265,-10.51727526811553,-7.573671265645287,4.162312755628157,99.1,99.1,0.00999000999000999,1000,4,10.0
IS,gross_sharpe,Gross Sharpe,ratio,higher,0.7002182789107985,0.6394540702477555,0.08251897124028527,0.49893019291703145,0.6414134862615377,0.7824190217581767,0.05880479264926075,77.7,77.7,0.22377622377622378,1000,4,10.0
IS,gross_calmar,Gross Calmar,ratio,higher,0.7045517680755945,0.42940684772141113,0.09736815156618071,0.28895122562257985,0.42172534892484825,0.6086395806361629,0.28282641915074624,99.4,99.4,0.006993006993006993,1000,4,10.0
IS,gross_tail_strategy_avg_pct,Gross tail-month 평균수익,%,higher,-2.775877457116126,-3.084662749193664,0.3422561656898497,-3.6254773717227318,-3.096326134778269,-2.4729278473888576,0.3204486776621427,81.3,81.3,0.1878121878121878,1000,4,10.0
IS,gross_win_rate_pct,Gross 월 승률,%,higher,62.857142857142854,61.66476190476191,0.8808114952216501,60.952380952380956,61.904761904761905,63.8095238095238,0.952380952380949,94.6,94.6,0.17682317682317683,1000,4,10.0
