apply_date,strategy_return_gross,turnover,w_069500,lambda
2020-12-31,0.08971389178225207,0.054770900648509875,0.6452290993514901,0.5
2021-01-31,0.028807471033961453,0.0273854503242549,0.672614549675745,0.5
2021-02-28,0.009621910599328697,0.013692725162127488,0.6863072748378725,0.5
2021-03-31,0.006376029656373854,0.09315363741893623,0.5931536374189362,0.5
2021-04-30,0.010382902994010056,0.0465768187094681,0.5465768187094682,0.5
2021-05-31,0.004440054469246877,0.09828840935473408,0.4482884093547341,0.5
2021-06-30,0.007207795647634526,0.12414420467736702,0.32414420467736704,0.5
2021-07-31,-0.008480326579887693,0.012927897661316468,0.3370721023386835,0.5
2021-08-31,-0.0012715148673247214,0.21947207999129176,0.16853605116934176,0.5
2021-09-30,-0.005289639518123816,0.10973603999564588,0.08426802558467088,0.5
2021-10-31,-0.005201268850853379,0.05486801999782294,0.04213401279233544,0.5
2021-11-30,0.002841281854321763,0.02743400999891147,0.02106700639616772,0.5
2021-12-31,0.0023473242587045444,0.013717004999455707,0.01053350319808386,0.5
2022-01-31,-0.025502056875281724,0.26814149750027216,0.25526675159904194,0.5
2022-02-28,0.00203759046697211,0.14092925124986394,0.12763337579952097,0.5
2022-03-31,-0.0018651759758893883,0.07046462562493194,0.06381668789976049,0.5
2022-04-30,-0.01045372242530867,0.239767687187534,0.28190834394988024,0.5
2022-05-31,0.00010070277757328369,0.119883843593767,0.3909541719749401,0.5
2022-06-30,-0.07366242804308515,0.1545229140125299,0.54547708598747,0.5
2022-07-31,0.019437441699882367,0.272738542993735,0.272738542993735,0.5
2022-08-31,-0.006304576676469217,0.21363072850313247,0.4863692714968675,0.5
2022-09-30,-0.074866855095372,0.10681536425156625,0.5931846357484337,0.5
2022-10-31,0.02104030979786407,0.29659231787421686,0.29659231787421686,0.5
2022-11-30,0.04025095054848911,0.20170384106289158,0.49829615893710844,0.5
2022-12-31,-0.046105594566527006,0.10085192053144575,0.5991480794685542,0.5
2023-01-31,0.05375579101736153,0.06742514849831524,0.5495740397342771,0.5
2023-02-28,-0.007142996620289303,0.07521298013286144,0.6247870198671386,0.5
2023-03-31,0.021117273387419033,0.03760649006643071,0.6623935099335693,0.5
2023-04-30,0.0087560570521016,0.018803245033215323,0.6811967549667846,0.5
2023-05-31,0.028207616187414627,0.009401622516607727,0.6905983774833924,0.5
2023-06-30,-0.0008977300495253537,0.004700811258303829,0.6952991887416962,0.5
2023-07-31,0.011741404172853699,0.002350405629151904,0.6976495943708481,0.5
2023-08-31,-0.014779478116876858,0.09882479718542403,0.598824797185424,0.5
2023-09-30,-0.014097789653839678,0.050587601407288,0.649412398592712,0.5
2023-10-31,-0.027792386563788053,0.22470619929635602,0.424706199296356,0.5
2023-11-30,0.030546445315918234,0.2343087391515976,0.212353099648178,0.5
2023-12-31,0.03452431561479246,0.24382345017591095,0.45617654982408895,0.5
2024-01-31,-0.03538836797473075,0.12191172508795552,0.5780882749120445,0.5
2024-02-29,0.02337770266993762,0.18904413745602222,0.3890441374560223,0.5
2024-03-31,0.033680639100361724,0.15547793127198886,0.5445220687280111,0.5
2024-04-30,-0.014514457329046515,0.07773896563599446,0.6222610343640056,0.5
2024-05-31,-0.004499877652394137,0.21113051718200282,0.4111305171820028,0.5
2024-06-30,0.026283100996726805,0.1055652585910014,0.30556525859100137,0.5
2024-07-31,-0.0007601128122167169,0.1972173707044993,0.5027826292955007,0.5
2024-08-31,-0.02209735268973471,0.025933680391594882,0.5013913146477503,0.5
2024-09-30,-0.007901588191485507,0.2627288171280777,0.25069565732387517,0.5
2024-10-31,-0.001112542252257549,0.13136440856403886,0.12534782866193758,0.5
2024-11-30,0.0026285689912196298,0.06568220428201943,0.06267391433096879,0.5
2024-12-31,0.00035804222265142295,0.03284110214100969,0.031336957165484396,0.5
2025-01-31,0.0042755121510957405,0.01642055107050487,0.015668478582742198,0.5
2025-02-28,0.004963991467527871,0.34216576070862886,0.35783423929137104,0.5
2025-03-31,0.002152372590858053,0.12089486223237378,0.4289171196456855,0.5
2025-04-30,0.010878559059466494,0.06044743111618689,0.4644585598228428,0.5
2025-05-31,0.03134325328836495,0.030223715558093445,0.4822292799114214,0.5
2025-06-30,0.09111751853882262,0.10888536004428928,0.5911146399557107,0.5
2025-07-31,0.03796026099122539,0.05444268002214464,0.6455573199778554,0.5
2025-08-31,-0.010352289353212356,0.027221340011072286,0.6727786599889276,0.5
2025-09-30,0.06996918872092302,0.013610670005536181,0.6863893299944638,0.5
2025-10-31,0.1548333594720294,0.006805335002768087,0.6931946649972319,0.5
2025-11-30,-0.0309278006668216,0.003402667501384009,0.6965973324986159,0.5
2025-12-31,0.031160442963341986,0.34829866624930794,0.34829866624930794,0.5
2026-01-31,0.14169503834840702,0.175850666875346,0.524149333124654,0.5
2026-02-28,0.13485729497367763,0.08792533343767296,0.6120746665623269,0.5
2026-03-31,-0.13260982688787354,0.04396266671883653,0.6560373332811634,0.5
2026-04-30,0.10978801080937808,0.32801866664058177,0.3280186666405817,0.5
2026-05-31,0.18005637333549768,0.18599066667970915,0.5140093333202909,0.5
2026-06-30,0.018325483930059436,0.09299533333985456,0.6070046666601454,0.5
2012-04-30,0.00017489999999999997,0.0,0.5,0.7
2012-05-31,-0.036040050000000004,0.0,0.5,0.7
2012-06-30,0.0031889500000000003,0.0,0.5,0.7
2012-07-31,0.0159082,0.0,0.5,0.7
2012-08-31,0.001478125,0.13999999999999996,0.64,0.7
2012-09-30,0.034120686,0.04199999999999997,0.6819999999999999,0.7
2012-10-31,-0.031116913450000002,0.012600000000000035,0.6946,0.7
2012-11-30,0.010589540534999999,0.13622,0.55838,0.7
2012-12-31,0.027819883134,0.09913399999999996,0.6575139999999999,0.7
2013-01-31,-0.013687073242899996,0.029740199999999994,0.6872541999999999,0.7
2013-02-28,0.028797236184255,0.008922060000000044,0.69617626,0.7
2013-03-31,-0.011473548568996,0.002676617999999985,0.698852878,0.7
2013-04-30,-0.0153760891242597,0.13919701459999995,0.5596558634000001,0.7
2013-05-31,0.009344112304499544,0.04175910438000004,0.51789675902,0.7
2013-06-30,-0.04898522322871332,0.127472268686,0.645369027706,0.7
2013-07-31,0.006726359520956091,0.4517583193941999,0.19361070831180005,0.7
2013-08-31,0.00668776292404248,0.26186812604543497,0.40808321249354,0.7
2013-09-30,0.020934906415128164,0.07856043781363048,0.472424963748062,0.7
2013-10-31,0.01607776950797728,0.1593025253763566,0.6317274891244186,0.7
2013-11-30,0.005481836068006265,0.04779075761290697,0.6795182467373255,0.7
2013-12-31,-0.005781430661498599,0.0143372272838721,0.6938554740211976,0.7
2014-01-31,-0.028913336637076667,0.00430116818516163,0.6981566422063593,0.7
2014-02-28,0.008142002089943604,0.34870964954445144,0.3494469926619078,0.7
2014-03-31,0.0010765877054712747,0.24538710513666448,0.5948340977985723,0.7
2014-04-30,-0.003963669915957304,0.06817656462675048,0.5284502293395716,0.7
2014-05-31,0.013675272040212906,0.12008483946229981,0.6485350688018715,0.7
2014-06-30,0.0015735277959441555,0.03602545183868994,0.6845605206405614,0.7
2014-07-31,0.023726388205975456,0.12919236444839297,0.5553681561921684,0.7
2014-08-31,-0.011533768952820616,0.10124229066548204,0.6566104468576505,0.7
2014-09-30,-0.014956520811069756,0.10962731280035531,0.5469831340572952,0.7
2014-10-31,-0.0005788535030800978,0.39320864312449366,0.16409494021718857,0.7
2014-11-30,0.0026260237233067187,0.11796259293734812,0.04922848206515658,0.7
2014-12-31,-0.01167843986677659,0.4555400625543904,0.5047685446195469,0.7
2015-01-31,0.011386993241915644,0.21333798123368283,0.2914305633858641,0.7
2015-02-28,0.001491668210174091,0.2859986056298951,0.5774291690157591,0.7
2015-03-31,0.01589686838592765,0.08579958168896852,0.6632287507047276,0.7
2015-04-30,0.027218576913538815,0.025739874506690616,0.6889686252114183,0.7
2015-05-31,-0.014725064743118124,0.007721962352007179,0.6966905875634255,0.7
2015-06-30,-0.01164019181505799,0.3476834112943978,0.34900717626902766,0.7
2015-07-31,-0.014134599885377387,0.10569497661168062,0.4547021528807083,0.7
