strategy,months,cagr_pct,ann_vol_pct,mdd_pct,sharpe,sharpe_geom,sortino,calmar,win_rate_pct,avg_turnover_pct,max_turnover_pct,segment,tail_strategy_avg_pct
up0.20_down0.30,171,8.45234104823942,10.780435389899473,-12.620365053385296,0.8068142678812006,0.7840444975124736,1.4722023446568517,0.6697382375616906,61.40350877192983,5.915921402611861,18.431861136528806,FULL,-3.351718903715432
up0.20_down0.50,105,4.293751900786025,6.071529026306612,-5.860718273439424,0.7233029512531939,0.7071944945304772,1.2269762226753098,0.7326323669651827,62.857142857142854,7.166206490975467,28.988288217049963,IS,-2.255749356642262
up0.20_down0.50,66,12.462717201995567,12.531911554157418,-10.746844555999546,1.001653617162106,0.9944785476770384,1.6895161864905481,1.1596629258993156,62.121212121212125,8.210201377331446,30.026044342564706,OOS,-3.9389681823247695
up0.20_down0.50,171,7.373905650920443,9.160948040715496,-10.746844555999502,0.8232166835398526,0.8049282255665451,1.3908604851506279,0.6861461159595825,62.57309941520468,7.5691518857093545,30.026044342564706,FULL,-2.8215545770342705
up0.30_down0.10,105,5.081035237043685,8.525858755276525,-11.303332356145956,0.6242873854430449,0.595955830713136,1.0727175131614184,0.44951657413496965,60.952380952380956,3.199114390420161,10.696004832995326,IS,-3.7165906410235587
up0.30_down0.10,66,19.111564965152628,20.235686192031398,-19.390932427627185,0.9644333185975553,0.9444485738604981,1.9937994248488713,0.9855928814399597,57.57575757575758,3.7570838819074206,10.494301716756397,OOS,-6.26479476684384
up0.30_down0.10,171,10.28901394779198,14.319161435526793,-19.39093242762717,0.7542853887235736,0.7185486380692834,1.4702165235338536,0.5306095509431377,59.64912280701754,3.4144710362573494,10.696004832995326,FULL,-4.694903427708851
dynamic_v1,105,4.4774000742271,6.570009313463605,-6.354962512487372,0.7002182789107986,0.6814906738490886,1.2097437033724723,0.7045517680755945,62.857142857142854,5.045442506525618,19.149368244887178,IS,-2.775877457116126
dynamic_v1,66,18.647515793910728,18.123777965175698,-12.62964176972936,1.0339091576544448,1.0288978285731252,2.211209092002596,1.476488101080188,56.060606060606055,4.835315985880047,15.214247604569717,OOS,-4.70398397193257
dynamic_v1,171,9.734105432409557,12.488779113410489,-12.629641769729371,0.8052967886311722,0.779428104542024,1.6213698535943326,0.770734879887107,60.23391812865497,4.964341042416802,19.149368244887178,FULL,-3.477056788021298
dynamic_v1_macro,105,4.575699798600774,6.5332374043423,-6.354962512487372,0.7182297339596103,0.7003724976471154,1.2610638095492552,0.7200199512758128,61.904761904761905,4.663134384277882,18.591122655420005,IS,-2.7270585244951273
dynamic_v1_macro,66,18.23100773626132,17.84539399858969,-12.755549064032557,1.0277367288115162,1.0216085863782052,2.196594987384009,1.429260915758474,56.060606060606055,4.11586639940063,15.687299178202196,OOS,-4.848598889688994
dynamic_v1_macro,171,9.648563260954424,12.311613434276873,-12.755549064032557,0.8089934851954221,0.7836960860135336,1.6334481660492333,0.7564208496646333,59.64912280701754,4.451908144500697,18.591122655420005,FULL,-3.522507436043461
