Date,ticker,return_from_price,return_existing_decimal,diff,abs_diff
2015-12-31,153130,0.0017564699580088217,0.001756,4.6995800882169807e-07,4.6995800882169807e-07
2026-02-28,153130,0.001942469694571347,0.001942,4.6969457134717237e-07,4.6969457134717237e-07
2020-09-30,153130,0.0003414696776877779,0.000341,4.6967768777792266e-07,4.6967768777792266e-07
2024-05-31,069500,-0.017462468246268847,-0.017462,-4.682462688490596e-07,4.682462688490596e-07
2025-12-31,153130,0.0023654679812796786,0.002365,4.6798127967869613e-07,4.6798127967869613e-07
2013-01-31,069500,-0.021420532328508046,-0.021421,4.676714919528424e-07,4.676714919528424e-07
2013-11-30,153130,0.0018585323367248385,0.001859,-4.676632751614458e-07,4.676632751614458e-07
2015-08-31,114260,0.002971532523598608,0.002972,-4.6747640139194885e-07,4.6747640139194885e-07
2015-07-31,153130,0.0014344672635426825,0.001434,4.672635426825576e-07,4.672635426825576e-07
2015-05-31,153130,0.001240467255015698,0.00124,4.6725501569810056e-07,4.6725501569810056e-07
2016-11-30,069500,-0.0047004668682466555,-0.0047,-4.668682466553095e-07,4.668682466553095e-07
2013-04-30,153130,0.0019355340626172612,0.001936,-4.6593738273876216e-07,4.6593738273876216e-07
2014-04-30,153130,0.002284463426492911,0.002284,4.634264929108921e-07,4.634264929108921e-07
2023-12-31,069500,0.06523346236671501,0.065233,4.6236671501220794e-07,4.6236671501220794e-07
2019-02-28,069500,-0.007579539139643154,-0.00758,4.608603568455327e-07,4.608603568455327e-07
2021-03-31,114260,-0.0018075400241005513,-0.001808,4.599758994486714e-07,4.599758994486714e-07
2014-11-30,153130,0.0016614597497208727,0.001661,4.5974972087280304e-07,4.5974972087280304e-07
2021-01-31,069500,0.04235354170138472,0.042354,-4.582986152801283e-07,4.582986152801283e-07
2022-11-30,069500,0.0704155422054098,0.070416,-4.5779459020844904e-07,4.5779459020844904e-07
2022-12-31,153130,0.0029275449511325657,0.002928,-4.550488674343045e-07,4.550488674343045e-07
2023-01-31,069500,0.08895645448922851,0.088956,4.5448922851576423e-07,4.5448922851576423e-07
2015-09-30,114260,0.0063145467227525565,0.006315,-4.532772474438382e-07,4.532772474438382e-07
2019-05-31,153130,0.0017394529223841992,0.001739,4.5292238419914616e-07,4.5292238419914616e-07
2022-11-30,153130,0.0027915485208496182,0.002792,-4.5147915038196845e-07,4.5147915038196845e-07
2025-06-30,153130,0.0017205500453987277,0.001721,-4.499546012724006e-07,4.499546012724006e-07
2018-05-31,069500,-0.03715155123755853,-0.037152,4.487624414642455e-07,4.487624414642455e-07
2019-10-31,153130,0.0007894463815922848,0.000789,4.463815922847638e-07,4.463815922847638e-07
2012-07-31,114260,0.014827553920496284,0.014828,-4.460795037155435e-07,4.460795037155435e-07
2021-12-31,153130,0.001116555211718051,0.001117,-4.447882819488824e-07,4.447882819488824e-07
2021-04-30,069500,0.018326442951798416,0.018326,4.429517984176623e-07,4.429517984176623e-07
2024-01-31,114260,-0.0005055611729019027,-0.000506,4.3882709809732554e-07,4.3882709809732554e-07
2017-05-31,069500,0.06401143812740528,0.064011,4.3812740528614835e-07,4.3812740528614835e-07
2018-08-31,153130,0.0016334379740281513,0.001633,4.379740281513708e-07,4.379740281513708e-07
2014-01-31,114260,0.002324437752776465,0.002324,4.377527764646942e-07,4.377527764646942e-07
