Date,lambda_0.1,lambda_0.3,lambda_0.5,lambda_0.7,lambda_1.0
2016-05-31,-0.002532688539367816,-0.003187531051049566,-0.0037876911941964295,-0.004081596425414262,-0.004151599999999999
2016-06-30,0.004527473070532303,0.004515787796249838,0.004555584661920076,0.004593115875586776,0.0046085
2016-07-31,0.015215801290466856,0.017518883742319077,0.018001409554143533,0.0172337264535799,0.0155354
2016-08-31,0.009140880384949628,0.010992728707491756,0.011639292415455584,0.011893446034610185,0.0126319
2016-09-30,0.0025352106962500055,0.0027078111938785413,0.0027637856987064164,0.002780278078733644,0.0028212
2016-10-31,-0.00397428656494948,-0.004384534607351544,-0.004468920272352488,-0.004466952349430649,-0.00443575
2016-11-30,-0.004598894538874916,-0.004922291549529522,-0.005018278778160888,-0.005045319304959066,-0.0050235
2016-12-31,0.02028232280958485,0.021272507414603188,0.02048742549787936,0.019970985532446167,0.01981975
2017-01-31,0.01874168498721815,0.020574208468410096,0.021164554819185003,0.022190169588094263,0.0241626
2017-02-28,0.00310726241416327,0.0033286324305912152,0.0034169071271275557,0.0035090996048578005,0.0036073
2017-03-31,0.025266437235680526,0.028539918291018353,0.02978038054673529,0.030483755557487294,0.030709899999999995
2017-04-30,0.014205870010782438,0.01609012022518737,0.01669094858207011,0.016920265075607493,0.0169605
2017-05-31,0.038665740694135795,0.0437406839693127,0.04500632617420471,0.045327979585730704,0.045358499999999996
2017-06-30,0.01463952534733788,0.016509114663212043,0.016884454529157836,0.016951122994571716,0.016954900000000002
2017-07-31,0.0049938268994453175,0.005462867548437329,0.0055380874486774725,0.005547931115141487,0.0055483
2017-08-31,-0.012127998872477215,-0.012804288169041752,-0.012165195979933449,-0.011363085977944753,-0.010137199999999999
2017-09-30,0.015143450747164167,0.012190614505048264,0.008028881150870778,0.004201881796950509,-0.0006506999999999999
2017-10-31,0.027224004324083218,0.02282389005812108,0.019362135097509715,0.01915628413819246,0.02415155
2017-11-30,-0.0128139289819211,-0.01227654810620091,-0.01284891624340074,-0.014535325677063296,-0.0169868
2017-12-31,0.0041947526574072184,0.0033067677308702787,0.002591196508109132,0.0018726332124103981,0.0004620999999999999
2018-01-31,0.012042145392382884,0.006910496117685287,0.0035816113791982437,0.0013744374968868887,1.6399999999999965e-05
2018-02-28,-0.02389036308114688,-0.012705708614521955,-0.008180328945945179,-0.0074544207106594,-0.010156499999999999
2018-03-31,0.004641428974005588,0.003129318628965614,0.0024945931599676206,0.002146064155667708,0.0015534999999999998
2018-04-30,0.009705076675771303,0.004359789431224866,0.002539353183324311,0.0018739336615101777,0.0015907999999999999
2018-05-31,-0.012267033570603705,-0.007498566777478907,-0.009080874724243135,-0.012410412795415974,-0.0182109
2018-06-30,-0.009294638843148923,-0.003655508387016477,-0.002764353441265347,-0.0018749582348951475,0.0015466999999999998
2018-07-31,-0.0005288970037133459,0.0007276053400929809,0.0010349745788940385,0.0012818083403461995,0.0015896999999999999
2018-08-31,0.004281268300489642,0.003973981219684697,0.0040492830200163435,0.004196983512527327,0.0045298000000000005
2018-09-30,0.00197403163069934,0.0018684063189625434,0.0023308067074470458,0.002813674392957759,0.0034655
2018-10-31,-0.041198326557871,-0.04542522665029482,-0.056410504788548047,-0.061639724150708945,-0.05925135
2018-11-30,0.010776339535124075,0.009411131248690285,0.008369599304548603,0.005934273830783287,0.0014064999999999998
2018-12-31,-0.005759030370989057,-0.005881930184112887,-0.006615784259113931,-0.0073523059313560825,-0.00997445
2019-01-31,0.03088692048779865,0.028656894131269556,0.02742539424270379,0.025069588002425022,0.019586999999999997
