Date,R_ew,R_bm,R_base_gross,R_lambda_gross,R_lambda_net,saa_effect,timing_effect,lambda_effect,cost_effect,total_excess_vs_ew,residual_check
2013-03-31,-0.0034046666666666674,-0.011500600000000001,-0.011500600000000001,-0.01084220954216398,-0.01085431346353548,-0.008095933333333333,0.0,0.0006583904578360188,-1.2103921371499901e-05,-0.007449646796868813,8.673617379884035e-19
2013-04-30,-0.008376666666666666,-0.019715600000000003,-0.0135315,-0.017249066082803327,-0.017300593337843277,-0.011338933333333332,0.006184099999999999,-0.00371756608280333,-5.1527255039950005e-05,-0.008923926671176611,1.734723475976807e-18
2013-05-31,0.005841999999999999,0.013935799999999998,0.00889285,0.011022763668322532,0.010986694589794567,0.008093799999999998,-0.005042949999999999,0.002129913668322531,-3.60690785279649e-05,0.005144694589794568,2.6020852139652106e-18
2013-06-30,-0.025379666666666665,-0.0530037,-0.0530037,-0.047036089954418756,-0.04707084159944918,-0.027624033333333332,0.0,0.005967610045581243,-3.47516450304245e-05,-0.021691174932782515,0.0
2013-07-31,0.010102666666666666,0.018993399999999997,0.0020377999999999998,0.012527963348597161,0.012342289500118458,0.008890733333333333,-0.016955599999999998,0.010490163348597162,-0.0001856738484787028,0.002239622833451792,-1.734723475976807e-18
2013-08-31,0.005952999999999999,0.009404799999999998,0.007624,0.007089646894134316,0.007046248577663168,0.0034518,-0.0017807999999999997,-0.0005343531058656847,-4.3398316471147804e-05,0.0010932485776631688,8.673617379884035e-19
2013-09-30,0.015636333333333332,0.029120399999999998,0.02199735,0.02064409211015121,0.020613713288621407,0.013484066666666666,-0.00712305,-0.0013532578898487887,-3.03788215298034e-05,0.004977379955288075,8.673617379884035e-19
2013-10-31,0.009637,0.0175417,0.0175417,0.014038086369150646,0.013968272499178841,0.0079047,0.0,-0.003503613630849354,-6.98138699718048e-05,0.004331272499178841,0.0
2013-11-30,0.0023226666666666665,0.0057022,0.0057022,0.004574695540205386,0.004525825831225122,0.0033795333333333333,0.0,-0.0011275044597946142,-4.88697089802634e-05,0.002203159164558456,0.0
2013-12-31,-0.0007726666666666666,-0.0058731999999999986,-0.0058731999999999986,-0.004727271207179423,-0.004761480003465607,-0.005100533333333332,0.0,0.0011459287928205768,-3.4208796286184405e-05,-0.003988813336798941,-8.673617379884035e-19
2014-01-31,-0.012654666666666666,-0.028995599999999996,-0.028995599999999996,-0.026504016515102338,-0.026527962672502667,-0.01634093333333333,0.0,0.00249158348489766,-2.39461574003291e-05,-0.013873296005836,0.0
2014-02-28,0.007809000000000001,0.013406999999999999,0.005897250000000001,0.01056524884627897,0.0104320111564592,0.005598,-0.007509749999999999,0.004667998846278969,-0.0001332376898197695,0.0026230111564591986,-1.734723475976807e-18
2014-03-31,0.0015963333333333333,0.0008552000000000001,0.0008552000000000001,0.001133529567815056,0.0010767959506888948,-0.0007411333333333333,0.0,0.00027832956781505573,-5.67336171261612e-05,-0.0005195373826444385,2.168404344971009e-19
2014-04-30,-0.0017133333333333334,-0.0058949,-0.0036473499999999997,-0.004169144585499306,-0.004194447615092905,-0.004181566666666667,0.0022475499999999996,-0.000521794585499306,-2.53030295935989e-05,-0.002481114281759572,0.0
2014-05-31,0.008550333333333333,0.014451400000000001,0.014451400000000001,0.01280536631221371,0.01275956683982189,0.005901066666666667,0.0,-0.0016460336877862915,-4.5799472391819e-05,0.004209233506488557,8.673617379884035e-19
2014-06-30,0.0028529999999999996,0.0014942000000000002,0.0014942000000000002,0.0018444842747881998,0.0018124246441139265,-0.0013587999999999999,0.0,0.0003502842747881998,-3.20596306742733e-05,-0.0010405753558860732,2.168404344971009e-19
2014-07-31,0.015966666666666667,0.028481599999999996,0.02190695,0.024761531341177152,0.024723973082649144,0.012514933333333334,-0.006574649999999999,0.0028545813411771513,-3.75582585280087e-05,0.008757306415982477,-1.734723475976807e-18
