final_decision,source_type,strategy_name,report_strategy_name,combo_id,theta_common,lambda_value,CAGR_pct,MDD_pct,Sharpe,Calmar,avg_turnover_pct,max_turnover_pct,CAGR_cost_drag_20bp_pct,selection_score,decision_reason
exclude_turnover,event_balance_filter,HSI_final_baseline_overlay,HSI Baseline,,,,7.449790333999728,-23.861954954928844,0.5921065361175394,0.3122036877561419,22.093023255813957,70.0,0.5644587409816326,0.3278260869565217,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,lambda,lambda_1.0,Lambda 1.0,,,1.0,7.449790333999728,-23.861954954928844,0.5921065361175394,0.3122036877561419,22.093023255813957,70.0,0.5644587409816326,0.3278260869565217,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,signal_combo,combo_00_core5,combo_00_core5,combo_00_core5,,,7.449790333999728,-23.861954954928844,0.5921065361175394,0.3122036877561419,22.093023255813957,70.0,0.5644587409816326,0.3278260869565217,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,signal_combo,combo_01_core4_no_rs,combo_01_core4_no_rs,combo_01_core4_no_rs,,,7.449790333999728,-23.861954954928844,0.5921065361175394,0.3122036877561419,22.093023255813957,70.0,0.5644587409816326,0.3278260869565217,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,theta,theta_0.15,Theta 0.15,,0.15,,7.449790333999728,-23.861954954928844,0.5921065361175394,0.3122036877561419,22.093023255813957,70.0,0.5644587409816326,0.3278260869565217,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,theta,theta_0.10,Theta 0.10,,0.1,,7.207133009283462,-22.12471885666186,0.5771849624177516,0.3257502640361623,23.139534883720927,70.0,0.5899721382379708,0.2939130434782609,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,event_balance_filter,HSI_event_balance_filter_overlay,HSI + Event Filter,,,,6.858056934059187,-23.426465648028937,0.5798005667650946,0.2927482547772294,21.918604651162784,75.0,0.5577451943066913,0.2652173913043478,평균 또는 최대 Turnover가 후보 기준을 초과함
exclude_turnover,signal_combo,combo_03_risk_damage_focus,combo_03_risk_damage_focus,combo_03_risk_damage_focus,,,6.198615960649856,-27.136616982066176,0.5064800679379408,0.2284225762093464,25.523255813953483,70.0,0.6449568389812477,0.0434782608695652,평균 또는 최대 Turnover가 후보 기준을 초과함
benchmark,baseline,EW,EW (Benchmark),,,,6.510061939431955,-13.571143569546908,0.8317791325459923,0.4796988482267824,0.0,0.0,0.0,0.7330434782608695,동일가중 비교 기준
benchmark,event_balance_filter,EW,EW (Benchmark),,,,6.510061939431955,-13.571143569546908,0.8317791325459923,0.4796988482267824,0.0,0.0,0.0,0.7330434782608695,동일가중 비교 기준
benchmark,lambda,EW,EW (Benchmark),,,,6.510061939431955,-13.571143569546908,0.8317791325459923,0.4796988482267824,0.0,0.0,0.0,0.7330434782608695,동일가중 비교 기준
benchmark,signal_combo,EW,EW (Benchmark),EW,,,6.510061939431955,-13.571143569546908,0.8317791325459923,0.4796988482267824,0.0,0.0,0.0,0.7330434782608695,동일가중 비교 기준
benchmark,theta,EW,EW (Benchmark),,,,6.510061939431955,-13.571143569546908,0.8317791325459923,0.4796988482267824,0.0,0.0,0.0,0.7330434782608695,동일가중 비교 기준
