Date,R_ew,R_lambda_net,exposure_effect,pure_timing_effect,lambda_effect,cost_effect,total_excess_vs_ew,residual_check
2016-07-31,0.0109396842461877,0.009765444243216159,-0.001499849490068793,0.001499849490068793,-0.0011565839171652238,-1.7656085806317057e-05,-0.0011742400029715414,-4.336808689942018e-19
2016-08-31,0.005975828166839899,0.0054039001767359,-0.0010366351434382992,0.0010366351434382992,-0.0005595687300395767,-1.235926006442198e-05,-0.0005719279901039995,-7.589415207398531e-19
2016-09-30,0.0022248578073199667,0.0021539160614058956,-6.454595280068704e-05,-3.6134700072179524e-05,4.608742491370032e-05,-1.6348517954904634e-05,-7.094174591407111e-05,-2.439454888092385e-19
2016-10-31,-0.0032313041400109,-0.0031428455015285427,0.00017230380037618732,-0.00017230380037618732,0.00010201467591392371,-1.3556037431566747e-05,8.845863848235729e-05,3.2526065174565133e-19
2016-11-30,-0.004050907071176737,-0.004043612996167657,4.049594623290313e-05,-4.049594623290313e-05,1.6783301211177154e-05,-9.489226202096691e-06,7.29407500907938e-06,-1.0825081065909958e-18
2016-12-31,0.014082109848031632,0.013563761079964164,-0.001763830688012421,0.001763830688012421,-0.0005117063097259992,-6.642458341467705e-06,-0.0005183487680674673,-4.336808689942018e-19
2017-01-31,0.011802576500592701,0.01056100034375945,-0.001819937510446137,-0.0010188539054207,0.0016175655381945584,-2.0350279160972567e-05,-0.0012415761568332507,2.168404344971009e-19
2017-02-28,0.0024818136343974667,0.0022897284144865176,-0.00018966221945586939,-0.00010617842200307216,0.00011800061696067306,-1.424519541268085e-05,-0.00019208521991094909,2.439454888092385e-19
2017-03-31,0.015570371418818067,0.014113426101597047,-0.0021968152118746046,0.0021968152118746046,-0.0014419169540098975,-1.5028363211123442e-05,-0.0014569453172210197,1.3010426069826053e-18
2017-04-30,0.0085264099916806,0.007953136475211103,-0.0012248236649421117,0.0012248236649421117,-0.0005627536622217111,-1.0519854247786426e-05,-0.0005732735164694965,9.75781955236954e-19
2017-05-31,0.02246111673958253,0.02138187088098358,-0.0033327609257652476,0.0033327609257652476,-0.0010718819606255054,-7.363897973450495e-06,-0.0010792458585989519,3.903127820947816e-18
