strategy,year,months,annual_return_gross_pct,annual_mdd_gross_pct,annual_turnover_pct,avg_monthly_turnover_pct,turnover_flag_100,turnover_flag_200
lambda_0.3,2016,12,5.8476939800003125,-0.9216977638965118,70.65625854267165,5.888021545222638,False,False
lambda_0.3,2017,12,15.69955811219199,-1.2748089758337189,66.10861651822934,5.509051376519112,False,False
lambda_0.3,2018,12,-4.40010023398103,-5.414331656093829,107.53858273571646,8.961548561309705,True,False
lambda_0.3,2019,12,5.473829821094656,-4.999882046901016,81.76134010083184,6.813445008402653,False,False
lambda_0.3,2020,12,19.549375372584766,-5.393468938839829,95.23953047197902,7.936627539331585,False,False
lambda_0.3,2021,12,4.424172388750325,-3.1172202061074072,69.47788428497022,5.789823690414185,False,False
lambda_0.3,2022,12,-11.290954424396404,-11.424561002781875,125.98412740192657,10.49867728349388,True,False
lambda_0.3,2023,12,13.147022273422436,-6.183849664505958,66.09591092246794,5.507992576872328,False,False
lambda_0.3,2024,12,-0.46954074850492633,-3.957211202024169,99.42864513274515,8.285720427728762,False,False
lambda_0.3,2025,12,43.169475306691176,-2.9710689548005487,87.31856454792924,7.276547045660771,False,False
lambda_0.3,2026,6,55.37580639243676,-12.552501831151819,47.47738041467502,7.912896735779169,False,False
asym_up0.1_down0.3,2012,9,2.0623254612393227,-3.604004999999999,8.66660000000001,0.9629555555555565,False,False
asym_up0.1_down0.3,2013,12,0.43570215894777053,-5.67842450570164,37.93249590014076,3.16104132501173,False,False
asym_up0.1_down0.3,2014,12,-0.876170061571302,-2.961418070794253,55.32524711282733,4.6104372594022776,False,False
asym_up0.1_down0.3,2015,12,0.8976120694184075,-4.055247456141286,58.992723700185444,4.916060308348787,False,False
asym_up0.1_down0.3,2016,12,4.472067080259512,-0.78548548848969,42.07261251414669,3.506051042845557,False,False
asym_up0.1_down0.3,2017,12,13.002745977694996,-1.1145963081101162,50.437914988333596,4.203159582361133,False,False
asym_up0.1_down0.3,2018,12,-1.4865213970781888,-2.407979800230997,62.7824606178082,5.231871718150683,False,False
asym_up0.1_down0.3,2019,12,4.943136622312916,-2.60921864667919,44.0605004486797,3.6717083707233082,False,False
asym_up0.1_down0.3,2020,12,12.652206079538896,-3.7936055788017953,61.67903175678945,5.139919313065787,False,False
asym_up0.1_down0.3,2021,12,3.065361670039768,-2.88051492131024,55.84681617949169,4.653901348290974,False,False
asym_up0.1_down0.3,2022,12,-5.464712659689674,-5.870813655674379,59.86616762264564,4.988847301887136,False,False
asym_up0.1_down0.3,2023,12,9.393745241317486,-4.846967472015495,51.51760722569825,4.293133935474854,False,False
asym_up0.1_down0.3,2024,12,0.9388857590847399,-2.439194778450071,62.76005589558772,5.230004657965643,False,False
asym_up0.1_down0.3,2025,12,25.363363305794053,-2.034759995785207,56.64706158405005,4.720588465337505,False,False
asym_up0.1_down0.3,2026,6,35.12042812917058,-8.572452000278474,30.76079038132861,5.126798396888102,False,False
asym_up0.1_down0.5,2012,9,2.00528232923034,-3.604004999999999,9.859000000000005,1.095444444444445,False,False
asym_up0.1_down0.5,2013,12,-0.30795776409616726,-5.495289098772426,56.091829077677644,4.67431908980647,False,False
asym_up0.1_down0.5,2014,12,-0.12932534691136865,-2.2261046943429674,72.99761257600336,6.083134381333613,False,False
asym_up0.1_down0.5,2015,12,0.9010771662434802,-2.955696094624738,68.50538223821358,5.708781853184465,False,False
asym_up0.1_down0.5,2016,12,4.000157259504733,-0.7371778390764749,50.48535625278594,4.207113021065495,False,False
asym_up0.1_down0.5,2017,12,11.801629710162164,-1.0653542472469413,70.00421418230201,5.833684515191834,False,False
asym_up0.1_down0.5,2018,12,-0.49488508459011316,-1.6760926795648667,58.0627222632457,4.838560188603808,False,False
asym_up0.1_down0.5,2019,12,4.200017820045021,-2.3072672171292052,52.87822445522963,4.406518704602469,False,False
asym_up0.1_down0.5,2020,12,11.22443329428917,-1.9183663153988895,76.66259693976494,6.388549744980411,False,False
asym_up0.1_down0.5,2021,12,3.5212539323314695,-1.8489784000164655,64.43373231693162,5.369477693077635,False,False
asym_up0.1_down0.5,2022,12,-4.765335581726071,-5.16399800056786,67.85387152337937,5.654489293614947,False,False
asym_up0.1_down0.5,2023,12,7.394992656729404,-4.278208862894184,68.07200877631148,5.672667398025957,False,False
asym_up0.1_down0.5,2024,12,2.0953849497411303,-1.5180959222988233,74.34994266664533,6.195828555553778,False,False
asym_up0.1_down0.5,2025,12,22.349690745270866,-1.9567654316339111,66.41068960024369,5.534224133353641,False,False
asym_up0.1_down0.5,2026,6,22.842513624928817,-7.150243006851198,40.47459169859238,6.74576528309873,False,False
asym_up0.2_down0.3,2012,9,2.2043383147988482,-3.604004999999999,15.321600000000002,1.7024000000000001,False,False
asym_up0.2_down0.3,2013,12,0.31944643058474664,-6.104324419558127,50.72213825910538,4.2268448549254485,False,False
asym_up0.2_down0.3,2014,12,-1.5114981896697577,-3.492227628478195,72.53555688500013,6.044629740416677,False,False
asym_up0.2_down0.3,2015,12,0.44438174322438684,-5.216797210688973,82.05851472336794,6.838209560280662,False,False
asym_up0.2_down0.3,2016,12,5.397018149531818,-0.8997595770312561,59.94440156300289,4.995366796916908,False,False
asym_up0.2_down0.3,2017,12,15.001692086010344,-1.2388995268006964,60.02216436752958,5.001847030627465,False,False
asym_up0.2_down0.3,2018,12,-3.150548637276762,-4.1297687988821385,88.0566257678855,7.3380521473237925,False,False
asym_up0.2_down0.3,2019,12,5.360845887341714,-4.1710322577560355,68.15984489311381,5.679987074426151,False,False
asym_up0.2_down0.3,2020,12,17.162906480383057,-4.9031623140624365,83.06738719934202,6.922282266611836,False,False
asym_up0.2_down0.3,2021,12,4.045927532951477,-3.059884088844367,65.78105482450808,5.481754568709007,False,False
asym_up0.2_down0.3,2022,12,-8.839027453269487,-9.110255187545357,98.28460136531905,8.190383447109921,False,False
asym_up0.2_down0.3,2023,12,11.867440833878451,-5.879024368604235,62.98159523949018,5.2484662699575155,False,False
asym_up0.2_down0.3,2024,12,0.042531594794548155,-3.3717582872468843,85.1936625031529,7.09947187526274,False,False
asym_up0.2_down0.3,2025,12,36.95772436453297,-2.7176521017426403,78.18772385120918,6.515643654267432,False,False
asym_up0.2_down0.3,2026,6,48.724008156508766,-11.353628941331117,41.30568840460151,6.884281400766919,False,False
dynamic_v1,2012,9,2.3219615910879066,-3.604004999999999,20.32259999999999,2.2580666666666653,False,False
dynamic_v1,2013,12,0.2618052456321962,-6.354962512487372,58.49554750776071,4.874628958980059,False,False
dynamic_v1,2014,12,-1.9193796283623388,-3.8257374410137324,84.7053964997303,7.058783041644191,False,False
dynamic_v1,2015,12,0.650280025953287,-5.8517667187341305,86.21171992158145,7.184309993465121,False,False
dynamic_v1,2016,12,5.863089974070301,-0.9205851549598298,48.787699150372255,4.065641595864355,False,False
dynamic_v1,2017,12,15.972284834033523,-1.2902117607332175,67.94165232741013,5.661804360617511,False,False
dynamic_v1,2018,12,-3.7553039862758486,-4.913675214811075,71.65104507580271,5.970920422983559,False,False
dynamic_v1,2019,12,7.108356279062744,-3.5471951297683657,35.279020143264496,2.939918345272041,False,False
dynamic_v1,2020,12,14.457462154546485,-4.884561493500228,56.37678255926792,4.698065213272327,False,False
dynamic_v1,2021,12,3.504715222691246,-2.9830012127442407,53.677381532809974,4.4731151277341645,False,False
dynamic_v1,2022,12,-7.761104868955937,-7.986193611130754,51.036293373722444,4.253024447810203,False,False
dynamic_v1,2023,12,12.624456713485976,-5.6417623855548715,52.64850582035625,4.387375485029688,False,False
dynamic_v1,2024,12,-0.8885442505608632,-4.34384867289388,90.33997561682528,7.5283313014021065,False,False
dynamic_v1,2025,12,43.47190477338334,-2.9460001132456615,59.72479831517038,4.977066526264198,False,False
dynamic_v1,2026,6,67.50389765221148,-12.62964176972936,11.703900409198816,1.9506500681998027,False,False
dynamic_v1_macro,2012,9,2.3219615910879066,-3.604004999999999,20.32259999999999,2.2580666666666653,False,False
dynamic_v1_macro,2013,12,0.2618052456321962,-6.354962512487372,58.49554750776071,4.874628958980059,False,False
dynamic_v1_macro,2014,12,-1.9356429022229449,-3.8482771572115437,82.56820810700272,6.880684008916893,False,False
dynamic_v1_macro,2015,12,0.5788066396761549,-5.627790788173104,76.90139308692743,6.408449423910619,False,False
dynamic_v1_macro,2016,12,5.863831921500817,-0.9117921923720185,41.32923012473147,3.444102510394289,False,False
dynamic_v1_macro,2017,12,16.8904746344408,-1.4188415132156518,48.15371396382283,4.012809496985236,False,False
dynamic_v1_macro,2018,12,-3.470251639111188,-4.700335358175112,68.79954660675212,5.733295550562676,False,False
dynamic_v1_macro,2019,12,6.9302891360972785,-3.4130103082100627,36.746851516866236,3.0622376264055196,False,False
dynamic_v1_macro,2020,12,14.448111792822305,-4.844223881433374,56.312019435314106,4.6926682862761755,False,False
dynamic_v1_macro,2021,12,3.229583010602455,-3.680340083143274,43.84347084681897,3.653622570568247,False,False
dynamic_v1_macro,2022,12,-8.332820480675295,-8.365031968365555,49.43389689170061,4.119491407641718,False,False
dynamic_v1_macro,2023,12,13.119881905475395,-5.937540610908954,39.80942528036009,3.3174521066966745,False,False
dynamic_v1_macro,2024,12,-0.6334773200812993,-4.802732268352461,69.97185505793117,5.8309879214942635,False,False
dynamic_v1_macro,2025,12,42.72576615148278,-2.8458058538046394,56.18904981419062,4.682420817849218,False,False
dynamic_v1_macro,2026,6,65.47149555678094,-12.322751195356108,12.399484469440218,2.0665807449067026,False,False
