strategy,months,cagr_pct,ann_vol_pct,mdd_pct,sharpe,sharpe_geom,sortino,calmar,win_rate_pct,avg_turnover_pct,max_turnover_pct,split
up0.30_down0.10,48,5.912899166989849,7.243385076575044,-9.033181257126143,0.830501729036645,0.816317109263187,1.172385679642329,0.6545755032121435,62.5,3.4380502715956704,10.696004832995326,2016-2019
up0.30_down0.10,36,2.898903321218871,12.750199464403641,-19.39093242762717,0.28594005157475905,0.22736140946752317,0.4703948450495159,0.14949788165362626,58.333333333333336,4.224077075272344,8.85449550707736,2020-2022
up0.30_down0.10,42,35.72633148476769,23.33705720578679,-13.504779709205984,1.4325446880344097,1.5308841714588068,3.0963283724871253,2.645458293585763,59.523809523809526,3.3827701169492825,10.494301716756397,2023-2026
dynamic_v1,45,0.33844164278313826,5.981473605376133,-6.354962512487372,0.08589687846020967,0.05658164945824517,0.1331956687918117,0.053256276825883284,60.0,5.549672531757165,18.591122655420005,2012-2015
dynamic_v1,48,6.065644397955339,5.751755046549341,-5.088809893325285,1.054413305465027,1.0545727954103867,1.5919078959381099,1.1919573584211338,64.58333333333334,4.659571181184367,19.149368244887178,2016-2019
dynamic_v1,36,3.0005269073772878,8.145922839143108,-11.784089757929506,0.40257012920636487,0.3683470819241054,0.6900796345645229,0.2546252590581496,55.55555555555556,4.474734929605565,16.238898522284078,2020-2022
dynamic_v1,42,32.56912334784769,21.547025092916254,-12.62964176972936,1.4226848215646979,1.5115368923274257,2.98727004997325,2.578784413815216,59.523809523809526,5.105170956227399,15.214247604569717,2023-2026
dynamic_v1_macro,45,0.3150000374237738,5.945141810423687,-6.354962512487372,0.08213529047956354,0.05298444468918816,0.12282589967433027,0.049567568149269985,57.77777777777777,5.295283304482019,18.591122655420005,2012-2015
dynamic_v1_macro,48,6.309521113506422,5.703683059975392,-4.93837496605437,1.1032604879043717,1.1062187444780012,1.7858291893647358,1.2776512834438654,64.58333333333334,4.06311129608693,18.1567426834647,2016-2019
dynamic_v1_macro,36,2.693327118257405,8.32512739871341,-12.755549064032557,0.3597021218963864,0.32351782612643737,0.613685532421,0.2111494459969513,55.55555555555556,4.1552607548287135,16.111417221215373,2020-2022
dynamic_v1_macro,42,32.17343423713493,21.11435022652886,-12.322751195356108,1.433619120540335,1.5237709847547671,3.018478334924184,2.6108970088805856,59.523809523809526,4.2469003481410015,15.687299178202196,2023-2026
