date,year,strategy,buy_turnover,sell_turnover,oneway_turnover_from_weights,double_sided_turnover,turnover_from_backtest,turnover_diff
2023-05-31,2023,lambda_0.3,0.018487772442422945,0.018487772442422973,0.01848777244242296,0.03697554488484592,0.01848777244242296,0.0
2023-06-30,2023,lambda_0.3,0.01294144070969605,0.012941440709696092,0.012941440709696071,0.025882881419392142,0.012941440709696071,0.0
2023-07-31,2023,lambda_0.3,0.009059008496787313,0.009059008496787258,0.009059008496787285,0.01811801699357457,0.009059008496787285,0.0
2023-08-31,2023,lambda_0.3,0.05365869405224892,0.05365869405224888,0.0536586940522489,0.1073173881044978,0.0536586940522489,0.0
2023-09-30,2023,lambda_0.3,0.022438914163425694,0.02243891416342575,0.02243891416342572,0.04487782832685144,0.02243891416342572,0.0
2023-10-31,2023,lambda_0.3,0.134292760085602,0.13429276008560187,0.13429276008560193,0.26858552017120385,0.13429276008560193,0.0
2023-11-30,2023,lambda_0.3,0.15400493205992136,0.15400493205992138,0.15400493205992138,0.30800986411984277,0.15400493205992138,0.0
2023-12-31,2023,lambda_0.3,0.10219654755805502,0.10219654755805507,0.10219654755805505,0.2043930951161101,0.10219654755805505,0.0
2024-01-31,2024,lambda_0.3,0.07153758329063847,0.07153758329063853,0.0715375832906385,0.143075166581277,0.0715375832906385,0.0
2024-02-29,2024,lambda_0.3,0.09992369169655302,0.09992369169655302,0.09992369169655302,0.19984738339310604,0.09992369169655302,0.0
2024-03-31,2024,lambda_0.3,0.08005341581241288,0.0800534158124129,0.08005341581241289,0.16010683162482578,0.08005341581241289,0.0
2024-04-30,2024,lambda_0.3,0.0560373910686891,0.05603739106868891,0.056037391068689005,0.11207478213737801,0.056037391068689005,0.0
2024-05-31,2024,lambda_0.3,0.11077382625191762,0.11077382625191773,0.11077382625191767,0.22154765250383535,0.11077382625191767,0.0
2024-06-30,2024,lambda_0.3,0.07754167837634235,0.0775416783763424,0.07754167837634238,0.15508335675268475,0.07754167837634238,0.0
2024-07-31,2024,lambda_0.3,0.09572082513656033,0.0957208251365603,0.09572082513656031,0.19144165027312063,0.09572082513656031,0.0
2024-08-31,2024,lambda_0.3,0.019721847504413803,0.01972184750441386,0.01972184750441383,0.03944369500882766,0.01972184750441383,0.0
2024-09-30,2024,lambda_0.3,0.1511947067469103,0.15119470674691027,0.15119470674691027,0.30238941349382054,0.15119470674691027,0.0
2024-10-31,2024,lambda_0.3,0.10583629472283718,0.10583629472283718,0.10583629472283718,0.21167258944567435,0.10583629472283718,0.0
2024-11-30,2024,lambda_0.3,0.07408540630598603,0.07408540630598603,0.07408540630598603,0.14817081261197207,0.07408540630598603,0.0
2024-12-31,2024,lambda_0.3,0.05185978441419026,0.051859784414190285,0.05185978441419027,0.10371956882838054,0.05185978441419027,0.0
2025-01-31,2025,lambda_0.3,0.03630184908993317,0.03630184908993318,0.036301849089933176,0.07260369817986635,0.036301849089933176,0.0
2025-02-28,2025,lambda_0.3,0.18561358154954383,0.18561358154954377,0.1856135815495438,0.3712271630990876,0.1856135815495438,0.0
2025-03-31,2025,lambda_0.3,0.09321209394593272,0.09321209394593272,0.09321209394593272,0.18642418789186543,0.09321209394593272,0.0
2025-04-30,2025,lambda_0.3,0.06524846576215293,0.06524846576215293,0.06524846576215293,0.13049693152430586,0.06524846576215293,0.0
2025-05-31,2025,lambda_0.3,0.04567392603350706,0.04567392603350706,0.04567392603350706,0.09134785206701412,0.04567392603350706,0.0
2025-06-30,2025,lambda_0.3,0.08398582093004542,0.08398582093004545,0.08398582093004543,0.16797164186009086,0.08398582093004543,0.0
2025-07-31,2025,lambda_0.3,0.05879007465103181,0.05879007465103184,0.05879007465103182,0.11758014930206365,0.05879007465103182,0.0
2025-08-31,2025,lambda_0.3,0.0411530522557223,0.04115305225572227,0.041153052255722286,0.08230610451144457,0.041153052255722286,0.0
2025-09-30,2025,lambda_0.3,0.028807136579005577,0.028807136579005604,0.02880713657900559,0.05761427315801118,0.02880713657900559,0.0
2025-10-31,2025,lambda_0.3,0.020164995605303937,0.02016499560530391,0.020164995605303923,0.040329991210607846,0.020164995605303923,0.0
2025-11-30,2025,lambda_0.3,0.014115496923712723,0.01411549692371275,0.014115496923712736,0.028230993847425473,0.014115496923712736,0.0
2025-12-31,2025,lambda_0.3,0.20011915215340106,0.20011915215340104,0.20011915215340104,0.4002383043068021,0.20011915215340104,0.0
2026-01-31,2026,lambda_0.3,0.06991659349261925,0.06991659349261925,0.06991659349261925,0.1398331869852385,0.06991659349261925,0.0
2026-02-28,2026,lambda_0.3,0.04894161544483355,0.048941615444833414,0.04894161544483348,0.09788323088966697,0.04894161544483348,0.0
2026-03-31,2026,lambda_0.3,0.03425913081138343,0.03425913081138346,0.034259130811383445,0.06851826162276689,0.034259130811383445,0.0
2026-04-30,2026,lambda_0.3,0.18601860843203155,0.1860186084320316,0.18601860843203158,0.37203721686406316,0.18601860843203158,0.0
2026-05-31,2026,lambda_0.3,0.0797869740975779,0.0797869740975779,0.0797869740975779,0.1595739481951558,0.0797869740975779,0.0
2026-06-30,2026,lambda_0.3,0.05585088186830456,0.055850881868304475,0.05585088186830452,0.11170176373660903,0.05585088186830452,0.0
2012-04-30,2012,asym_up0.1_down0.3,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-31,2012,asym_up0.1_down0.3,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-30,2012,asym_up0.1_down0.3,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-31,2012,asym_up0.1_down0.3,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-31,2012,asym_up0.1_down0.3,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.040000000000000036,0.020000000000000018,0.0
2012-09-30,2012,asym_up0.1_down0.3,0.018000000000000127,0.017999999999999933,0.01800000000000003,0.03600000000000006,0.01800000000000003,0.0
2012-10-31,2012,asym_up0.1_down0.3,0.01619999999999988,0.016200000000000075,0.01619999999999998,0.03239999999999996,0.01619999999999998,0.0
2012-11-30,2012,asym_up0.1_down0.3,0.016260000000000024,0.016260000000000052,0.01626000000000004,0.03252000000000008,0.01626000000000004,0.0
2012-12-31,2012,asym_up0.1_down0.3,0.016206000000000054,0.016205999999999998,0.016206000000000026,0.03241200000000005,0.016206000000000026,0.0
2013-01-31,2013,asym_up0.1_down0.3,0.01458539999999997,0.014585399999999998,0.014585399999999984,0.02917079999999997,0.014585399999999984,0.0
2013-02-28,2013,asym_up0.1_down0.3,0.013126859999999962,0.01312685999999999,0.013126859999999976,0.026253719999999953,0.013126859999999976,0.0
2013-03-31,2013,asym_up0.1_down0.3,0.011814173999999955,0.011814173999999955,0.011814173999999955,0.02362834799999991,0.011814173999999955,0.0
2013-04-30,2013,asym_up0.1_down0.3,0.028101730200000008,0.028101730199999952,0.02810173019999998,0.05620346039999996,0.02810173019999998,0.0
2013-05-31,2013,asym_up0.1_down0.3,0.019671211139999978,0.019671211140000033,0.019671211140000006,0.03934242228000001,0.019671211140000006,0.0
2013-06-30,2013,asym_up0.1_down0.3,0.015410050734000036,0.01541005073399998,0.015410050734000008,0.030820101468000016,0.015410050734000008,0.0
2013-07-31,2013,asym_up0.1_down0.3,0.16959821575454997,0.16959821575455003,0.16959821575455,0.3391964315091,0.16959821575455,0.0
2013-08-31,2013,asym_up0.1_down0.3,0.015427082990604968,0.015427082990605023,0.015427082990604996,0.03085416598120999,0.015427082990604996,0.0
2013-09-30,2013,asym_up0.1_down0.3,0.013884374691544576,0.013884374691544465,0.013884374691544521,0.027768749383089042,0.013884374691544521,0.0
2013-10-31,2013,asym_up0.1_down0.3,0.028673748889560202,0.028673748889560202,0.028673748889560202,0.057347497779120404,0.028673748889560202,0.0
2013-11-30,2013,asym_up0.1_down0.3,0.025806374000604204,0.02580637400060415,0.025806374000604176,0.05161274800120835,0.025806374000604176,0.0
2013-12-31,2013,asym_up0.1_down0.3,0.023225736600543778,0.023225736600543778,0.023225736600543778,0.046451473201087556,0.023225736600543778,0.0
2014-01-31,2014,asym_up0.1_down0.3,0.020903162940489384,0.020903162940489384,0.020903162940489384,0.04180632588097877,0.020903162940489384,0.0
2014-02-28,2014,asym_up0.1_down0.3,0.09356146006067861,0.09356146006067867,0.09356146006067864,0.18712292012135728,0.09356146006067864,0.0
2014-03-31,2014,asym_up0.1_down0.3,0.02816899265250833,0.02816899265250833,0.02816899265250833,0.05633798530501666,0.02816899265250833,0.0
2014-04-30,2014,asym_up0.1_down0.3,0.008981823179314341,0.008981823179314369,0.008981823179314355,0.01796364635862871,0.008981823179314355,0.0
2014-05-31,2014,asym_up0.1_down0.3,0.024816884048531773,0.024816884048531634,0.024816884048531704,0.04963376809706341,0.024816884048531704,0.0
2014-06-30,2014,asym_up0.1_down0.3,0.02233519564367853,0.022335195643678585,0.022335195643678557,0.044670391287357114,0.022335195643678557,0.0
2014-07-31,2014,asym_up0.1_down0.3,0.005597749097720206,0.005597749097720178,0.005597749097720192,0.011195498195440384,0.005597749097720192,0.0
2014-08-31,2014,asym_up0.1_down0.3,0.020091508471379638,0.020091508471379638,0.020091508471379638,0.040183016942759275,0.020091508471379638,0.0
2014-09-30,2014,asym_up0.1_down0.3,0.01785545743473499,0.017855457434735073,0.01785545743473503,0.03571091486947006,0.01785545743473503,0.0
2014-10-31,2014,asym_up0.1_down0.3,0.15652822878477796,0.15652822878477796,0.15652822878477796,0.3130564575695559,0.15652822878477796,0.0
2014-11-30,2014,asym_up0.1_down0.3,0.10956976014934461,0.10956976014934455,0.10956976014934458,0.21913952029868916,0.10956976014934458,0.0
2014-12-31,2014,asym_up0.1_down0.3,0.04484224866511488,0.04484224866511488,0.04484224866511488,0.08968449733022976,0.04484224866511488,0.0
2015-01-31,2015,asym_up0.1_down0.3,0.046896979710102704,0.046896979710102704,0.046896979710102704,0.09379395942020541,0.046896979710102704,0.0
2015-02-28,2015,asym_up0.1_down0.3,0.04325061665902241,0.04325061665902241,0.04325061665902241,0.08650123331804482,0.04325061665902241,0.0
2015-03-31,2015,asym_up0.1_down0.3,0.038925554993120115,0.03892555499312017,0.03892555499312014,0.07785110998624029,0.03892555499312014,0.0
2015-04-30,2015,asym_up0.1_down0.3,0.035032999493808115,0.03503299949380817,0.03503299949380814,0.07006599898761628,0.03503299949380814,0.0
2015-05-31,2015,asym_up0.1_down0.3,0.0315296995444273,0.0315296995444273,0.0315296995444273,0.0630593990888546,0.0315296995444273,0.0
2015-06-30,2015,asym_up0.1_down0.3,0.06486981123004631,0.06486981123004615,0.06486981123004623,0.12973962246009246,0.06486981123004623,0.0
2015-07-31,2015,asym_up0.1_down0.3,0.015907581749662947,0.015907581749662947,0.015907581749662947,0.031815163499325894,0.015907581749662947,0.0
2015-08-31,2015,asym_up0.1_down0.3,0.12204952927591006,0.12204952927591012,0.12204952927591009,0.24409905855182018,0.12204952927591009,0.0
2015-09-30,2015,asym_up0.1_down0.3,0.08543467049313702,0.08543467049313708,0.08543467049313705,0.1708693409862741,0.08543467049313705,0.0
2015-10-31,2015,asym_up0.1_down0.3,0.015065243551601382,0.015065243551601382,0.015065243551601382,0.030130487103202763,0.015065243551601382,0.0
2015-11-30,2015,asym_up0.1_down0.3,0.05184940678198541,0.05184940678198541,0.05184940678198541,0.10369881356397082,0.05184940678198541,0.0
