Date,cum_exposure_effect,cum_pure_timing_effect,cum_lambda_effect,cum_cost_effect,cum_total_excess_vs_ew
2017-12-31,-0.013167003666128937,0.020984493466360703,-0.012510481721758088,-0.0006229624327644061,-0.00531595435429073
2018-01-31,-0.014732983730333308,0.015711022139040003,-0.008799875120215286,-0.0006772154187003937,-0.008499052130208988
2018-02-28,-0.0113981888227431,0.017577937236878966,-0.007777003188820167,-0.0006842383285452024,-0.0022814931032295056
2018-03-31,-0.011725909888202673,0.017394469460916554,-0.007847367838500952,-0.0006891543654365686,-0.0028679626312236393
2018-04-30,-0.012986774733389824,0.01668860068006392,-0.008036871125698548,-0.0006925955912605249,-0.00502764077028498
2018-05-31,-0.01091726497690746,0.014619090923581556,-0.005559486382689969,-0.0007200044493372943,-0.0025776648853531696
2018-06-30,-0.008959204353052145,0.015715270161722777,-0.0060566750386539985,-0.0007258182486835557,-2.642747866692368e-05
2018-07-31,-0.00855468066993451,0.015941734274921113,-0.006128576392833325,-0.0007298879082259387,0.0005285893039273378
2018-08-31,-0.008602139292010374,0.015989192896996976,-0.0061744907145176026,-0.0007520391465462706,0.00046052374392272833
2018-09-30,-0.008886572248062559,0.01627362585304916,-0.006367114983183465,-0.000767545013370503,0.00025239360843263333
2018-10-31,-0.002264865259902972,0.009651918864889572,-0.0032280588114510286,-0.0007783991201474656,0.0033805956733881084
2018-11-30,-0.003695302320880895,0.008851118629897658,-0.0021408672262340223,-0.0007958012454035917,0.0022191478373791507
2018-12-31,-0.0024315071940164564,0.007587323503033219,-0.001433329926256772,-0.0008086197577243034,0.002913866625035689
2019-01-31,-0.0072533166094485655,0.004887934471316954,0.0019418617175058256,-0.0008246467990998053,-0.0012481672197255916
2019-02-28,-0.006779758726007693,0.004414376587876081,0.002226892050762333,-0.000838427870136954,-0.0009769179575062326
2019-03-31,-0.005438354569532423,0.003072972431400812,0.0027920576218253765,-0.0008480746198629581,-0.00042139913616919293
2019-04-30,-0.0068748540644635306,0.004509471926331919,0.0023683955678308116,-0.000854827344671161,-0.0008518139149719622
2019-05-31,-0.002715704446230807,0.0003503223080991956,0.0032270465547919913,-0.0008595542520369031,2.1101646234746203e-06
2019-06-30,-0.005523056898560125,-0.001221315175897131,0.0058866375464431955,-0.0008812454168808837,-0.0017389799448949482
2019-07-31,-0.0032124851404932322,-0.003531886933964024,0.006877235021079104,-0.0008910616014900972,-0.0007581986548682528
2019-08-31,-0.0014773510334011623,-0.0009366008763476816,0.004366666401993143,-0.0009241902722636477,0.0010285242199806455
2019-09-30,-0.004749509275206874,-0.0058308546568263085,0.007680810499264067,-0.0009473803418051331,-0.003846933774574256
2019-10-31,-0.005435756606662232,-0.006215035855205163,0.007717767432836186,-0.0009486133904841728,-0.00488163841951539
2019-11-30,-0.005397499581578453,-0.006253292880288941,0.007758097329767669,-0.0009727502564088451,-0.004865445388508579
2019-12-31,-0.009357339730549679,-0.0022934527313177152,0.004836020631268397,-0.0009896460625561157,-0.00780441789315512
2020-01-31,-0.007662446622756866,-0.0013446023162713122,0.0038608964553548176,-0.0010028189982530264,-0.006148971481926393
2020-02-29,-0.004371701312314043,0.0035774526352457293,0.00037974943724634414,-0.0010270400532408639,-0.0014415392930628391
2020-03-31,0.0017763838949893251,0.0070193293965993215,-0.00014513486093029027,-0.0010289947917323501,0.0076215836389259975
2020-04-30,-0.002903661261616529,-0.008740822669235773,0.009332640571158062,-0.0010753631086763906,-0.0033872064683706403
