Date,cum_saa_effect,cum_timing_effect,cum_lambda_effect,cum_cost_effect,cum_total_excess_vs_ew
2016-03-31,-0.04794643333333334,0.0022316000000000003,-0.0003124815591723992,-0.0030296736207034644,-0.04905698851320921
2016-04-30,-0.049119133333333335,0.0022316000000000003,0.0003801204671717484,-0.0031217628889622247,-0.04962917575512382
2016-05-31,-0.051613066666666665,0.0022316000000000003,0.001408651923878951,-0.003186225376743357,-0.05115904011953108
2016-06-30,-0.051570899999999996,0.0022316000000000003,0.0013610634547849983,-0.0032313491181901496,-0.05120958566340516
2016-07-31,-0.041203733333333326,-0.003349499999999999,0.0031798937699099522,-0.003266695733236083,-0.04464003529665947
2016-08-31,-0.03427883333333333,-0.003349499999999999,0.0013808330919868061,-0.003306806366545011,-0.03955430660789155
2016-09-30,-0.03371063333333333,-0.003349499999999999,0.0012955217271739823,-0.003334883809861261,-0.03909949541602062
2016-10-31,-0.035114799999999995,-0.0029927499999999993,0.0011870829128829742,-0.0033752295995398856,-0.04029569668665692
2016-11-30,-0.0358371,-0.003199949999999999,0.001316533418246331,-0.003403471652314923,-0.0411239882340686
2016-12-31,-0.023632599999999997,-0.009648699999999998,0.002789060261372921,-0.003423241089257449,-0.03391548082788454
2017-01-31,-0.011142666666666665,-0.009648699999999998,-0.0009531698818814297,-0.0034694024833976807,-0.025213939031945787
2017-02-28,-0.009931366666666665,-0.009648699999999998,-0.0011995244758492567,-0.003501715459295843,-0.024281306601811777
2017-03-31,0.005185866666666667,-0.009648699999999998,-0.0033468871052900187,-0.0035243345424245563,-0.01133405498104792
2017-04-30,0.013607033333333334,-0.009648699999999998,-0.004201433523286342,-0.0035401679006146556,-0.0037832680905676794
2017-05-31,0.03651153333333333,-0.009648699999999998,-0.0058081662058685245,-0.0035512512513477252,0.01750341587611707
2017-06-30,0.04521343333333333,-0.009648699999999998,-0.00624619319782719,-0.003559009596860874,0.025759530538645256
2017-07-31,0.04750773333333333,-0.009648699999999998,-0.006326194807665066,-0.003564440438720078,0.027968398086948176
2017-08-31,0.039616233333333334,-0.0053614,-0.009137084565694424,-0.003620638849418635,0.021497109918220264
2017-09-30,0.050322266666666664,-0.0252888,0.003343568826571523,-0.003809977736907625,0.024567057756330557
2017-10-31,0.07090276666666666,-0.03698875,0.0015085912185308385,-0.003852660071120694,0.0315699478140768
2017-11-30,0.060946633333333326,-0.03698875,0.006091067057584887,-0.003924884016251089,0.026124066374667118
2017-12-31,0.0632991,-0.04136345,0.008395178026844625,-0.004084327254659813,0.0262465007721848
2018-01-31,0.073771,-0.06048795,0.015400884411354957,-0.00419593752154592,0.024487996889809027
2018-02-28,0.0510255,-0.029320950000000002,0.01255199601219991,-0.004246257736810752,0.030010288275389145
2018-03-31,0.053392633333333335,-0.034230250000000004,0.013860279521245949,-0.004328722616899561,0.028693940237679707
2018-04-30,0.062063,-0.05083315000000001,0.016686994368513845,-0.004386448032961727,0.023530396335552102
2018-05-31,0.0478381,-0.04303115000000001,0.02697391979981328,-0.004511040241718211,0.027269829558095055
2018-06-30,0.034560433333333335,-0.01814945000000001,0.021299496866681446,-0.004588825695588672,0.0331216545044261
2018-07-31,0.0318214,-0.013050050000000011,0.020491852024485877,-0.004643275513297995,0.03461992651118787
2018-08-31,0.03243033333333333,-0.013249850000000011,0.019582918371773148,-0.004740160640901468,0.034023241064205005
2018-09-30,0.03431116666666666,-0.013249850000000011,0.01779033789895348,-0.004894673849119915,0.033956980716500225
2018-10-31,-0.011016333333333336,0.011674299999999981,0.03148043496119615,-0.004958647561645617,0.027179754066217206
