checkpoint,phat_pct,se_pct,ci_low_pct,ci_high_pct,gap_to_final_pct_points,final_phat_pct,metric,display_name
800,37.625,1.7127679991026223,34.26797472175886,40.98202527824114,-0.17500000000000293,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
900,37.77777777777778,1.6161054984645502,34.61021100078726,40.94534455476829,-0.022222222222223476,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
1000,37.8,1.5333492752794453,34.79463542045229,40.805364579547714,0.0,37.8,avg_annual_turnover_pct,평균 연환산 Turnover
100,60.0,4.898979485566356,50.398000208289936,69.60199979171006,5.299999999999994,54.7,net10_win_rate_pct,Net10bp 월 승률
200,58.5,3.484070894801081,51.67122104618988,65.32877895381012,3.7999999999999923,54.7,net10_win_rate_pct,Net10bp 월 승률
300,56.666666666666664,2.8609762643519407,51.05915318853687,62.27418014479647,1.966666666666661,54.7,net10_win_rate_pct,Net10bp 월 승률
400,55.25,2.486180554585688,50.37708611301205,60.12291388698795,0.5499999999999949,54.7,net10_win_rate_pct,Net10bp 월 승률
500,55.60000000000001,2.2219990999098087,51.244881764176775,59.955118235823235,0.9000000000000008,54.7,net10_win_rate_pct,Net10bp 월 승률
600,56.49999999999999,2.0239194648009096,52.53311784899021,60.466882151009784,1.7999999999999905,54.7,net10_win_rate_pct,Net10bp 월 승률
700,56.14285714285714,1.8755057626915501,52.4668658479817,59.818848437732576,1.4428571428571346,54.7,net10_win_rate_pct,Net10bp 월 승률
800,55.50000000000001,1.757039413331414,52.05620274987043,58.943797250129585,0.8000000000000007,54.7,net10_win_rate_pct,Net10bp 월 승률
900,55.111111111111114,1.6579359802711444,51.86155658977967,58.360665632442554,0.41111111111110654,54.7,net10_win_rate_pct,Net10bp 월 승률
1000,54.7,1.5741378592740853,51.6146897958228,57.78531020417721,0.0,54.7,net10_win_rate_pct,Net10bp 월 승률
