method,strategy,signal_date,Date,hsi_state5,state_name_kr,action,069500_weight,114260_weight,153130_weight
rank,EW,2016-09-30,2016-10-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-09-30,2016-10-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-10-31,2016-11-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-10-31,2016-11-30,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-11-30,2016-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-11-30,2016-12-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2016-12-31,2017-01-31,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2016-12-31,2017-01-31,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2017-01-31,2017-02-28,conflict,충돌 상태,소폭 방어,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-01-31,2017-02-28,conflict,충돌 상태,소폭 방어,0.25,0.375,0.375
rank,EW,2017-02-28,2017-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-02-28,2017-03-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2017-03-31,2017-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-03-31,2017-04-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2017-04-30,2017-05-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-04-30,2017-05-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2017-05-31,2017-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-05-31,2017-06-30,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2017-06-30,2017-07-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,HSI_state5_overlay,2017-06-30,2017-07-31,risk_relief,위험 완화 우세,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
rank,EW,2017-07-31,2017-08-31,neutral_watch,관찰·중립,기본 동일비중 유지,0.3333333333333333,0.3333333333333333,0.3333333333333333
