year,strategy,annual_buy_turnover_pct,annual_sell_turnover_pct,annual_oneway_turnover_pct,annual_double_sided_turnover_pct,max_monthly_oneway_turnover_pct,annual_backtest_turnover_pct,max_abs_turnover_diff
2014,lambda_0.3,84.7053964997303,84.70539649973033,84.7053964997303,169.4107929994606,17.54836096421215,84.7053964997303,0.0
2015,lambda_0.3,96.82087468175433,96.82087468175433,96.82087468175433,193.64174936350867,15.153356061805306,96.82087468175433,0.0
2016,lambda_0.3,70.65625854267165,70.65625854267165,70.65625854267165,141.3125170853433,13.155609489084572,70.65625854267165,0.0
2017,lambda_0.3,66.10861651822935,66.10861651822935,66.10861651822934,132.21723303645868,18.93388874932591,66.10861651822934,0.0
2018,lambda_0.3,107.53858273571646,107.53858273571646,107.53858273571646,215.07716547143292,15.451320821838793,107.53858273571646,0.0
2019,lambda_0.3,81.76134010083184,81.76134010083184,81.76134010083184,163.5226802016637,12.104081031924597,81.76134010083184,0.0
2020,lambda_0.3,95.23953047197902,95.23953047197902,95.23953047197902,190.47906094395805,17.819485684369198,95.23953047197902,0.0
2021,lambda_0.3,69.47788428497022,69.47788428497022,69.47788428497022,138.95576856994043,14.059625494346829,69.47788428497022,0.0
2022,lambda_0.3,125.98412740192661,125.98412740192657,125.98412740192657,251.96825480385314,15.047808745356377,125.98412740192657,0.0
2023,lambda_0.3,66.09591092246794,66.09591092246794,66.09591092246794,132.19182184493587,15.400493205992138,66.09591092246794,0.0
2024,lambda_0.3,99.42864513274513,99.42864513274515,99.42864513274515,198.8572902654903,15.119470674691026,99.42864513274515,0.0
2025,lambda_0.3,87.31856454792924,87.31856454792924,87.31856454792924,174.63712909585848,20.011915215340103,87.31856454792924,0.0
2026,lambda_0.3,47.477380414675025,47.47738041467501,47.47738041467502,94.95476082935004,18.60186084320316,47.47738041467502,0.0
2012,asym_up0.1_down0.3,8.66660000000001,8.666600000000008,8.66660000000001,17.33320000000002,2.0000000000000018,8.66660000000001,0.0
2013,asym_up0.1_down0.3,37.932495900140765,37.93249590014076,37.93249590014076,75.86499180028152,16.959821575455,37.93249590014076,0.0
2014,asym_up0.1_down0.3,55.32524711282733,55.32524711282733,55.32524711282733,110.65049422565465,15.652822878477796,55.32524711282733,0.0
2015,asym_up0.1_down0.3,58.992723700185444,58.992723700185444,58.992723700185444,117.98544740037089,12.204952927591009,58.992723700185444,0.0
2016,asym_up0.1_down0.3,42.07261251414668,42.072612514146684,42.07261251414669,84.14522502829338,9.266161864685346,42.07261251414669,0.0
