period,strategy_name,months,start_month,end_month,final_cumulative_return,CAGR_pct,annual_volatility_pct,MDD_pct,abs_MDD_pct,Sharpe,Calmar,WinRate_pct,avg_monthly_return_pct,median_monthly_return_pct,best_month_pct,worst_month_pct,avg_turnover_pct,max_turnover_pct
2020-2022,Fixed 70/20/10 BM,36,2020-01,2022-12,1.0575937856940008,1.938995979488034,15.99246873547894,-25.674223780608884,25.674223780608884,0.1946560003643345,0.0755230614197774,55.55555555555556,0.2594191666666665,0.73054,10.53234,-9.26726,0.0,0.0
2020-2022,EW Benchmark,36,2020-01,2022-12,1.041791067991057,1.4140214920765892,7.90182212758484,-13.571143569546951,13.571143569546951,0.2112410102300125,0.1041932453835055,58.333333333333336,0.139099074074074,0.3320333333333333,4.991633333333335,-4.7186,0.0,0.0
2020-2022,HSI baseline,36,2020-01,2022-12,1.0432700655102307,1.4633755649380742,12.496114680126857,-23.45941826976841,23.45941826976841,0.1741746712782706,0.0623790218542584,63.888888888888886,0.1813755555555555,0.1868449999999999,9.729499999999998,-9.26726,21.666666666666668,70.0
2020-2022,Lambda 0.1,36,2020-01,2022-12,1.0905001345111354,3.0158459721385755,9.695810182514956,-14.744180174515332,14.744180174515332,0.344894203698842,0.2045448398244164,58.333333333333336,0.2786690610094682,0.4355455658118043,7.502141772856799,-4.881407382670741,2.9059512617348484,5.068614515762783
2020-2022,Lambda 0.3,36,2020-01,2022-12,1.1074299380609407,3.5615649704212826,10.542818436589927,-15.219711332556985,15.219711332556985,0.3736912596152352,0.2340100211232404,58.333333333333336,0.3283132584553345,0.364436302522905,8.7456411522748,-6.379815898336575,8.07504283774655,17.819485684369198
2023-2026,Fixed 70/20/10 BM,42,2023-01,2026-06,3.332006334097009,42.30657293624165,26.02746888471817,-14.130219999999982,14.130219999999982,1.458391303965833,2.994049132727,59.523809523809526,3.16318619047619,1.2249550000000002,24.48107,-14.13022,0.0,0.0
2023-2026,EW Benchmark,42,2023-01,2026-06,1.9219048605614557,21.1079378176106,12.480675714298252,-6.984999999999997,6.984999999999997,1.5660316621272208,3.0218951778970093,61.90476190476191,1.628761111111111,0.8356333333333332,11.7063,-6.984999999999999,0.0,0.0
2023-2026,HSI baseline,42,2023-01,2026-06,2.458700039417109,30.175921084099052,22.54662015267565,-14.130219999999994,14.130219999999994,1.254856120080451,2.13555918337429,69.04761904761905,2.3577303571428567,0.653945,24.48107,-14.13022,21.428571428571423,70.0
2023-2026,Lambda 0.1,42,2023-01,2026-06,2.371138669849366,28.799491081988627,18.528042120609893,-10.9106442775065,10.9106442775065,1.431002815593056,2.6395774941872103,59.523809523809526,2.209473370168291,0.9708745709347196,17.657112120639585,-10.9106442775065,2.711008275005518,5.358646829370604
2023-2026,Lambda 0.3,42,2023-01,2026-06,2.505145563254163,30.892003294714108,19.754086908376696,-12.552501831151808,12.552501831151808,1.4347262891993606,2.461023603920039,59.523809523809526,2.361808983881414,0.9115738638786952,17.99928272884474,-12.552501831151805,7.150488119471843,20.011915215340103
