method,strategy,Date,hsi_state5,069500_weight,069500_daily_return,069500_contribution,069500_cum_return,114260_weight,114260_daily_return,114260_contribution,114260_cum_return,153130_weight,153130_daily_return,153130_contribution,153130_cum_return,strategy_daily_return
rank,HSI_state5_overlay,2016-10-27,neutral_watch,0.3333333333333333,0.004474698909887165,0.0014915663032957216,1.0285644650255907,0.3333333333333333,0.00016882386043892694,5.6274620146308976e-05,1.0937006420381123,0.3333333333333333,0.00010553310045691155,3.517770015230385e-05,1.0488180087653323,0.0015830186235943344
rank,HSI_state5_overlay,2016-10-28,neutral_watch,0.3333333333333333,0.0007108667835646898,0.00023695559452156326,1.0292956373385325,0.3333333333333333,-0.0008814868996043224,-0.0002938289665347741,1.0927365592500669,0.3333333333333333,0.0,0.0,1.0488180087653323,-5.687337201321083e-05
rank,HSI_state5_overlay,2016-10-31,neutral_watch,0.3333333333333333,-0.002178442886910381,-0.000726147628970127,1.0270533755788445,0.3333333333333333,0.0006382339690644834,0.00021274465635482778,1.0934339808414189,0.3333333333333333,8.44175715175588e-05,2.813919050585293e-05,1.0489065474345962,-0.00048526378210944626
rank,HSI_state5_overlay,2016-11-01,neutral_watch,0.3333333333333333,0.00047460844803026703,0.000158202816010089,1.0275408237874721,0.3333333333333333,-0.0005440288147675609,-0.00018134293825585363,1.0928391212487951,0.3333333333333333,0.0,0.0,1.0489065474345962,-2.3140122245764617e-05
rank,HSI_state5_overlay,2016-11-02,neutral_watch,0.3333333333333333,-0.013045540796963961,-0.004348513598987987,1.0141359980502067,0.3333333333333333,0.0008821818045310348,0.0002940606015103449,1.0938032040368404,0.3333333333333333,0.00014771828013726562,4.9239426712421874e-05,1.049061490105808,-0.00400521357076522
rank,HSI_state5_overlay,2016-11-03,neutral_watch,0.3333333333333333,0.0034607065609228993,0.0011535688536409663,1.0176456251523271,0.3333333333333333,-0.00026254594554042665,-8.751531518014222e-05,1.0935160304404015,0.3333333333333333,8.43979786684379e-05,2.8132659556145967e-05,1.0491500287750717,0.00109418619801697
rank,HSI_state5_overlay,2016-11-04,neutral_watch,0.3333333333333333,-0.0035924701824975314,-0.0011974900608325103,1.0139897635876183,0.3333333333333333,-0.00016882386043892694,-5.6274620146308976e-05,1.0933314188426906,0.3333333333333333,-3.164657109400171e-05,-1.0548857031333903e-05,1.0491168267740978,-0.0012643135380101531
rank,HSI_state5_overlay,2016-11-07,neutral_watch,0.3333333333333333,0.009662532448803107,0.0032208441496010356,1.0237874725810379,0.3333333333333333,-9.380687041515845e-05,-3.1268956805052817e-05,1.0932288568439623,0.3333333333333333,0.0,0.0,1.0491168267740978,0.003189575192795983
rank,HSI_state5_overlay,2016-11-08,neutral_watch,0.3333333333333333,0.0021425510641337464,0.0007141836880445821,1.025980989519863,0.3333333333333333,9.381567096977683e-05,3.1271890323258944e-05,1.0933314188426906,0.3333333333333333,3.1647572631188226e-05,1.0549190877062742e-05,1.0491500287750717,0.0007560047692449038
rank,HSI_state5_overlay,2016-11-09,neutral_watch,0.3333333333333333,-0.020477004941087062,-0.0068256683136956875,1.0049719717280035,0.3333333333333333,0.0004315116039099731,0.00014383720130332436,1.0938032040368406,0.3333333333333333,5.2744285156780535e-05,1.758142838559351e-05,1.0492053654433617,-0.006664249684006769
