return_month,tail_event_type,hsi_state,strategy_name,ret_069500,strategy_return,turnover,weight_069500,weight_114260,weight_153130,ret_069500_pct,strategy_return_pct,turnover_pct
2022-01,069500_bottom_10pct,neutral_watch,HSI baseline,-0.089301,-0.047695549999999996,0.55,0.5,0.35,0.15,-8.930100000000001,-4.7695549999999995,55.00000000000001
2022-06,069500_bottom_10pct,risk_relief,HSI baseline,-0.128809,-0.09267260000000001,0.19999999999999996,0.7,0.2,0.1,-12.8809,-9.26726,19.999999999999996
2022-09,069500_bottom_10pct,risk_relief,HSI baseline,-0.122712,-0.0878704,0.0,0.7,0.2,0.1,-12.2712,-8.78704,0.0
2022-12,069500_bottom_10pct,risk_relief,HSI baseline,-0.077319,-0.0541315,0.0,0.7,0.2,0.1,-7.7318999999999996,-5.41315,0.0
2023-10,069500_bottom_10pct,risk_warning,HSI baseline,-0.064364,-0.013362300000000002,0.5,0.2,0.45,0.35,-6.436400000000001,-1.3362300000000003,50.0
2024-01,069500_bottom_10pct,risk_relief,HSI baseline,-0.062085,-0.0432374,0.0,0.7,0.2,0.1,-6.2085,-4.32374,0.0
2024-08,069500_bottom_10pct,neutral_watch,HSI baseline,-0.047869,-0.021991700000000003,0.19999999999999996,0.5,0.35,0.15,-4.7869,-2.1991700000000005,19.999999999999996
2024-09,069500_bottom_10pct,accident_zone,HSI baseline,-0.043526,0.0038024999999999995,0.55,0.0,0.3,0.7,-4.3526,0.3802499999999999,55.00000000000001
2026-03,069500_bottom_10pct,risk_relief,HSI baseline,-0.198576,-0.1413022,0.0,0.7,0.2,0.1,-19.8576,-14.13022,0.0
2012-05,069500_bottom_10pct,insufficient_data,Lambda 0.1,-0.077546,-0.036040050000000004,0.0,0.5,0.35,0.15,-7.7546,-3.6040050000000003,0.0
2012-10,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.04599,-0.024274063150000004,0.01619999999999998,0.5542,0.30934999999999996,0.13645,-4.599,-2.4274063150000003,1.6199999999999979
2013-06,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.075186,-0.04516784232722989,0.011836450802000006,0.5934719427820001,0.27989604291349995,0.1266320143045,-7.5186,-4.516784232722989,1.1836450802000007
2015-08,069500_bottom_10pct,accident_zone,Lambda 0.1,-0.04711,-0.02047007823729487,0.05091238298120225,0.45821144683082027,0.286526249751232,0.2552623034179478,-4.711,-2.047007823729487,5.091238298120225
2018-02,069500_bottom_10pct,risk_warning,Lambda 0.1,-0.059784,-0.023865507476475884,0.02485560467099418,0.42370044203894763,0.2860808204945227,0.29021873746652965,-5.9784,-2.3865507476475885,2.4855604670994182
2018-10,069500_bottom_10pct,neutral_watch,Lambda 0.1,-0.121297,-0.04117658481862578,0.021741739245215497,0.3532636471602725,0.30106069963278803,0.3456756532069395,-12.1297,-4.117658481862578,2.1741739245215497
2019-05,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.07475,-0.03207863249972954,0.027517621408949783,0.45234140731945216,0.27891127934619364,0.26874731333435425,-7.475,-3.207863249972954,2.751762140894978
2020-02,069500_bottom_10pct,accident_zone,Lambda 0.1,-0.058029,-0.02449158880153912,0.05068614515762783,0.4561753064186504,0.28621739168191795,0.25760730189943176,-5.802899999999999,-2.449158880153912,5.068614515762783
2020-03,069500_bottom_10pct,accident_zone,Lambda 0.1,-0.114196,-0.046365785198980596,0.04561753064186502,0.41055777577678537,0.28759565251372615,0.3018465717094886,-11.4196,-4.63657851989806,4.561753064186503
2022-01,069500_bottom_10pct,neutral_watch,Lambda 0.1,-0.089301,-0.029717129081986714,0.026119054605603376,0.303833736782812,0.31109477176675776,0.3850714914504303,-8.930100000000001,-2.9717129081986715,2.6119054605603376
2022-06,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.128809,-0.04705313584453926,0.04056546852967968,0.3349107832328826,0.30510135178055287,0.3599878649865646,-12.8809,-4.7053135844539264,4.056546852967968
2022-09,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.122712,-0.0488140738267074,0.03587222655813649,0.3771499609767714,0.28471888544802304,0.3381311535752056,-12.2712,-4.881407382670741,3.587222655813649
2022-12,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.077319,-0.031004437156778968,0.03245085316088153,0.40794232155206633,0.2698600674916088,0.3221976109563249,-7.7318999999999996,-3.100443715677897,3.2450853160881534
2023-10,069500_bottom_10pct,risk_warning,Lambda 0.1,-0.064364,-0.0340302618261576,0.03602415271994966,0.5242173744795471,0.26732000669325484,0.20846261882719797,-6.436400000000001,-3.40302618261576,3.602415271994966
2024-01,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.062085,-0.031377441539063945,0.02053839266715668,0.5151544659955899,0.2571762848793828,0.22766924912502734,-6.2085,-3.1377441539063944,2.053839266715668
2024-08,069500_bottom_10pct,neutral_watch,Lambda 0.1,-0.047869,-0.02146070952360729,0.00753609234242536,0.48806690410684606,0.2941082648113257,0.2178248310818283,-4.7869,-2.146070952360729,0.753609234242536
2024-09,069500_bottom_10pct,accident_zone,Lambda 0.1,-0.043526,-0.016753679721918744,0.048806690410684625,0.4392602136961614,0.29469743833019313,0.26604234797364545,-4.3526,-1.6753679721918744,4.8806690410684626
2026-03,069500_bottom_10pct,risk_relief,Lambda 0.1,-0.198576,-0.10910644277506498,0.018237257451437755,0.5358646829370604,0.2435446849850565,0.22059063207788326,-19.8576,-10.9106442775065,1.8237257451437756
2012-05,069500_bottom_10pct,insufficient_data,Lambda 0.3,-0.077546,-0.036040050000000004,0.0,0.5,0.35,0.15,-7.7546,-3.6040050000000003,0.0
2012-10,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.04599,-0.028036656050000008,0.029400000000000023,0.6314000000000001,0.25145000000000006,0.11715000000000002,-4.599,-2.803665605000001,2.940000000000002
2013-06,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.075186,-0.04709739371280217,0.03441253349399996,0.6197040885139999,0.26022193361449997,0.12007397787149998,-7.5186,-4.709739371280217,3.441253349399996
2015-08,069500_bottom_10pct,accident_zone,Lambda 0.3,-0.04711,-0.014999934716104018,0.15153356061805306,0.3454656112434513,0.30811269686533915,0.3464216918912095,-4.711,-1.4999934716104018,15.153356061805306
2018-02,069500_bottom_10pct,risk_warning,Lambda 0.3,-0.059784,-0.012655388399257199,0.050320215264760604,0.24229676924898153,0.33258616438222527,0.42511706636879326,-5.9784,-1.26553883992572,5.03202152647606
2018-10,069500_bottom_10pct,neutral_watch,Lambda 0.3,-0.121297,-0.04536125293776916,0.06397371252565665,0.387628426576633,0.31309957753016815,0.29927199589319886,-12.1297,-4.536125293776916,6.397371252565664
2019-05,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.07475,-0.04375173144134379,0.04137027097250569,0.6034693677308199,0.23841435653779275,0.15811627573138728,-7.475,-4.375173144134379,4.137027097250569
2020-02,069500_bottom_10pct,accident_zone,Lambda 0.3,-0.058029,-0.022148950692677107,0.17819485684369196,0.415787999301948,0.275823213596884,0.308388787101168,-5.802899999999999,-2.2148950692677105,17.819485684369198
2020-03,069500_bottom_10pct,accident_zone,Lambda 0.3,-0.114196,-0.032505705974582785,0.12473639979058437,0.2910515995113636,0.2830762495178188,0.4258721509708176,-11.4196,-3.2505705974582786,12.473639979058436
2022-01,069500_bottom_10pct,neutral_watch,Lambda 0.3,-0.089301,-0.020212219626686918,0.14136998743165125,0.19667851232354083,0.32345818366927287,0.4798633040071863,-8.930100000000001,-2.0212219626686916,14.136998743165124
2022-06,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.128809,-0.0580180033183087,0.11933324675733534,0.42155575756621744,0.2917926169292947,0.28665162550448786,-12.8809,-5.8018003318308695,11.933324675733534
2022-09,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.122712,-0.06379815898336574,0.08503130363776605,0.5015936248452126,0.2461848676067481,0.25222150754803935,-12.2712,-6.379815898336575,8.503130363776606
2022-12,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.077319,-0.04054839364795169,0.07326573714775375,0.5290466133219079,0.2305414095891146,0.24041197708897752,-7.7318999999999996,-4.054839364795169,7.326573714775375
2023-10,069500_bottom_10pct,risk_warning,Lambda 0.3,-0.064364,-0.03347285150865135,0.13429276008560193,0.5133497735330713,0.2997286315428497,0.18692159492407914,-6.436400000000001,-3.347285150865135,13.429276008560192
2024-01,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.062085,-0.03251731529031335,0.0715375832906385,0.5330789723218434,0.24890692061919745,0.21801410705895913,-6.2085,-3.2517315290313347,7.15375832906385
2024-08,069500_bottom_10pct,neutral_watch,Lambda 0.3,-0.047869,-0.021201244337797392,0.01972184750441383,0.4836559856102848,0.32032637021274957,0.19601764417696563,-4.7869,-2.1201244337797394,1.9721847504413832
2024-09,069500_bottom_10pct,accident_zone,Lambda 0.3,-0.043526,-0.012007354601714985,0.15119470674691027,0.33855918992719936,0.3142284591489247,0.3472123509238759,-4.3526,-1.2007354601714986,15.119470674691026
2026-03,069500_bottom_10pct,risk_relief,Lambda 0.3,-0.198576,-0.12552501831151805,0.034259130811383445,0.620062028106772,0.21377518646809945,0.1661627854251286,-19.8576,-12.552501831151805,3.4259130811383445
