strategy,window_start,window_end,months,cumulative_return_pct,cagr_pct,vol_pct,mdd_pct,sharpe,negative_cum_return
dynamic_v1_macro,2016-02-29,2019-01-31,36,24.55525935122649,7.593827395900532,5.292766893343619,-4.938374966054393,1.412728347447041,False
dynamic_v1_macro,2016-03-31,2019-02-28,36,23.26473041590036,7.220939934607995,5.310620628810363,-4.93837496605436,1.3423812818826037,False
dynamic_v1_macro,2016-04-30,2019-03-31,36,20.278623100384287,6.348038131416378,5.303750591911811,-4.9383749660543375,1.1890723851497393,False
dynamic_v1_macro,2016-05-31,2019-04-30,36,21.804388957251497,6.795834210409657,5.307384571766278,-4.938374966054382,1.2678917241753342,False
dynamic_v1_macro,2016-06-30,2019-05-31,36,18.348939788824083,5.776239683506201,5.700005164874885,-4.9383749660543375,1.0151439514953224,False
dynamic_v1_macro,2016-07-31,2019-06-30,36,20.70090861935181,6.472351663885378,5.812557866529357,-4.93837496605436,1.109976108033899,False
dynamic_v1_macro,2016-08-31,2019-07-31,36,16.948933149193056,5.35749142155082,5.892287204419029,-4.938374966054349,0.9162172074266628,False
dynamic_v1_macro,2016-09-30,2019-08-31,36,14.354972810072852,4.572707292888878,5.955783719345841,-4.93837496605436,0.7810071587989512,False
dynamic_v1_macro,2016-10-31,2019-09-30,36,16.873936387712753,5.334965463550145,6.076235964804599,-4.938374966054349,0.8866922194149146,False
dynamic_v1_macro,2016-11-30,2019-10-31,36,17.827996421284364,5.6208109444111365,6.054013520355571,-4.93837496605436,0.9347000674698558,False
dynamic_v1_macro,2016-12-31,2019-11-30,36,18.618646453921283,5.8565302574468125,6.030101894851503,-4.93837496605436,0.9753197671590285,False
dynamic_v1_macro,2017-01-31,2019-12-31,36,20.65380908139003,6.458500757391739,6.2792445472698795,-4.93837496605436,1.0296941303301508,False
dynamic_v1_macro,2017-02-28,2020-01-31,36,16.47147991383553,5.213919108476328,6.30817779388626,-4.9383749660543375,0.8379386304118644,False
dynamic_v1_macro,2017-03-31,2020-02-29,36,13.78716579840933,4.399341669246426,6.460375226374332,-4.938374966054393,0.6988802421209995,False
dynamic_v1_macro,2017-04-30,2020-03-31,36,7.304033752168171,2.377695487450171,6.550310895724334,-6.205102434749088,0.39083096712314525,False
dynamic_v1_macro,2017-05-31,2020-04-30,36,7.971420617563374,2.5895059917314667,6.6080345778815825,-6.205102434749065,0.4193109201728019,False
dynamic_v1_macro,2017-06-30,2020-05-31,36,4.614350851353044,1.5150473461115865,6.148250831869376,-6.205102434749088,0.27460857658376603,False
dynamic_v1_macro,2017-07-31,2020-06-30,36,4.326640279010174,1.4218996147093321,6.126366099265997,-6.205102434749099,0.26037476631545386,False
dynamic_v1_macro,2017-08-31,2020-07-31,36,6.190446538369021,2.022309146385859,6.254796304972595,-6.205102434749065,0.3507601865040666,False
dynamic_v1_macro,2017-09-30,2020-08-31,36,8.516909509573022,2.7619820575266685,6.205368525210099,-6.205102434749088,0.4697284871190296,False
dynamic_v1_macro,2017-10-31,2020-09-30,36,7.401076301362819,2.4085486273169865,6.155796404026545,-6.205102434749077,0.4169372654735868,False
dynamic_v1_macro,2017-11-30,2020-10-31,36,3.077413572676435,1.0154580701446037,6.005234865637596,-6.205102434749088,0.19751745748735094,False
dynamic_v1_macro,2017-12-31,2020-11-30,36,11.406156056832838,3.6660131624394854,6.99447175918277,-6.205102434749099,0.5491888366249305,False
dynamic_v1_macro,2018-01-31,2020-12-31,36,18.13281341496218,5.711811658447963,7.836684317719178,-6.205102434749088,0.7479660719652675,False
dynamic_v1_macro,2018-02-28,2021-01-31,36,19.658899166330144,6.1650742205013875,7.890510957803423,-6.205102434749077,0.7978756846486537,False
dynamic_v1_macro,2018-03-31,2021-02-28,36,22.251877156060473,6.926457502261885,7.805761772334696,-6.205102434749077,0.897760018979646,False
dynamic_v1_macro,2018-04-30,2021-03-31,36,22.46088833596844,6.987359363860035,7.8048063327882184,-6.205102434749088,0.9051990256478996,False
dynamic_v1_macro,2018-05-31,2021-04-30,36,22.812848518283204,7.089757427334886,7.807688316552739,-6.205102434749077,0.9172179267121524,False
dynamic_v1_macro,2018-06-30,2021-05-31,36,24.357867225372676,7.536959990050374,7.765163256007569,-6.205102434749088,0.9758207667947518,False
dynamic_v1_macro,2018-07-31,2021-06-30,36,26.135369403422605,8.046895901406238,7.744578360091342,-6.205102434749077,1.0396961841146921,False
dynamic_v1_macro,2018-08-31,2021-07-31,36,24.59150916461197,7.604264203565858,7.808976135839001,-6.205102434749099,0.9788372503166601,False
dynamic_v1_macro,2018-09-30,2021-08-31,36,23.76277657028847,7.365153168833749,7.825934553359959,-6.205102434749077,0.9482763723091314,False
dynamic_v1_macro,2018-10-31,2021-09-30,36,22.217473491270834,6.9164262803316,7.882473029911265,-6.205102434749088,0.8885729994727507,False
dynamic_v1_macro,2018-11-30,2021-10-31,36,25.824556263322584,7.958075938379716,7.49928916778013,-6.205102434749077,1.0601428114015974,False
dynamic_v1_macro,2018-12-31,2021-11-30,36,24.24416715228692,7.504176409522212,7.514385324273519,-6.205102434749088,1.0017288610759068,False
dynamic_v1_macro,2019-01-31,2021-12-31,36,26.33205074879117,8.10302547376378,7.488047162742784,-6.205102434749088,1.0796625072694577,False
dynamic_v1_macro,2019-02-28,2022-01-31,36,19.59772949297085,6.146980595304008,7.59038284779987,-6.205102434749088,0.8241484954160534,False
dynamic_v1_macro,2019-03-31,2022-02-28,36,20.164009571526886,6.314247705810061,7.580349177566208,-6.205102434749088,0.8460231089975774,False
dynamic_v1_macro,2019-04-30,2022-03-31,36,20.90419296260666,6.532091679272134,7.556295269039912,-6.205102434749077,0.8757177235282733,False
dynamic_v1_macro,2019-05-31,2022-04-30,36,18.360213636554377,5.779598303527167,7.591514259626517,-6.205102434749088,0.7781370435300115,False
dynamic_v1_macro,2019-06-30,2022-05-31,36,22.226279342456312,6.918994018810265,7.288938801754361,-6.205102434749088,0.9551518155804206,False
dynamic_v1_macro,2019-07-31,2022-06-30,36,14.104546493242175,4.496316802257216,7.734811283817283,-9.740686286341493,0.6067024915154737,False
dynamic_v1_macro,2019-08-31,2022-07-31,36,18.190415845965635,5.728990819504265,7.7044981990340755,-9.740686286341516,0.7616627523290873,False
dynamic_v1_macro,2019-09-30,2022-08-31,36,18.849122855121237,5.92504575781112,7.669799727574743,-9.740686286341493,0.7890416734369612,False
dynamic_v1_macro,2019-10-31,2022-09-30,36,10.599797343282159,3.4152954560310755,8.12753747151841,-12.755549064032568,0.45287440590203665,False
dynamic_v1_macro,2019-11-30,2022-10-31,36,12.674193337326912,4.05784298836942,8.205910789731387,-12.755549064032557,0.5250293711492608,False
dynamic_v1_macro,2019-12-31,2022-11-30,36,16.029108969325257,5.08054559573432,8.363277794537364,-12.755549064032545,0.6340432169134746,False
dynamic_v1_macro,2020-01-31,2022-12-31,36,8.299555426195514,2.693327118257405,8.32512739871341,-12.755549064032557,0.3597021218963864,False
dynamic_v1_macro,2020-02-29,2023-01-31,36,14.412844350013598,4.590344663236978,8.556791212235511,-12.755549064032568,0.5667141660973649,False
dynamic_v1_macro,2020-03-31,2023-02-28,36,16.048549358362063,5.086413929483458,8.46100430007355,-12.755549064032557,0.6283416050131847,False
dynamic_v1_macro,2020-04-30,2023-03-31,36,21.6750537951768,6.758021264743674,8.251720507804169,-12.755549064032545,0.834396411261621,False
dynamic_v1_macro,2020-05-31,2023-04-30,36,19.777257644542303,6.20006645257134,8.189115361870414,-12.755549064032545,0.7758336128607752,False
dynamic_v1_macro,2020-06-30,2023-05-31,36,20.811067503387616,6.5047328315830155,8.228920768297519,-12.755549064032557,0.8074613421699935,False
dynamic_v1_macro,2020-07-31,2023-06-30,36,19.060357495887015,5.987763360177389,8.220962445000895,-12.755549064032568,0.7486640846447083,False
dynamic_v1_macro,2020-08-31,2023-07-31,36,17.52415839236974,5.529946169767408,8.155042911286198,-12.755549064032579,0.7007388710949666,False
dynamic_v1_macro,2020-09-30,2023-08-31,36,14.93159635224659,4.748178505244027,8.218329977037623,-12.755549064032534,0.6050821935474223,False
dynamic_v1_macro,2020-10-31,2023-09-30,36,12.87846848347247,4.120689672266331,8.272584500915091,-12.755549064032534,0.5287294287997305,False
dynamic_v1_macro,2020-11-30,2023-10-31,36,10.372479373611965,3.3443963538337895,8.514287225475266,-12.755549064032579,0.4279075792988587,False
dynamic_v1_macro,2020-12-31,2023-11-30,36,9.556590143830679,3.0891207620825645,8.32635495329046,-12.75554906403259,0.4060350692668749,False
dynamic_v1_macro,2021-01-31,2023-12-31,36,7.0426827347189525,2.294510459461918,7.810406032023996,-12.755549064032557,0.328620451338484,False
dynamic_v1_macro,2021-02-28,2024-01-31,36,1.0288602011911507,0.3417839071415463,8.033049552158952,-12.755549064032557,0.08147685509170909,False
dynamic_v1_macro,2021-03-31,2024-02-29,36,3.6162863974670945,1.1911832833131575,8.241020496803007,-12.755549064032557,0.1837511693393858,False
dynamic_v1_macro,2021-04-30,2024-03-31,36,6.654939829588802,2.1708465211389916,8.465229785386521,-12.755549064032545,0.294990550739601,False
dynamic_v1_macro,2021-05-31,2024-04-30,36,4.141016395563879,1.3617120362346746,8.503766374595106,-12.755549064032568,0.20036999740101372,False
dynamic_v1_macro,2021-06-30,2024-05-31,36,2.841041731718086,0.9381844833016961,8.518273433503609,-12.755549064032579,0.15095461907503982,False
dynamic_v1_macro,2021-07-31,2024-06-30,36,5.4418335112716765,1.782000615499757,8.73869979091728,-11.739700930646169,0.2446116925518264,False
