Date,r_strategy,r_fixed_bm,excess_return,exposure_effect,timing_effect,identity_check_residual,period
2015-04-30,0.022787248837315473,0.027669499999999996,-0.004882251162684522,-0.010214497755997613,0.005332246593313091,0.0,FULL
2015-05-31,-0.012713904289400363,-0.014807999999999997,0.0020940957105996367,0.006258696525936268,-0.004164600815336632,4.336808689942018e-19,FULL
2015-06-30,-0.01658897350329655,-0.0239396,0.007350626496703448,0.008950420138625199,-0.0015997936419217516,8.673617379884035e-19,FULL
2015-07-31,-0.015540574850970965,-0.022885,0.007344425149029032,0.008952204080541084,-0.001607778931512052,0.0,FULL
2015-08-31,-0.014999934716104018,-0.0322789,0.017278965283895976,0.012352157693247427,0.004926807590648551,0.0,FULL
2015-09-30,0.008949821299474425,0.0159186,-0.006968778700525575,-0.004462407126941924,-0.0025063715735836505,-8.673617379884035e-19,FULL
2015-10-31,0.018324533219692313,0.042442499999999994,-0.024117966780307684,-0.015269792976636025,-0.008848173803671661,0.0,FULL
2015-11-30,-0.010529378754774133,-0.016903599999999998,0.006374221245225867,0.005732003560882879,0.0006422176843429891,-8.673617379884035e-19,FULL
2015-12-31,0.0002434439792249808,-0.0028978999999999993,0.00314134397922498,0.002248159472387085,0.0008931845068378954,-4.336808689942018e-19,FULL
2016-01-31,-0.011896698962712806,-0.022764599999999992,0.010867901037287192,0.009034603822705793,0.0018332972145813976,1.734723475976807e-18,FULL
2016-02-29,0.008377877873541491,0.0132524,-0.004874522126458506,-0.0036671099648364785,-0.0012074121616220275,0.0,FULL
