Month,Ticker,MonthEndDate,price,ret21,ret63,ma20_gap,ma60_gap,vol20,vol60,rel_strength_63,ma20_gap_q90,large_down,large_up,medium_down,medium_up,small_down,small_flat,small_up,medium_flat,large_flat,risk_event_count,overheat_event_count,event_balance,risk_score,overheat_score,recovery_score,vol_rising,trend_negative,trend_positive,momentum_negative,momentum_positive,relative_positive,relative_negative,gap_overheated,high_vol_mixed,HSIStateLabel,StateReason,hsi_direction_score_draft,HSIStateLabelOriginal,HSIState5,StateLabelKR
2015-01,69500,2015-01-30,20297.0,0.0277482404172362,0.0231374130456698,0.0164000100152732,0.0169950119794333,0.1224764287024957,0.1060899860246745,-0.0075866041778395,0.0159706494829485,2.0,1.0,0.0,5.0,5.0,1.0,7.0,0.0,0.0,4.0,7.0,3.0,5,6,2,True,False,True,False,True,False,True,True,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,6.0,강한 위험악화,accident_zone,강한 위험 악화
2015-02,69500,2015-02-27,20346.0,0.0051874907366236,0.0086258179654967,0.0041952519618972,0.0154949577126657,0.0646154156229111,0.1031228693566494,-0.0100467894266492,0.0156314058137307,0.0,0.0,2.0,2.0,6.0,0.0,7.0,0.0,0.0,2.0,2.0,0.0,1,2,3,False,False,True,False,True,False,True,False,False,회복 후보,일부 회복 신호가 나타나지만 아직 확정적이지 않음,-1.0,회복 후보,risk_relief,위험 완화 우세
2015-03,69500,2015-03-31,20751.0,0.0138264608168849,0.0377056558483772,0.0037026377968942,0.022294805761031,0.1020588213753134,0.0982502613808982,-0.008702601807865,0.01643513618397,0.0,1.0,3.0,2.0,3.0,3.0,10.0,0.0,0.0,3.0,4.0,1.0,3,4,2,True,False,True,False,True,False,True,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,3.0,과열 후보,conflict,충돌 상태
2015-04,69500,2015-04-30,21590.0,0.0482617984074578,0.0582814567913336,0.0088431480205133,0.0382286796045852,0.0895893325193504,0.0883266441670485,-0.0021193553697435,0.0190738812474895,0.0,2.0,4.0,7.0,7.0,0.0,2.0,0.0,0.0,4.0,11.0,7.0,4,7,2,True,False,True,False,True,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,5.5,위험악화,risk_warning,위험 악화 우세
2015-05,69500,2015-05-29,21101.0,-0.0326410855911611,0.0338053010631522,-0.0082928170433957,0.0008482300608623,0.1298457898674036,0.1100549867043552,-0.0224634597047438,0.0189956259784936,4.0,1.0,2.0,4.0,3.0,0.0,4.0,0.0,0.0,10.0,6.0,-4.0,5,4,1,True,False,False,False,True,False,True,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,6.0,강한 위험악화,accident_zone,강한 위험 악화
2015-06,69500,2015-06-30,20377.0,-0.0256765802811513,-0.0176445065805331,-0.0004905086574777,-0.0293993663334267,0.0970280632302052,0.1111839967496194,-0.032473749818416,0.0187733281299333,1.0,1.0,6.0,1.0,6.0,0.0,7.0,0.0,0.0,8.0,3.0,-5.0,5,0,1,False,True,False,True,False,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,4.0,위험악화,risk_warning,위험 악화 우세
2015-07,69500,2015-07-31,19693.0,-0.0456043423475817,-0.0878647522000926,-0.0154410717008676,-0.0388321319887383,0.1327904319098432,0.1198737591056019,-0.0554742633544938,0.0187733281299333,2.0,0.0,4.0,4.0,5.0,0.0,8.0,0.0,0.0,8.0,4.0,-4.0,8,3,0,True,True,False,True,False,False,True,False,False,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,9.5,강한 위험악화,accident_zone,강한 위험 악화
2015-08,69500,2015-08-31,18765.0,-0.0500177188275198,-0.0940034762456546,-0.0117963031228606,-0.0520117911243246,0.1532200656741553,0.1295651040092146,-0.0170735077014413,0.0169881961674979,2.0,2.0,5.0,1.0,6.0,0.0,4.0,0.0,0.0,9.0,5.0,-4.0,8,4,0,True,True,False,True,False,False,True,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,10.0,강한 위험악화,accident_zone,강한 위험 악화
2015-09,69500,2015-09-30,19153.0,0.0193187865886108,-0.0600677234136526,0.0105417554819238,-0.0083710061688819,0.1720835520602938,0.1530075390715798,0.0009162028881024,0.0187733281299333,1.0,2.0,3.0,2.0,5.0,0.0,7.0,0.0,0.0,5.0,6.0,1.0,4,4,1,True,False,False,True,False,True,False,False,True,고변동성 혼합구간,큰 상승과 큰 하락이 함께 나타나고 단기 변동성이 확대됨,5.0,고변동성 혼합구간,risk_warning,위험 악화 우세
2015-10,69500,2015-10-30,20317.0,0.0607737691223306,0.0192645361962575,0.0168617774685813,0.0524907099144897,0.0910690426013974,0.1454026100319308,0.0264369211283735,0.0242279800321973,0.0,1.0,1.0,5.0,7.0,0.0,7.0,0.0,0.0,1.0,7.0,6.0,0,4,5,False,False,True,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-3.0,과열 후보,neutral_watch,관찰·중립
2015-11,69500,2015-11-30,19844.0,-0.0232809962100704,0.0560936668440659,-0.0073930311427684,0.0082172107548588,0.1405137370694703,0.1380209409256328,0.040769944866997,0.0242279800321973,1.0,0.0,4.0,5.0,8.0,0.0,3.0,0.0,0.0,6.0,5.0,-1.0,3,4,2,True,False,False,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,3.0,과열 후보,conflict,충돌 상태
2015-12,69500,2015-12-30,19724.0,-0.0060471679096956,0.029812562000731,0.001668262138067,-0.0098120179021007,0.1277598308168281,0.1250880977521142,0.0121707013311742,0.0242279800321973,1.0,2.0,4.0,2.0,8.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,3,5,2,True,False,False,False,True,True,False,False,True,고변동성 혼합구간,큰 상승과 큰 하락이 함께 나타나고 단기 변동성이 확대됨,3.5,고변동성 혼합구간,conflict,충돌 상태
2016-01,69500,2016-01-29,19057.0,-0.0387389659520807,-0.0577037183544303,0.0026068725683876,-0.0256194375040477,0.1832455447735863,0.1517730943265919,-0.009906644253532,0.0242279800321973,2.0,2.0,6.0,3.0,3.0,0.0,4.0,0.0,0.0,10.0,7.0,-3.0,7,5,0,True,False,False,True,False,False,True,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,9.5,강한 위험악화,accident_zone,강한 위험 악화
2016-02,69500,2016-02-29,19389.0,0.0346318036286019,-0.0332086761406132,0.0127871626915723,0.0039654971542486,0.1549274544212337,0.162881970540596,0.0056887350407849,0.023225560961107,1.0,1.0,1.0,2.0,4.0,0.0,9.0,0.0,0.0,3.0,4.0,1.0,1,2,3,False,False,True,True,False,True,False,False,False,회복 후보,일부 회복 신호가 나타나지만 아직 확정적이지 않음,-1.0,회복 후보,risk_relief,위험 완화 우세
2016-03,69500,2016-03-31,20219.0,0.0271272542545084,0.0152648757218176,0.0101217002058311,0.0415874261507009,0.0608758988163341,0.1454349594705417,0.0196080379599628,0.0267301606328398,0.0,0.0,0.0,2.0,8.0,0.0,12.0,0.0,0.0,0.0,2.0,2.0,0,2,5,False,False,True,False,True,True,False,False,False,안정적 회복 후보,추세·상대강도·변동성 안정 신호가 함께 나타남,-4.0,안정적 회복 후보,risk_relief,위험 완화 우세
2016-04,69500,2016-04-29,20173.0,-0.0064519306540583,0.0764674493062966,-0.0011586223287318,0.0184251843948834,0.1158989647094184,0.1193255734372015,0.0266355068266154,0.0233568846808083,0.0,1.0,3.0,2.0,7.0,1.0,6.0,0.0,0.0,3.0,4.0,1.0,1,2,3,False,False,False,False,True,True,False,False,False,회복 후보,일부 회복 신호가 나타나지만 아직 확정적이지 않음,-1.0,회복 후보,risk_relief,위험 완화 우세
2016-05,69500,2016-05-31,20047.0,-0.0094866347151538,0.0327649271031889,0.0087302186328528,0.0009103572694608,0.0871957883795581,0.0898841335316769,-0.0104825768608713,0.0221993385780752,0.0,2.0,5.0,2.0,6.0,1.0,4.0,0.0,0.0,5.0,6.0,1.0,3,5,3,False,False,True,False,True,False,True,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,2.5,과열 후보,conflict,충돌 상태
2016-06,69500,2016-06-30,20131.0,0.0041901531401207,-0.0041060651033937,0.0005467196819084,0.0032659760384341,0.1738317939254289,0.1250495387281207,-0.0226588504121757,0.0233568846808083,2.0,3.0,2.0,3.0,3.0,1.0,7.0,0.0,0.0,6.0,9.0,3.0,6,6,1,True,False,True,True,False,False,True,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,8.0,강한 위험악화,accident_zone,강한 위험 악화
2016-07,69500,2016-07-29,20728.0,0.0296557548060205,0.0241612727901576,0.0109690729694533,0.0276767372949282,0.112020602148556,0.1275279428085099,0.0145892015030238,0.0233568846808083,1.0,1.0,1.0,4.0,7.0,1.0,6.0,0.0,0.0,3.0,6.0,3.0,0,4,4,False,False,True,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-2.0,과열 후보,neutral_watch,관찰·중립
2016-08,69500,2016-08-31,21120.0,0.0105263157894737,0.0528414755732802,0.0041506796559642,0.0265541496782701,0.089065863288878,0.1283354670383902,0.051249792333148,0.0233568846808083,0.0,0.0,3.0,5.0,6.0,0.0,8.0,0.0,0.0,3.0,5.0,2.0,1,4,4,False,False,True,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-1.0,과열 후보,neutral_watch,관찰·중립
2016-09,69500,2016-09-30,21184.0,0.0034579129363838,0.0599419593715599,0.0010041228101262,0.013490723781836,0.1387132806777863,0.1153170965393372,0.0465048014333134,0.022636507399889,1.0,1.0,2.0,5.0,6.0,0.0,4.0,0.0,0.0,4.0,7.0,3.0,2,5,3,True,False,True,False,True,True,False,False,True,불안정 과열,큰 상승 사건이 많지만 변동성도 함께 확대됨,1.5,불안정 과열,conflict,충돌 상태
2016-10,69500,2016-10-31,21070.0,-0.0161561449383638,0.0133217909873515,-0.0054072425423244,-0.0023800204542872,0.0960706308875773,0.1095590253851536,0.0125643065956412,0.0193113430043043,2.0,0.0,1.0,5.0,6.0,0.0,6.0,0.0,0.0,5.0,5.0,0.0,4,3,3,False,True,False,False,True,True,False,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,2.5,위험악화,conflict,충돌 상태
2016-11,69500,2016-11-30,20974.0,-0.0050284629981024,-0.0064895078395149,0.0085059936241111,-0.0032884732360097,0.13262278839805,0.1244684403427684,0.0068370450950561,0.0188258761557762,2.0,1.0,3.0,2.0,5.0,0.0,9.0,0.0,0.0,7.0,4.0,-3.0,6,2,1,True,False,False,True,False,True,False,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,6.0,강한 위험악화,accident_zone,강한 위험 악화
2016-12,69500,2016-12-29,21731.0,0.0360923047582721,0.0258213746223565,0.0126163488309782,0.028550062003616,0.0785406407091849,0.1061412589859718,0.0110244123123,0.0204554551482785,0.0,1.0,1.0,1.0,6.0,0.0,12.0,0.0,0.0,1.0,3.0,2.0,0,2,5,False,False,True,False,True,True,False,False,False,안정적 회복 후보,추세·상대강도·변동성 안정 신호가 함께 나타남,-4.0,안정적 회복 후보,risk_relief,위험 완화 우세
2017-01,69500,2017-01-31,22481.0,0.0350844882361065,0.0669672520170858,0.0099349276836997,0.0452568002988085,0.0858250278325466,0.1004900949492819,0.0519129863940919,0.0208581237601995,0.0,1.0,3.0,5.0,5.0,0.0,6.0,0.0,0.0,3.0,7.0,4.0,1,4,4,False,False,True,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-1.0,과열 후보,neutral_watch,관찰·중립
2017-02,69500,2017-02-28,22590.0,-0.0008845643520566,0.0826743350107837,0.0017271923036843,0.0226169305949872,0.0586835094012349,0.0747824767172281,0.0486155592206521,0.0208581237601995,1.0,1.0,4.0,2.0,2.0,1.0,9.0,0.0,0.0,6.0,4.0,-2.0,2,3,4,False,False,True,False,True,True,False,False,False,안정적 회복 후보,추세·상대강도·변동성 안정 신호가 함께 나타남,-0.5,안정적 회복 후보,risk_relief,위험 완화 우세
2017-03,69500,2017-03-31,23561.0,0.0334225185315144,0.0848105345549978,0.0111019083953085,0.0365102117878235,0.0734979868305948,0.0771453449670258,0.073846536234896,0.021120113361161,1.0,4.0,1.0,4.0,6.0,0.0,6.0,0.0,0.0,3.0,12.0,9.0,0,6,4,False,False,True,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-1.0,과열 후보,neutral_watch,관찰·중립
2017-04,69500,2017-04-28,24122.0,0.0218155631804126,0.0668730650154798,0.0258242167150406,0.0429436358474224,0.0768867679298411,0.074472972927554,0.0457825764214406,0.0222596495464138,0.0,2.0,5.0,4.0,4.0,0.0,5.0,0.0,0.0,5.0,8.0,3.0,3,8,3,True,False,True,False,True,True,False,True,False,불안정 과열,큰 상승 사건이 많지만 변동성도 함께 확대됨,4.0,불안정 과열,conflict,충돌 상태
2017-05,69500,2017-05-31,25667.0,0.0683010072421543,0.1331008299487903,0.0182206230635877,0.0702349969248516,0.1292737640015427,0.0989047200472736,0.1044819538847786,0.028111614146457,1.0,4.0,2.0,3.0,4.0,0.0,5.0,0.0,0.0,4.0,11.0,7.0,2,7,3,True,False,True,False,True,True,False,False,True,불안정 과열,큰 상승 사건이 많지만 변동성도 함께 확대됨,2.5,불안정 과열,conflict,충돌 상태
2017-06,69500,2017-06-30,26288.0,0.0241944909806366,0.1164054868985433,0.0108281038513595,0.0542963136258813,0.089367856663604,0.1008703393834114,0.0799144119638653,0.0273097502619382,0.0,1.0,3.0,7.0,6.0,0.0,4.0,0.0,0.0,3.0,9.0,6.0,1,4,4,False,False,True,False,True,True,False,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-1.0,과열 후보,neutral_watch,관찰·중립
2017-07,69500,2017-07-31,26482.0,0.0073797930614729,0.1022225921917923,-0.0066282301837674,0.0179087935988315,0.0973280707750774,0.1063228396655185,0.0775522567273468,0.0273097502619382,1.0,1.0,1.0,1.0,6.0,1.0,10.0,0.0,0.0,3.0,3.0,0.0,0,1,3,False,False,False,False,True,True,False,False,False,회복 후보,일부 회복 신호가 나타나지만 아직 확정적이지 않음,-2.5,회복 후보,risk_relief,위험 완화 우세
2017-08,69500,2017-08-31,25934.0,-0.0294161676646707,0.0132447743699941,-0.0054322711035008,-0.0134005421085168,0.1196926701159834,0.1010085227883353,0.0015601605782615,0.0273097502619382,3.0,0.0,2.0,5.0,5.0,0.0,7.0,0.0,0.0,8.0,5.0,-3.0,5,4,2,True,True,False,False,True,True,False,False,False,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,5.0,강한 위험악화,accident_zone,강한 위험 악화
2017-09,69500,2017-09-29,26683.0,0.0288810056296753,0.0127913155697259,0.0135645884851038,0.0120659235485585,0.1008865916631006,0.1071013605935015,-0.0128016516158168,0.0280950895076503,1.0,2.0,2.0,3.0,6.0,1.0,6.0,0.0,0.0,4.0,7.0,3.0,2,6,3,False,False,True,False,True,False,True,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,2.0,과열 후보,conflict,충돌 상태
2017-10,69500,2017-10-31,28121.0,0.0546429642964296,0.0422519550795004,0.0248383258410791,0.0567633077168787,0.0959769592471642,0.1077654233265531,-0.0005029266441091,0.029808406813593,0.0,1.0,1.0,5.0,4.0,0.0,5.0,0.0,0.0,1.0,7.0,6.0,1,4,4,False,False,True,False,True,False,True,False,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,-1.0,과열 후보,neutral_watch,관찰·중립
2017-11,69500,2017-11-30,27414.0,-0.0409655413678502,0.0456972841013121,-0.0264569054298803,0.0021513316505301,0.0968525403494721,0.1058608640711879,-0.007096616696818,0.0301312765421078,2.0,1.0,3.0,2.0,9.0,0.0,5.0,0.0,0.0,7.0,4.0,-3.0,5,2,2,False,False,False,False,True,False,True,False,False,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,4.0,강한 위험악화,accident_zone,강한 위험 악화
2017-12,69500,2017-12-28,27620.0,-0.0093612137297801,0.0291761374222156,0.0079059677010293,-0.0035997154859915,0.1369703166563179,0.1133377455520465,-0.0142540496199038,0.0300862215682907,2.0,2.0,1.0,3.0,5.0,0.0,6.0,0.0,0.0,5.0,7.0,2.0,5,6,1,True,False,False,False,True,False,True,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,7.0,강한 위험악화,accident_zone,강한 위험 악화
2018-01,69500,2018-01-31,28399.0,0.0236456042965793,0.0098858504320613,0.0102073665919062,0.0184158056048311,0.1149209190226236,0.1128351721005346,-0.0557827344048357,0.0291128994646593,0.0,2.0,5.0,5.0,2.0,0.0,8.0,0.0,0.0,5.0,9.0,4.0,4,7,2,True,False,True,False,True,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,5.5,위험악화,risk_warning,위험 악화 우세
2018-02,69500,2018-02-28,26699.0,-0.0645387337514452,-0.0560721230334099,-0.0139510834941416,-0.0295178182840359,0.1982111450842265,0.1534075334509317,-0.0729330625490076,0.0291128994646593,4.0,1.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,11.0,6.0,-5.0,8,3,0,True,True,False,True,False,False,True,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,9.5,강한 위험악화,accident_zone,강한 위험 악화
2018-03,69500,2018-03-30,26927.0,0.0085396456796134,-0.0011869876479098,-0.0044017518269765,-0.0161268910213859,0.1791690486298343,0.1695434432347534,-0.0247370211441675,0.0291128994646593,1.0,1.0,3.0,4.0,3.0,0.0,9.0,0.0,0.0,5.0,6.0,1.0,6,3,0,True,True,False,True,False,False,True,False,True,고변동성 혼합구간,큰 상승과 큰 하락이 함께 나타나고 단기 변동성이 확대됨,7.5,고변동성 혼합구간,risk_warning,위험 악화 우세
2018-04,69500,2018-04-30,27607.0,0.0252534630668102,-0.0327248519673452,0.0232242665045736,0.0234442772089298,0.1196455590660394,0.170707440175528,-0.0045997548385296,0.0281342985892992,1.0,0.0,0.0,4.0,10.0,0.0,6.0,0.0,0.0,2.0,4.0,2.0,2,3,2,False,False,True,True,False,False,True,False,False,중립/혼조,위험악화·과열·회복 중 어느 한쪽이 뚜렷하지 않음,1.5,중립/혼조,neutral_watch,관찰·중립
2018-05,69500,2018-05-31,26585.0,-0.0308056872037915,-0.0156255785537082,-0.0173883635274962,-0.0169002435099453,0.1112314590463738,0.1369471139382469,-0.0096108008606677,0.0246406965695565,1.0,0.0,2.0,1.0,8.0,0.0,8.0,0.0,0.0,4.0,1.0,-3.0,4,0,1,False,True,False,True,False,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,3.0,위험악화,risk_warning,위험 악화 우세
2018-06,69500,2018-06-29,25682.0,-0.0506782981554726,-0.0478273765386326,-0.0263708601237413,-0.0420428858821745,0.1289016281547443,0.1199949169291548,-0.0422140649326927,0.0219187548318344,2.0,0.0,4.0,4.0,5.0,0.0,4.0,0.0,0.0,8.0,4.0,-4.0,8,3,0,True,True,False,True,False,False,True,False,False,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,9.5,강한 위험악화,accident_zone,강한 위험 악화
2018-07,69500,2018-07-31,25533.0,0.0170078865609815,-0.060734255444379,0.0061195459005347,-0.0257455814568727,0.0759453694475285,0.1151553842971059,-0.0483501073700688,0.0219187548318344,1.0,0.0,1.0,4.0,9.0,0.0,7.0,0.0,0.0,3.0,4.0,1.0,2,2,1,False,False,False,True,False,False,True,False,False,중립/혼조,위험악화·과열·회복 중 어느 한쪽이 뚜렷하지 않음,2.0,중립/혼조,neutral_watch,관찰·중립
2018-08,69500,2018-08-31,25664.0,0.0016001248877961,-0.0346435960127892,0.0165792251673073,0.0038829533393658,0.0975966142896136,0.1169808128160427,-0.0316067979023994,0.0214253919163078,3.0,0.0,1.0,3.0,2.0,0.0,13.0,0.0,0.0,7.0,3.0,-4.0,5,2,2,False,False,True,True,False,False,True,False,False,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,4.0,강한 위험악화,accident_zone,강한 위험 악화
2018-09,69500,2018-09-28,25804.0,0.0136706473915775,-0.0018953312961744,0.014200536892704,0.0182694470496467,0.1046509652854005,0.0996142246068848,-0.0119991085500299,0.0214641246658827,1.0,1.0,4.0,3.0,3.0,0.0,5.0,0.0,0.0,6.0,5.0,-1.0,5,4,1,True,False,True,True,False,False,True,False,True,고변동성 혼합구간,큰 상승과 큰 하락이 함께 나타나고 단기 변동성이 확대됨,6.0,고변동성 혼합구간,risk_warning,위험 악화 우세
2018-10,69500,2018-10-31,22675.0,-0.1212602697256239,-0.1100514148906942,-0.0485561551178658,-0.0870414236919628,0.1984957577635747,0.1524755048140411,-0.0668520656862606,0.0181385371856617,6.0,1.0,5.0,2.0,4.0,0.0,3.0,0.0,0.0,17.0,4.0,-13.0,8,2,0,True,True,False,True,False,False,True,False,True,강한 위험악화,큰 하락 사건과 위험 지표가 동시에 강하게 나타남,9.0,강한 위험악화,accident_zone,강한 위험 악화
2018-11,69500,2018-11-30,23336.0,0.0334351888756034,-0.0840006280420788,0.0033558417659338,-0.0314942819731186,0.1163059698525816,0.1718081729619595,-0.0252629479989737,0.0141282421924896,0.0,1.0,5.0,5.0,7.0,0.0,4.0,0.0,0.0,5.0,7.0,2.0,4,2,1,False,False,False,True,False,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,4.0,위험악화,risk_warning,위험 악화 우세
2018-12,69500,2018-12-28,22835.0,-0.0287524988303347,-0.1206823520351187,-0.0066599675484271,-0.020485374840751,0.1533181442338388,0.180618794357132,-0.0331766837474036,0.014198844331474,1.0,1.0,5.0,2.0,4.0,0.0,6.0,0.0,0.0,7.0,4.0,-3.0,5,1,1,False,True,False,True,False,False,True,False,False,위험악화,하락 사건·약세 추세·변동성 확대 신호가 우세함,4.5,위험악화,risk_warning,위험 악화 우세
2019-01,69500,2019-01-31,24938.0,0.1048201311359207,0.0998015435501653,0.0499724223299131,0.0700294775142773,0.1333718779294467,0.1418840947949386,0.0930965625532256,0.0180304798006625,0.0,3.0,3.0,3.0,5.0,0.0,8.0,0.0,0.0,3.0,9.0,6.0,1,7,4,False,False,True,False,True,True,False,True,False,과열 후보,상승 사건과 양호한 추세가 강하지만 과도한 상승 여부 확인 필요,0.5,과열 후보,neutral_watch,관찰·중립
